split,from,to,cagr,spy_cagr,edge,sharpe,mdd,edge_std,edge_min,n_years_positive,n_years_total,rotations
A1,2011-01-01,2018-12-31,15.73394632724925,11.298712609873585,4.435233717375665,1.359382103730508,-12.050001659224542,4.623979731399584,-5.975400565172983,7,8,47
A2,2015-01-01,2021-12-31,19.813073587907184,14.827678919522679,4.9853946683845045,1.5607132247445379,-10.731211765267512,12.885477153897924,-11.682078864683685,4,7,36
A3,2018-01-01,2024-12-31,21.007512906171645,13.719857315363914,7.287655590807731,1.3194690683353318,-18.99196530775819,20.74879392533348,-16.491468401133382,3,7,37
R1_GFC,2008-01-01,2010-12-31,15.64354137101125,-2.78180889308145,18.4253502640927,0.8591274253553874,-15.704496153382733,22.604267589418424,-5.5815502314908265,2,3,15
R2,2011-01-01,2013-12-31,19.91456462801282,16.07000308327717,3.8445615447356474,1.8877630097455194,-12.050001659224542,2.4051513102316573,0.45378486978387045,3,3,21
R3,2014-01-01,2016-12-31,16.012506118898706,9.040352032995713,6.972154085902993,1.3604976048656403,-8.873408550087568,2.0250283207307844,5.440523666062602,3,3,18
R4,2017-01-01,2019-12-31,12.659060788711729,15.081113383528976,-2.422052594817247,1.1387651831155394,-10.731211765267501,8.233918111166362,-11.682078864683685,1,3,13
R5_COVID,2020-01-01,2022-12-31,33.380402677574054,7.618476354813275,25.76192632276078,1.7131994467692502,-18.991965307758186,18.656334368690047,-1.3565535744228399,2,3,17
R6_AI,2023-01-01,2024-12-31,13.862845465097084,25.529470848293222,-11.666625383196138,1.0212784400003534,-5.478192571504524,4.961097308820708,-16.491468401133382,0,2,10
STRICT,2021-01-01,2024-12-31,19.734377769585976,14.10876681975688,5.625610949829095,1.1862854133480971,-18.9919653077582,22.742589626611277,-16.491468401133382,1,4,25
