top_n,rotations,cagr,spy_cagr,edge,sharpe,mdd,edge_std,edge_min,n_years_positive,n_years_total
1,84,12.213597975522594,11.458029424329009,0.7555685511935852,0.6864857645101351,-30.97033836710965,20.928046288723923,-35.3441777712907,10,24
2,136,11.972591485631966,11.458029424329009,0.5145620613029571,0.7997610027940492,-24.676451762033732,16.6319723320565,-32.431312822841136,9,24
3,164,11.406213433871383,11.458029424329009,-0.051815990457626526,0.8219905717054851,-24.33326184113696,15.420525588460892,-31.454369289732142,7,24
4,178,11.87161027782091,11.458029424329009,0.41358085349190077,0.8795532576584779,-23.704139233949945,13.96044004647228,-32.785268374187204,9,24
