feature,n_runners,n_non,median_runner,median_non,auc,lift_median
vol_3m,1431,1327,0.7931929839834944,0.2825803483653199,0.9127764638847945,0.5106126356181744
vol_6m,1431,1327,0.7561431608462919,0.2930124058083118,0.9119086099222881,0.46313075503798007
vol_1y,1433,1351,0.713148867295485,0.3048944540717788,0.9085911394883116,0.4082544132237062
vol_12m,1433,1351,0.713148867295485,0.3048944540717788,0.9085911394883116,0.4082544132237062
new_52wh,1433,1351,0.0,0.0,0.8971442414525335,0.0
dd_from_52wh,1433,1351,0.5526315789473684,0.10537071095506145,0.8920698167287626,0.4472608679923069
below_52wh,1433,1351,1.2352941176470589,0.11778142326141583,0.8920698167287626,1.117512694385643
bb_width_pct,1431,1327,0.3425494548246198,0.10948069758956058,0.8762249616495966,0.2330687572350592
best_month_24m,1433,1351,0.3513516346398362,0.17766579103735958,0.789095255485198,0.17368584360247663
accel,1433,1351,0.12626662677220413,-0.00813627881243506,0.7716973754418298,0.1344029055846392
max_below_200_streak,1433,1351,224.0,150.0,0.725726413919957,74.0
vol_expansion_24m,1427,1326,1.2993075810728034,0.9810943304210795,0.6802069757879973,0.3182132506517239
bb_width_contraction,1425,1326,1.41181599570472,0.983886300469796,0.6729745177423196,0.4279296952349241
drawdown_age_days,1431,1327,169.0,77.0,0.6704387770631675,92.0
vol_contraction,1430,1327,1.0999628820802256,0.9371532234678962,0.6488113996026581,0.16280965861232943
mom_accel,1431,1327,0.05811093892237529,-0.09891783026940115,0.6166218257899024,0.15702876919177644
beta_2y,1433,1351,1.1736006248700932,0.9397943678027074,0.6139165478209261,0.23380625706738578
trend_r2_12m,1432,1351,0.5138151892470909,0.460629144460034,0.5329313275082807,0.05318604478705691
earnings_drift_proxy,1431,1327,-0.009959553524349296,0.0016010860867869958,0.472571233274195,-0.011560639611136292
fip_score,1430,1327,-0.05341293322062553,-0.043478260869565216,0.45612006682089573,-0.009934672351060311
acceleration_2y,1431,1327,-0.148045148331569,-0.0035328513028376474,0.45160002675180905,-0.14451229702873136
tail_ratio_24m,1433,1351,1.108114364812326,1.2808037056082275,0.427346727734696,-0.1726893407959016
dist_from_low_1y,1431,1327,0.21875,0.30067814413916993,0.42550911378313233,-0.08192814413916993
near_52wh_60d,1431,1327,0.0,1.0,0.4020091240520354,-1.0
recovery_rate,1433,1315,0.5,0.625,0.3849378713061752,-0.125
ret_5d,1433,1351,-0.019607784785163673,0.0033864189570054215,0.3782259451658408,-0.022994203742169095
rsi_zone_score,1431,1327,0.5179280319085163,0.7294381015018457,0.3737038142918907,-0.2115100695933294
multibagger_ratio_24m,1429,1326,1.8673424669860124,2.8422596437501517,0.33758273724519144,-0.9749171767641394
idio_mom_12_1,1431,1327,-0.21597518966837503,0.017514550488731517,0.33685530378311657,-0.23348974015710655
mean_ret_12m,1433,1351,-0.22240412933448775,0.16122574060768408,0.323894889572894,-0.38362986994217185
sma50_above_200,1433,1351,0.0,1.0,0.3225198774989243,-1.0
mom_12_1,1433,1351,-0.2314321338847556,0.11641569204119495,0.31844287888891587,-0.34784782592595054
mom_per_unit_vol_12,1430,1327,-0.32261514753910187,0.39440352764157344,0.3155221568183136,-0.7170186751806753
mom_6_1,1433,1351,-0.13999998569488525,0.0540977721754492,0.3129888020710926,-0.19409775787033445
trend_slope_252,1431,1327,-0.31207636022577956,0.118484751867563,0.3114890067442996,-0.4305611120933426
rs_12m_spy,1431,1327,-0.3262707038503395,0.013712524298160389,0.2923746285421791,-0.3399832281484999
tight_consolidation_60,1431,1327,0.0,0.05,0.2835001898430543,-0.05
sharpe_12m,1432,1351,-0.3313229543269217,0.5494950494418618,0.28214564837136985,-0.8808180037687835
sharpe_1y,1432,1351,-0.3313229543269217,0.5494950494418618,0.28214564837136985,-0.8808180037687835
sharpe_5y,1346,1208,0.10176035865896615,0.47889498814498643,0.2636527902148136,-0.3771346294860203
frac_above_50dma_1y,1433,1351,0.4087301587301587,0.5833333333333334,0.2607130331206421,-0.17460317460317465
mom_consistency_12m,1431,1327,0.36363636363636365,0.5454545454545454,0.25224586176371305,-0.18181818181818177
excess_5y_logret,1039,1052,-0.929064574289627,0.011648612730035313,0.2453743179497689,-0.9407131870196623
rs_6m_spy,1431,1327,-0.27455616372357017,0.008598484383758986,0.24446782594683236,-0.28315464810732915
rs_3m_zscore,1431,1327,-1.001497561180958,-0.00246334824445804,0.2409837714468674,-0.9990342129365
mom_2y,1433,1351,-0.4851127758360746,0.23461600797022308,0.23323551911354592,-0.7197287838062977
mom_3y,1278,1241,-0.4908744934298616,0.36633723597646983,0.23170205763185073,-0.8572117294063315
mom_5y,1039,1052,-0.5135714508111735,0.6001346165006153,0.23028138345952712,-1.1137060673117887
rs_3m_spy,1431,1327,-0.21775595480124987,0.0009553380281592805,0.22800598440074632,-0.21871129282940915
trend_health_5y,1433,1351,0.45,0.6412698412698413,0.22516158458002988,-0.1912698412698413
log_price,1431,1327,1.7047480922384253,3.11366347802884,0.22383365008949743,-1.4089153857904146
rsi_14,1433,1351,39.37056128977414,52.36339103260571,0.21585365160747796,-12.992829742831574
mom_3,1433,1351,-0.26476434544984084,0.03246262513848852,0.2088380941361572,-0.29722697058832936
d_sma200,1433,1351,-0.30947504770262524,0.04794687516166651,0.1920832982521024,-0.35742192286429175
ret_21d,1433,1351,-0.15338154354061273,0.010460657656611971,0.18906674283813443,-0.1638422011972247
range_pos_1y,1432,1351,0.11475573100373196,0.6629038126932664,0.17845564427756802,-0.5481480816895344
d_sma50,1433,1351,-0.1640271911536243,0.013864234776942208,0.1699560378371091,-0.1778914259305665
quality_score_5y,1346,1208,0.0075664305248153,0.20340290075441853,0.16491591470434844,-0.19583647022960324
max_dd_5y,1346,1208,-0.8586484102081745,-0.47951405520586365,0.12608612223610796,-0.37913435500231085
pullback_all,1433,1351,-0.823576681726368,-0.19611149321489596,0.12014103429627222,-0.627465188511472
worst_month_24m,1433,1351,-0.35518291829722326,-0.14712528671308922,0.11142453213690409,-0.20805763158413404
pullback_1y,1433,1351,-0.5526315789473684,-0.10537071095506145,0.10794981154276664,-0.4472608679923069
