strategy,split,test_start,test_end,cagr,spy_cagr,edge,n_trades,final_eq,deposited
v3_topn_comp_10,A1,2011-01-31,2018-12-31,0.3322727443052092,0.14603040393864275,0.18624234036656645,475,3039.42505754392,96.0
v3_topn_comp_10,A2,2015-01-31,2021-12-31,0.27518369466326825,0.15128324471119442,0.12390044995207383,415,630.8545921079266,84.0
v3_topn_comp_10,A3,2018-01-31,2024-12-31,0.32730167749972405,0.16316813736147104,0.16413354013825301,410,384.2499655485485,84.0
v3_topn_comp_10,R1,2008-01-31,2010-12-31,0.21739928171239617,0.14154996304863804,0.07584931866375813,170,996.8804204671815,36.0
v3_topn_comp_10,R2,2011-01-31,2013-12-31,0.23833797238217172,0.1459884091435556,0.09234956323861612,175,701.0835979897395,36.0
v3_topn_comp_10,R3,2014-01-31,2016-12-31,0.07988134288657454,0.14440455848144823,-0.06452321559487369,175,82.80126592875783,36.0
v3_topn_comp_10,R4,2017-01-31,2019-12-31,0.06422984450240789,0.15324417693745557,-0.08901433243504768,175,58.62372925474798,36.0
v3_topn_comp_10,R5,2020-01-31,2022-12-31,0.424430593451279,0.16240723124347572,0.26202336220780326,170,206.70579940532235,36.0
v3_topn_comp_10,R6,2023-01-31,2024-12-31,0.4888451333196937,0.21275205489175342,0.2760930784279403,115,61.781995610665675,24.0
v3_topn_comp_10,STRICT,2021-01-31,2024-12-31,0.3071709839497884,0.1731330417989056,0.13403794215088283,225,118.03262135102277,47.0
baseline_strategy_rotation,A1,2011-01-31,2018-12-31,0.2345432268371961,0.14603040393864275,0.08851282289855336,475,1167.8776459407109,96.0
baseline_strategy_rotation,A2,2015-01-31,2021-12-31,0.269600462923887,0.15128324471119442,0.11831721821269259,415,607.0936803566985,84.0
baseline_strategy_rotation,A3,2018-01-31,2024-12-31,0.45357431332811615,0.16316813736147104,0.2904061759666451,410,665.5577606737611,84.0
baseline_strategy_rotation,R1,2008-01-31,2010-12-31,0.17638446434698313,0.14154996304863804,0.03483450129834509,170,557.7843304547059,36.0
baseline_strategy_rotation,R2,2011-01-31,2013-12-31,0.15729917398874854,0.1459884091435556,0.011310764845192944,175,272.84515082225676,36.0
baseline_strategy_rotation,R3,2014-01-31,2016-12-31,0.19905544554986404,0.14440455848144823,0.05465088706841581,175,259.3325177208971,36.0
baseline_strategy_rotation,R4,2017-01-31,2019-12-31,0.07002667591335664,0.15324417693745557,-0.08321750102409893,175,61.180460827761,36.0
baseline_strategy_rotation,R5,2020-01-31,2022-12-31,0.7304735116604257,0.16240723124347572,0.5680662804169501,170,561.7320120616719,36.0
baseline_strategy_rotation,R6,2023-01-31,2024-12-31,0.5456080048091438,0.21275205489175342,0.3328559499173904,115,67.70607069127661,24.0
baseline_strategy_rotation,STRICT,2021-01-31,2024-12-31,0.4925909145724129,0.1731330417989056,0.3194578727735073,225,192.38526919607543,47.0
v3_topn_comp_15,A1,2011-01-31,2018-12-31,0.4140653914583716,0.14603040393864275,0.2680349875197289,475,6532.145851500729,96.0
v3_topn_comp_15,A2,2015-01-31,2021-12-31,0.3097196233596854,0.15128324471119442,0.15843637864849097,415,798.1921763577836,84.0
v3_topn_comp_15,A3,2018-01-31,2024-12-31,0.268794809290604,0.16316813736147104,0.10562667192913297,410,295.59187005887975,84.0
v3_topn_comp_15,R1,2008-01-31,2010-12-31,0.18570206584284518,0.14154996304863804,0.04415210279420714,170,637.5069879337044,36.0
v3_topn_comp_15,R2,2011-01-31,2013-12-31,0.285266594291066,0.1459884091435556,0.1392781851475104,175,1179.3421315743587,36.0
v3_topn_comp_15,R3,2014-01-31,2016-12-31,0.11047613604589421,0.14440455848144823,-0.03392842243555402,175,112.20552550452852,36.0
v3_topn_comp_15,R4,2017-01-31,2019-12-31,0.062307888863704294,0.15324417693745557,-0.09093628807375127,175,57.79716151431383,36.0
v3_topn_comp_15,R5,2020-01-31,2022-12-31,0.3632345771778717,0.16240723124347572,0.200827345934396,170,165.56773271738024,36.0
v3_topn_comp_15,R6,2023-01-31,2024-12-31,0.3085649447134487,0.21275205489175342,0.09581288982169528,115,45.20678122155724,24.0
v3_topn_comp_15,STRICT,2021-01-31,2024-12-31,0.24101288368751161,0.1731330417989056,0.06787984188860602,225,98.04352862609852,47.0
