kind,start,end,cagr_strat,cagr_spy,edge,n_months,n_trades,final_equity,deposited,n_tickers_holdout
time_holdout,2024-07-31,2026-04-30,0.7465562321941088,0.21432470969119968,0.5322315225029092,22,105,37.76881937731049,22.0,
universe_holdout,2002-01-31,2024-06-30,0.16824815589258138,0.12383684011156235,0.044411315781019034,270,433,,,525.0
