strategy,cagr_xirr,cagr_total,cagr_spy,edge,n_trades,n_months,deposited,final_eq
baseline_strategy_rotation,0.3536887252010401,0.2502982491050152,0.12386023481221753,0.22982849038882258,1360,276,276.0,62335.361323729245
prerunner_v1,0.08587907623877891,0.050734516613397895,0.12386023481221753,-0.03798115857343862,1353,276,276.0,917.0439360193467
crt_only,0.053356259962233636,0.030320141169617898,0.12386023481221753,-0.07050397484998389,1375,276,276.0,569.7064849808477
prerunner_no_gate,0.26584888088095154,0.18097537213022186,0.12386023481221753,0.14198864606873401,1375,276,276.0,15619.840393256776
prerunner_v1,0.10509605582742158,0.06339037960792115,0.12386023481221753,-0.018764178984795946,814,276,276.0,1226.1688444479344
prerunner_v1,0.0962052985987029,0.05748421204877796,0.12386023481221753,-0.027654936213514628,1886,276,276.0,1071.180088141354
prerunner_v1,0.08689464767744993,0.051392925664946576,0.12386023481221753,-0.036965587134767594,2674,276,276.0,931.0883290695408
