name,k,cagr,edge,trades
topn_crt_10,5,0.2357646642144991,0.11190442940228157,1360
topn_crt_15,5,0.23777169548620153,0.113911460673984,1360
topn_crt_20,5,0.2633529935328816,0.13949275872066408,1360
topn_crt_25,5,0.239418775108515,0.11555854029629747,1360
topn_comp_10,5,0.42303670012043215,0.2991764653082146,1360
topn_comp_15,5,0.3404818999336617,0.21662166512144415,1360
topn_comp_20,5,0.33415508654922943,0.2102948517370119,1360
blend_mul_03,5,0.30442213366733284,0.1805618988551153,1360
blend_mul_05,5,0.26646218975383157,0.14260195494161404,1360
blend_add_05,5,0.34846362405952874,0.2246033892473112,1360
blend_add_10,5,0.2920974207956951,0.1682371859834776,1360
