variant,k,cagr,edge,trades,final
blended,3,0.14608733307426874,0.022227098262051215,816,2316.1931170104854
blended,5,0.19557975995998586,0.07171952514776833,1360,5080.727699206095
blended,7,0.2132968554740449,0.08943662066182737,1904,6744.327674472975
pure,3,0.12171217219694465,-0.0021480626152728804,816,1583.1512795380536
pure,5,0.1142258193426883,-0.009634415469529228,1360,1410.3633789980252
pure,7,0.08987214578323399,-0.03398808902898354,1904,973.6173300726792
no_gate,3,0.10113324942598376,-0.022726985386233772,816,1154.3235425905323
no_gate,5,0.2575200173394367,0.13365978252721916,1360,13677.309627510387
no_gate,7,0.22468463051227094,0.10082439570005342,1904,8092.233947129171
