top_n,top_k,cost_bps,cagr,edge,trades,final
8,3,5.0,0.4571864412758896,0.33332620646367206,816,300829.98443004076
8,5,5.0,0.40369231711015896,0.27983208229794143,1360,134520.45624766347
8,7,5.0,0.36570788444198893,0.2418476496297714,1904,75099.94745587712
10,3,5.0,0.47999535873993926,0.35613512392772173,816,421466.5328049162
10,5,5.0,0.42303670012043215,0.2991764653082146,1360,180365.46532151534
10,7,5.0,0.3394634012722637,0.21560316646004618,1904,49947.10227378405
12,3,5.0,0.39461341895678964,0.2707531841445721,816,117123.40299923322
12,5,5.0,0.42070700677075956,0.29684677195854203,1360,174129.27519050866
12,7,5.0,0.3694961907093366,0.24563595589711906,1904,79627.37144937363
15,3,5.0,0.3383490177963932,0.21448878298417567,816,49085.31094016804
15,5,5.0,0.3404818999336617,0.21662166512144415,1360,50747.66713331413
15,7,5.0,0.3455882297059867,0.22172799489376915,1904,54954.236281267746
20,3,5.0,0.26451201370609384,0.1406517788938763,816,15290.596221209787
20,5,5.0,0.33415508654922943,0.2102948517370119,1360,45970.39650599529
20,7,5.0,0.3077297589317866,0.18386952411956908,1904,30350.51285365909
25,3,5.0,0.2849374153361632,0.16107718052394565,816,21160.21690439219
25,5,5.0,0.33254772764757184,0.20868749283535432,1360,44828.553788248144
25,7,5.0,0.29537474399231556,0.17151450918009803,1904,24967.20036069842
10,5,2.5,0.430767873273872,0.3069076384616545,1360,202652.61440519348
10,5,5.0,0.42303670012043215,0.2991764653082146,1360,180365.46532151534
10,5,10.0,0.4077081267420944,0.28384789192987686,1360,142993.8064231955
10,5,25.0,0.3627699107837285,0.23890967597151097,1360,71762.48637293256
10,5,50.0,0.2911998264730699,0.16733959166085238,1360,23369.66561007562
