K_normal,K_recovery,K_bull,conv,cash_crash,regime_mode,CAGR_pct,Sharpe,MaxDD_pct,Final_eq
7,7,3,True,False,default,97.54,1.261,-61.84,2028050.0
7,7,3,True,False,loose,97.54,1.261,-61.84,2028050.0
5,7,3,True,False,loose,96.45,1.195,-66.64,1802963.2
5,7,3,True,False,default,96.1,1.223,-66.64,1736265.4
15,3,10,True,False,tight,95.63,1.188,-59.17,1649694.0
7,7,3,True,False,trend_only,95.21,1.243,-61.84,1574839.6
7,3,3,True,False,trend_only,95.21,1.243,-61.84,1574839.6
7,5,3,True,False,trend_only,95.21,1.243,-61.84,1574839.6
10,3,10,True,False,tight,95.12,1.173,-60.6,1559462.2
7,3,10,True,False,tight,95.08,1.16,-61.23,1553419.8
3,7,3,True,False,loose,94.99,1.09,-71.39,1537106.6
15,3,7,True,False,tight,94.97,1.182,-59.36,1533797.3
10,3,7,True,False,tight,94.45,1.167,-60.78,1449904.7
7,3,7,True,False,tight,94.42,1.154,-61.41,1444286.7
3,7,3,True,False,default,94.09,1.123,-71.39,1392741.9
15,3,3,True,False,tight,93.71,1.169,-60.91,1336687.8
7,7,3,True,True,loose,93.59,1.253,-61.84,1319429.9
3,7,3,True,True,loose,93.36,1.085,-71.39,1286282.3
15,3,5,True,False,tight,93.29,1.169,-59.2,1276113.7
7,5,3,True,False,default,93.26,1.165,-63.11,1272215.1
10,3,3,True,False,tight,93.2,1.155,-60.21,1263576.2
7,3,3,True,False,tight,93.17,1.143,-62.46,1258680.2
7,5,3,True,False,loose,92.92,1.191,-63.11,1225151.5
5,7,3,True,True,loose,92.88,1.186,-66.64,1219913.0
10,7,3,True,False,loose,92.83,1.289,-54.78,1213011.3
10,3,5,True,False,tight,92.78,1.154,-60.45,1206315.3
7,3,5,True,False,tight,92.75,1.142,-61.09,1201641.2
15,3,7,False,False,tight,92.54,1.324,-70.69,1174256.3
10,7,3,True,False,default,92.53,1.257,-54.78,1173238.4
5,3,10,True,False,tight,92.43,1.108,-64.31,1160632.9
10,3,3,True,False,trend_only,92.12,1.292,-57.33,1120847.9
