feature,mean_ic,std_ic,ir,n_months
price,-0.031885375118830446,0.09532521582005073,-1.1587089365412249,276
log_price,-0.031885375118830446,0.09532521582005073,-1.1587089365412249,276
ret_5d,-0.027957517520952335,0.10164502650675511,-0.9528029548316048,276
rsi_14,-0.022756270875318903,0.11467762284078387,-0.687405552547514,276
ret_21d,-0.01919252661977931,0.12150707664604127,-0.5471686448010511,276
d_sma50,-0.018025259795686692,0.12577178929849195,-0.4964653196061718,276
recovery_rate,0.009883213669823152,0.07009431799226429,0.48843411872791603,276
trend_health_5y,0.01854762404275003,0.14582100669745685,0.4406145305028866,276
vol_contraction,-0.00970591856192799,0.08708244148056246,-0.38609721541023906,276
mom_per_unit_vol_12,0.01696915144261336,0.15718325219938953,0.37397664253254587,276
max_below_200_streak,-0.012355044684022709,0.12463030088408475,-0.3434087051176142,276
mom_accel,-0.014572607259445772,0.1473603631460221,-0.34256832208123505,276
mom_12_1,0.01497097116759604,0.16226966865694487,0.3195974073965094,276
bb_width_contraction,-0.007006031832187062,0.07656243350690888,-0.31699104996963906,276
idio_mom_12_1,0.013860210365737,0.15299171305695938,0.313828613032283,276
trend_r2_12m,0.008324363409877529,0.09700241186902897,0.2972755025110597,276
breakout_strength_60,-0.013346464565623897,0.15666678987025295,-0.29510727510562923,276
fip_score,-0.007124460642884856,0.08543407500564938,-0.2888760207021709,276
sharpe_5y,0.012030279883804645,0.14683309802904196,0.2838196056300892,276
frac_above_50dma_1y,0.012292917965851894,0.1533827935927692,0.2776316429163731,276
multibagger_ratio_24m,0.00952216063605445,0.12112709186434839,0.27232332198562537,276
vol_expansion_24m,-0.0062509177622896905,0.08688906031778505,-0.2492122050491176,276
quality_score_5y,0.01190267987388936,0.16832509527331965,0.2449551120625046,276
accel,0.008681596778382207,0.12282994061635219,0.24484204153368147,276
trend_slope_252,0.011168691347464857,0.16001868543257108,0.24178102470433743,276
sharpe_12m,0.011088065745275783,0.15940375447033533,0.24096161715006212,276
sharpe_1y,0.011088065745275783,0.15940375447033533,0.24096161715006212,276
sma50_above_200,0.007898221977082719,0.11997064749747972,0.22805781312552745,276
mean_ret_12m,0.0097034476571142,0.15460382441147025,0.21741848126572033,276
rsi_zone_score,-0.004397114797012323,0.07106285420749657,-0.2143461959155258,276
mom_consistency_12m,0.007749274097347651,0.12552265168522078,0.2138599890646498,276
near_52wh_60d,0.008164731207741173,0.13231637200841959,0.2137563034308565,276
drawdown_age_days,-0.008140056575494724,0.13410433508353253,-0.21026899028222817,276
new_52wh,-0.0038234725310728563,0.06472611687610362,-0.2046298775450599,276
rs_12m_spy,0.009468427360728154,0.16698654878452765,0.19642057849483496,276
mom_3y,0.00895222256099409,0.15871804587665664,0.19538678454189093,276
mom_5y,0.007739763880155582,0.1458050499331848,0.1838847733347926,276
excess_5y_logret,0.0076483743878535525,0.14604668198311155,0.18141285861739403,276
mom_2y,0.008757404985173798,0.16750589652670242,0.18110730059416133,276
pullback_5y,0.007262300009411095,0.1883989685629223,0.13353228727371586,276
pullback_all,0.006744985852329536,0.17792178467818853,0.13132352751180787,276
mom_6_1,0.005243938870126958,0.14413321582360084,0.12603296891621815,276
earnings_drift_proxy,0.001358917765027506,0.04127823169560648,0.11404144584934374,276
bb_width_pct,-0.004960757643419654,0.15647244162806787,-0.10982488920141216,276
best_month_24m,0.004783810427076054,0.1547907571730435,0.10705810688955594,276
acceleration_2y,0.003706113173431409,0.12155164855289351,0.1056205554002043,276
tail_ratio_24m,0.002643088120695788,0.0940413253459295,0.0973606634548563,276
rs_3m_spy,-0.003864737449760104,0.13855534539177525,-0.09662451639048822,276
mom_3,-0.003864737449760104,0.13855534539177525,-0.09662451639048822,276
rs_3m_zscore,-0.003864737449760104,0.13855534539177525,-0.09662451639048822,276
pullback_3y,0.004860149569825739,0.19276796390070053,0.08733843338884392,276
dist_from_low_1y,0.0027963435217989233,0.12184932378924508,0.07949833293370025,276
beta_2y,0.004222989569029497,0.20744353352502629,0.07051974452132113,276
vol_3m,-0.003367952529706245,0.1896465917763325,-0.061519322275100846,276
tight_consolidation_60,0.002776487121864566,0.1578643228708871,0.06092594798082746,276
min_dd_60d,0.0026956617054638824,0.1801279392262269,0.05184118636939802,276
worst_month_24m,-0.0026434195724087616,0.1783835498337978,-0.0513336236373797,276
max_dd_5y,0.0024034337718340675,0.18125475277167846,0.04593390619320597,276
pullback_1y,-0.0014399344858264846,0.18578956583660666,-0.026848005998522342,276
below_52wh,0.0014399344858264846,0.18578956583660666,0.026848005998522342,276
dd_from_52wh,0.0014399344858264846,0.18578956583660666,0.026848005998522342,276
range_pos_1y,-0.0012308219670980316,0.16187695983193784,-0.02633909339907251,276
d_sma200,-0.0011478810426673559,0.1577837270280822,-0.025201436477554403,276
vol_1y,0.0013438051209621682,0.19211940563029262,0.024230126439769906,276
vol_12m,0.0013438051209621682,0.19211940563029262,0.024230126439769906,276
vol_6m,-0.0007260742022269704,0.1920706766236794,-0.013095152580590321,276
rs_6m_spy,-0.00016843628868237477,0.14990921540993424,-0.0038922251582523943,276
