,ret_m
2003-02-28,0.0
2003-03-31,0.0
2003-04-30,-6.0310751525793904e-05
2003-05-31,0.011549579846430014
2003-06-30,-0.007903395759357723
2003-07-31,-0.007436247956382425
2003-08-31,0.037799037726207185
2003-09-30,-0.0026164214702740773
2003-10-31,0.029927463747847938
2003-11-30,0.01509910305670048
2003-12-31,0.07022453804391593
2004-01-31,0.03284210046183578
2004-02-29,0.02588325584798712
2004-03-31,-0.01310086157644652
2004-04-30,-0.0030234849639428907
2004-05-31,0.015637964417203554
2004-06-30,0.025896451350324368
2004-07-31,-0.04084421363550317
2004-08-31,0.0033556011062738644
2004-09-30,0.01868570132929248
2004-10-31,0.019629061674054205
2004-11-30,0.06787849820426461
2004-12-31,0.031107665486745706
2005-01-31,-0.03494022468624369
2005-02-28,0.03520331848261038
2005-03-31,-0.014835977270357015
2005-04-30,-0.02333607693522788
2005-05-31,0.03167114534345972
2005-06-30,0.009875236691640144
2005-07-31,0.038053254385109536
2005-08-31,0.0044130225722958105
2005-09-30,0.027721154489916078
2005-10-31,-0.01839143664392262
2005-11-30,0.03479111785209121
2005-12-31,-0.0007366859161173078
2006-01-31,0.04069630265765056
2006-02-28,-0.0030500317789453613
2006-03-31,0.025707929345832214
2006-04-30,0.011198765727149285
2006-05-31,-0.03833661615896833
2006-06-30,-0.006589403079350964
2006-07-31,0.004089205066637902
2006-08-31,0.03520350239130354
2006-09-30,0.027529810682515032
2006-10-31,0.044148438540934976
2006-11-30,0.016143156138924475
2006-12-31,0.010983577174906944
2007-01-31,-0.019159534324678984
2007-02-28,0.03612737313386871
2007-03-31,0.01533758846189337
2007-04-30,0.04953180990827666
2007-05-31,0.04028006606624723
2007-06-30,-0.01370966096813897
2007-07-31,-0.021334574863053346
2007-08-31,0.009565915193013197
2007-09-30,0.042211549292670014
2007-10-31,0.028985813333263
2007-11-30,-0.039114291479738994
2007-12-31,-0.01813712310228388
2008-01-31,-0.0798651404438141
2008-02-29,-0.005600296476847011
2008-03-31,0.008008610103815705
2008-04-30,0.06520244978898782
2008-05-31,0.04786782558812752
2008-06-30,-0.07107347140711129
2008-07-31,-0.029178748178439018
2008-08-31,0.02651202471352665
2008-09-30,-0.10712979657643706
2008-10-31,-0.1373069539158963
2008-11-30,-0.060793903771544255
2008-12-31,-0.009262784881205466
2009-01-31,-0.06558228742970262
2009-02-28,-0.11692047963442587
2009-03-31,0.07640806895441132
2009-04-30,0.09654314133809305
2009-05-31,0.033738532996409054
2009-06-30,0.022699112611286765
2009-07-31,0.08514358519714316
2009-08-31,0.038399858137000864
2009-09-30,0.037078041045401244
2009-10-31,-0.02074388380702641
2009-11-30,0.06300204734736559
2009-12-31,0.04870393188890443
2010-01-31,-0.05079201788243137
2010-02-28,0.03432593716665955
2010-03-31,0.057666776168620704
2010-04-30,0.02835884217070439
2010-05-31,-0.0602957787126277
2010-06-30,-0.03680366598494411
2010-07-31,0.04634449523458217
2010-08-31,-0.03300687561806348
2010-09-30,0.10098894127265745
2010-10-31,0.029975492247986235
2010-11-30,0.0006085572032841213
2010-12-31,0.05661741237719964
2011-01-31,0.035915699086059405
2011-02-28,0.042437978152576106
2011-03-31,0.002991643182960857
2011-04-30,0.03032530267385458
2011-05-31,0.0012367460375319883
2011-06-30,-0.020572723368429413
2011-07-31,-0.006878234234366953
2011-08-31,-0.032601554957275236
2011-09-30,-0.04765417186723997
2011-10-31,0.09254405286110967
2011-11-30,2.465007140273201e-05
2011-12-31,0.0066060233055516004
2012-01-31,0.042865136197421716
2012-02-29,0.05349283086011947
2012-03-31,0.03852004586066249
2012-04-30,0.0021722080413386635
2012-05-31,-0.038053950116506585
2012-06-30,0.03224231741382089
2012-07-31,0.033698256356144984
2012-08-31,0.023781249380674607
2012-09-30,0.009818333641954391
2012-10-31,-0.020470472431731723
2012-11-30,0.0042469247024878864
2012-12-31,-0.014412055182538186
2013-01-31,0.019549168762779345
2013-02-28,0.017196737401587114
2013-03-31,0.04041922195344605
2013-04-30,0.020582775220511662
2013-05-31,0.004856071487395086
2013-06-30,-0.022814729544245016
2013-07-31,0.058250815557552516
2013-08-31,-0.016983815686254178
2013-09-30,0.02563098408508968
2013-10-31,0.05362385078389509
2013-11-30,0.03258692974413635
2013-12-31,0.016057632824363788
2014-01-31,-0.04558050962645699
2014-02-28,0.03675159353542834
2014-03-31,0.02262428898661195
2014-04-30,0.022006709228614474
2014-05-31,0.027256782819107928
2014-06-30,0.02066611660772133
2014-07-31,-0.016127269340664774
2014-08-31,0.0435334458772485
2014-09-30,-0.012879780391829243
2014-10-31,0.04208056728105403
2014-11-30,0.042529332008157006
2014-12-31,-0.010038185628288399
2015-01-31,-0.014910597189753294
2015-02-28,0.05868090903907652
2015-03-31,-0.018155796584097494
2015-04-30,0.005493955632958958
2015-05-31,0.009972705102123447
2015-06-30,-0.02840098632831345
2015-07-31,0.005397705921997176
2015-08-31,-0.05377454239254775
2015-09-30,-0.018995296946221263
2015-10-31,0.06723200714282007
2015-11-30,0.010966383122412049
2015-12-31,-0.031059746633537832
2016-01-31,-0.04255489535288559
2016-02-29,0.01703039168233289
2016-03-31,0.08052846019109938
2016-04-30,-0.019480765586383675
2016-05-31,0.036028174850950334
2016-06-30,0.018345405333713094
2016-07-31,0.04265761913016952
2016-08-31,0.001227596660686281
2016-09-30,0.019191919534182755
2016-10-31,-0.02111228911606544
2016-11-30,0.030499115484637462
2016-12-31,0.030039081220782693
2017-01-31,0.03292163586859265
2017-02-28,0.050780910875859675
2017-03-31,0.012026156441761415
2017-04-30,0.0027647471227896236
2017-05-31,0.06795343201566229
2017-06-30,-0.011669222854609806
2017-07-31,0.018147340676079038
2017-08-31,0.025564274597250858
2017-09-30,0.0037376162410638347
2017-10-31,0.04068605882614196
2017-11-30,0.028593448694600232
2017-12-31,-0.011461241565888347
2018-01-31,0.0529921127519386
2018-02-28,-0.023260151162764475
2018-03-31,-0.022496884227984237
2018-04-30,0.0028137053712302684
2018-05-31,0.04416771761122451
2018-06-30,-0.0036321470837077374
2018-07-31,0.04998894281081134
2018-08-31,0.07249296371057357
2018-09-30,0.012233585461927099
2018-10-31,-0.076022999704624
2018-11-30,-0.043979605517192266
2018-12-31,-0.1095176033091404
2019-01-31,0.06812761058530281
2019-02-28,0.04284438806329205
2019-03-31,0.050645371889338264
2019-04-30,0.033616832869905355
2019-05-31,-0.08043832764778458
2019-06-30,0.08865481704242595
2019-07-31,0.009919632659776134
2019-08-31,-0.011723226609908433
2019-09-30,0.03789809996446647
2019-10-31,0.039513092846693576
2019-11-30,0.044945879457644056
2019-12-31,0.051412762082544416
2020-01-31,0.02091206406442292
2020-02-29,-0.07463871967668312
2020-03-31,-0.09931696199287199
2020-04-30,0.11831043094531424
2020-05-31,0.07679089127276018
2020-06-30,0.045275917912133146
2020-07-31,0.0957854297069447
2020-08-31,0.13205803324796883
2020-09-30,-0.038185319769881265
2020-10-31,-0.04427255327962809
2020-11-30,0.09433096946662167
2020-12-31,0.04602070023792626
2021-01-31,-0.011410198079496614
2021-02-28,-0.0074045278341379195
2021-03-31,0.027059781163783603
2021-04-30,0.07335576190716675
2021-05-31,0.0032803302391488653
2021-06-30,0.06828766907610473
2021-07-31,0.026624691632114672
2021-08-31,0.056087268317004835
2021-09-30,-0.06154809637104741
2021-10-31,0.10816748680660537
2021-11-30,0.09281005215326465
2021-12-31,0.022415675714782868
2022-01-31,-0.06885842020990529
2022-02-28,-0.02364519861414982
2022-03-31,0.07287749325270032
2022-04-30,-0.13409073086078205
2022-05-31,-0.015907637044712986
2022-06-30,-0.09053168412740742
2022-07-31,0.12289719486647877
2022-08-31,-0.05834175100671635
2022-09-30,-0.11914902279684403
2022-10-31,0.10162927427661272
2022-11-30,0.06439497131222138
2022-12-31,-0.08019954272558072
2023-01-31,0.10405835454778778
2023-02-28,0.02256211012726217
2023-03-31,0.08564754811655395
2023-04-30,0.018031094554948668
2023-05-31,0.09628263796345649
2023-06-30,0.09473688381502332
2023-07-31,0.04135480128761415
2023-08-31,-0.0018646744444908991
2023-09-30,-0.07972438682523919
2023-10-31,-0.028809670646590235
2023-11-30,0.11109567750841465
2023-12-31,0.03735882555356551
2024-01-31,0.08604328939596528
2024-02-29,0.13254806307296074
2024-03-31,0.06631938039781615
2024-04-30,-0.03837692935179571
2024-05-31,0.17627649416976188
2024-06-30,0.0909558655236955
2024-07-31,-0.00920061390844007
2024-08-31,0.028667742068617663
2024-09-30,0.014272719067255357
2024-10-31,0.03918499751410409
2024-11-30,0.04676450307581037
2024-12-31,-0.021691853319874332
2025-01-31,-0.06324693780951252
2025-02-28,0.035134499092583926
2025-03-31,-0.09589307482136389
2025-04-30,-0.011034558638879921
2025-05-31,0.12576858041876648
2025-06-30,0.10566198619490774
2025-07-31,0.07867801597464985
2025-08-31,0.007452679118182592
2025-09-30,0.06619048551364481
2025-10-31,0.06173963438391006
2025-11-30,-0.07065788646798166
2025-12-31,0.02524613365205064
2026-01-31,0.012725280577614573
2026-02-28,-0.03324437283621173
2026-03-31,-0.040300444476282005
2026-04-30,1.2655261584448851e-05
2026-05-31,5.7385871478965456e-05
