wt_n1,wt_n2,wt_sig_len,wt_oversold,rsi_period,rsi_overbought,trend_sma,mkt_sma,rs_lookback,confirm,profit_take,stop_loss,max_hold,no_pyramid,train_wr,train_ntr,full_wr,full_ntr,holdout_wr,holdout_ntr,full_cagr,full_sharpe,full_mdd,holdout_cagr,holdout_sharpe,feasible
54,143,7,-80.07715024423399,208,78.87418734246302,0,144,63,2,0.40336128700680185,0.28059207987224527,0,0,1.0,1,1.0,1,0.0,0,3.0743932029286825e-05,0.09256296990891169,-0.0007171679371185125,0.0,0.0,False
23,152,4,-27.177847087401965,187,87.06378283194958,197,0,0,0,0.5449234553510449,0.19994150595847793,71,1,1.0,5,0.6428571428571429,14,0.4444444444444444,9,0.0003025230191977535,0.22309210530691898,-0.007734365085553279,-0.000295248409454385,-0.2523826176565927,False
65,59,3,-31.960374739645708,223,83.15423292179895,211,0,31,2,0.5973031290197528,0.0,0,1,0.9487179487179487,39,0.8588235294117647,85,0.782608695652174,46,0.013443610337469103,0.7820969356876832,-0.09051669469167851,0.012783857983209579,1.0523425003783433,False
34,31,3,-40.899000144848294,155,80.30427830268559,195,0,0,1,0.1474589356367361,0.47647323894187454,0,1,0.8894736842105263,1140,0.8704074816299265,2994,0.8586839266450917,1854,0.05635479622144679,0.7098655052216813,-0.2980820610789681,0.052663897265427195,0.8033807662320346,True
62,50,7,-29.216174384633383,80,75.70606475075505,125,0,0,3,0.11168700555940933,0.0,418,1,0.8709677419354839,62,0.8429319371727748,191,0.8294573643410853,129,0.0053564813657658306,0.5591092984531515,-0.026266371051069503,0.006451290590541836,0.5769162574880686,False
27,33,5,-49.136843712170595,148,64.10131048273331,0,158,0,1,0.38565409998268335,0.0,0,0,0.8059071729957806,948,0.7156188605108055,4072,0.6882202304737516,3124,0.09167355332351979,0.6437610610877126,-0.5641759051766131,0.098448526959797,0.6760392764801554,False
62,112,6,-51.63773744800083,75,73.67585086496621,41,0,72,0,0.10743626106069946,0.0,319,0,0.8023255813953488,86,0.8148148148148148,135,0.8367346938775511,49,0.002705387771521517,0.15273982686359835,-0.09730371821343173,0.002652555420939784,0.3768057946115053,False
38,40,7,-52.72063326666909,203,61.44356452846116,0,0,154,0,0.13415775886498202,0.4435873348498333,0,0,0.792,750,0.842728297632469,1774,0.8798828125,1024,0.03606933630804554,0.4808523145619153,-0.3601340716193722,0.04467280901490667,0.715090501814072,False
56,34,3,-38.047812793561135,248,79.1089919136932,176,0,99,1,0.13428384731695128,0.3606824512866204,289,0,0.7747440273037542,293,0.7660910518053375,637,0.7587209302325582,344,0.012025396331960092,0.4092891109150659,-0.1285621551744425,0.014006932982294051,0.4990768601829327,False
31,60,3,-31.74440224625716,228,85.79585818569446,158,0,0,0,0.1712390006644364,0.0,372,0,0.7723880597014925,268,0.7692307692307693,741,0.7674418604651163,473,0.01956415430430236,0.6202349282252803,-0.11600065024320022,0.02288896351494296,0.6784235154162085,False
88,83,7,-51.19026222659886,89,64.68878710462722,0,145,137,0,0.4648963288795419,0.22622361599393565,104,0,0.75,8,0.7333333333333333,15,0.7142857142857143,7,0.0005002426903841783,0.3558148536579135,-0.0038013794007112356,0.0007402388282509165,0.5363470412290886,False
25,32,3,-63.211868871046505,225,73.15383550058203,177,0,31,1,0.4256875429477992,0.18255095356165912,152,1,0.7,10,0.7368421052631579,19,0.7777777777777778,9,0.0007669744665532718,0.5079174525104757,-0.0037496580496480343,0.0006439105439042248,0.37710985324784024,False
79,102,4,-26.03316756656818,63,61.17188169168433,68,115,0,1,0.0,0.39625611090052176,387,1,0.6981566820276498,434,0.6861471861471862,1386,0.680672268907563,952,0.0384243514139857,0.5541399023842132,-0.24401119884047048,0.04985127090336228,0.6737621615691948,False
44,161,2,-25.68534011263894,147,81.28507106660581,0,170,0,0,0.5075171292013888,0.4423454525142581,0,0,0.687934301958307,1583,0.5806559571619813,8964,0.5576480151740957,7381,0.12896312492074613,0.25906631642974315,-0.47929204978649487,0.04703960275505814,0.4255296028218662,True
73,46,6,-31.551366394738594,241,61.57696814222136,0,218,168,2,0.40534660510710796,0.4700671376899846,0,1,0.68,300,0.69375,640,0.7058823529411765,340,0.029689856657628688,0.6002621030418792,-0.16708114275449065,0.03043249755696409,0.6167189603504687,False
48,32,7,-42.21581595369184,252,82.53383693799213,141,146,80,0,0.5656017470688539,0.30458259281927763,0,1,0.675,40,0.6176470588235294,102,0.5806451612903226,62,0.009370433864322791,0.6863776728766646,-0.044067069165471026,0.009516963740308526,0.6166194724582231,False
16,31,7,-39.64101586657215,126,63.58932050717956,0,130,181,1,0.358296223070443,0.21710602618569125,0,0,0.6486486486486487,777,0.5976650202065559,2227,0.5703448275862069,1450,0.0550546702075323,0.8301573097564751,-0.17872676052680564,0.04794690042496441,0.7146193301902491,True
19,55,3,-28.7078382431543,243,69.32120659079031,45,128,0,0,0.47770279750518235,0.28896191156950934,405,0,0.625,144,0.6168032786885246,488,0.6133720930232558,344,0.017728259806236712,0.6008682394694586,-0.0718160591250495,0.0240589698905449,0.6600279187861114,False
88,162,4,-61.659902266498484,135,82.39526751916232,0,0,77,1,0.45799390306140947,0.34766398144107524,395,0,0.6136363636363636,132,0.6423841059602649,151,0.8421052631578947,19,0.005426409286064748,0.18401609351408862,-0.17266344461822347,0.0019604794910341727,0.46221567813279657,False
71,37,7,-35.97049377409553,246,82.67289823225154,0,0,50,3,0.5550121747298644,0.0,431,0,0.598705501618123,309,0.6891891891891891,888,0.7374784110535406,579,0.040283788422591726,0.4676582653378837,-0.4534115310462655,0.05321187705040087,0.6769116034978704,False
20,31,7,-34.45205734265651,226,62.402768997470424,198,0,0,0,0.4174436368294883,0.0,73,1,0.5966197183098592,1775,0.6084041126508717,4474,0.6161541311596888,2699,0.03709460456573388,0.6232062205678173,-0.16108599000733276,0.042968520550842104,0.7531108752029261,False
36,68,6,-32.61128736882767,131,71.28986439660663,183,80,0,0,0.5429534083971689,0.23954749518588703,0,0,0.5757575757575758,99,0.5251396648044693,358,0.5057915057915058,259,0.017521527238453904,0.5516275776409154,-0.08191172595215994,0.020981932631922273,0.5343517567533741,False
21,33,5,-25.738607700684298,78,78.5359887320787,194,125,94,3,0.0,0.398225708053848,0,0,0.5714285714285714,91,0.6402439024390244,164,0.726027397260274,73,0.06892419864565102,0.6805135049370359,-0.22200103974756297,0.1036074930480475,0.7933724920728712,False
36,152,6,-89.8605087694921,284,63.725133373474215,0,0,0,0,0.3158062278905198,0.33168423848846795,0,0,0.5714285714285714,14,0.5925925925925926,27,0.6153846153846154,13,0.00028032578712178235,0.12215081458440834,-0.013771797152962497,-0.0002975366026801707,-0.11690272107433591,False
21,74,7,-34.84364245457759,171,64.85332072830283,0,120,0,0,0.0,0.0,23,1,0.5553732567678425,1219,0.541019955654102,4510,0.5357034336068064,3291,0.0068869997601785915,0.18399257530973562,-0.1515654518595322,0.0015380394858368618,0.05525902784860919,False
57,50,6,-25.314556477492573,112,84.30977750286183,54,0,48,1,0.0,0.48428682476321333,0,0,0.5522388059701493,134,0.577639751552795,161,0.7037037037037037,27,0.14099483791098666,0.8481128047880708,-0.5034873907061727,0.2213047889523425,1.105848700956263,False
