,ret_m
2003-02-28,0.0
2003-03-31,0.0
2003-04-30,0.0
2003-05-31,0.0
2003-06-30,0.0
2003-07-31,0.0
2003-08-31,0.0
2003-09-30,0.0
2003-10-31,0.005301184181805807
2003-11-30,0.003854569524948781
2003-12-31,0.022297466171149027
2004-01-31,0.005991517100756516
2004-02-29,0.0060025755229442534
2004-03-31,0.004487057044868514
2004-04-30,-0.0009549522859119142
2004-05-31,0.02007012925611651
2004-06-30,0.015614079171272444
2004-07-31,-0.019555067098198986
2004-08-31,0.0037211548331024247
2004-09-30,0.029182778666438036
2004-10-31,0.016187787187252
2004-11-30,0.02913468472823899
2004-12-31,0.018074861101517126
2005-01-31,-0.012614545896670326
2005-02-28,0.009079219852710319
2005-03-31,-0.006046283785951068
2005-04-30,-0.026183169177920407
2005-05-31,0.03963234787164893
2005-06-30,0.007977163292780531
2005-07-31,0.044435355194525794
2005-08-31,-0.018281080246699055
2005-09-30,-0.0007299812989586263
2005-10-31,0.00040172114405034876
2005-11-30,0.033063689434577714
2005-12-31,0.003493110251549414
2006-01-31,0.01716162397499743
2006-02-28,0.009092639677745984
2006-03-31,0.005659398322534592
2006-04-30,0.01653289494818888
2006-05-31,-0.014290548794226865
2006-06-30,0.004816081569591235
2006-07-31,-0.0034020967869907714
2006-08-31,0.028831591858255567
2006-09-30,0.03643583844088316
2006-10-31,0.03080727121022475
2006-11-30,0.017136451349557325
2006-12-31,0.0020758272508376585
2007-01-31,0.01663082929653248
2007-02-28,-0.004148198455081853
2007-03-31,-0.0016928619073215412
2007-04-30,0.02438209470629693
2007-05-31,0.020135530064757212
2007-06-30,-0.010843680006289769
2007-07-31,-0.03009840011590348
2007-08-31,0.007497881336366641
2007-09-30,0.017109477342045043
2007-10-31,-0.0013350516099058796
2007-11-30,-0.028616482306988544
2007-12-31,-0.012436442552005378
2008-01-31,-0.023833116758999795
2008-02-29,-0.028496868862675773
2008-03-31,0.00010930696740363288
2008-04-30,0.03672284507195678
2008-05-31,0.015442189994142597
2008-06-30,-0.06296798363422995
2008-07-31,0.008913068333889163
2008-08-31,0.01939032967426746
2008-09-30,-0.050202101086610496
2008-10-31,-0.11825226468315753
2008-11-30,-0.030963344726724573
2008-12-31,0.00422373609464155
2009-01-31,-0.020114017122092265
2009-02-28,-0.03015527529343398
2009-03-31,0.01304722197510233
2009-04-30,0.007321690977559303
2009-05-31,0.0059169718545502015
2009-06-30,0.007990862270027987
2009-07-31,0.019606629872418457
2009-08-31,0.006933774298083728
2009-09-30,0.009108006319039408
2009-10-31,-0.0036874477193805655
2009-11-30,0.020415703219919257
2009-12-31,0.022570092357728333
2010-01-31,-0.005074056141278871
2010-02-28,0.019450818358242028
2010-03-31,0.05124964034192869
2010-04-30,0.015606429097866137
2010-05-31,-0.026786552646296702
2010-06-30,-0.032788546921475814
2010-07-31,0.057730335187737625
2010-08-31,-0.037655968385209126
2010-09-30,0.08183512917796198
2010-10-31,0.018150336282124035
2010-11-30,-0.00539156118188755
2010-12-31,0.04092665823660391
2011-01-31,0.011836068914952591
2011-02-28,0.009484206875268741
2011-03-31,0.0050355426594026476
2011-04-30,0.01976073968567582
2011-05-31,-0.0015281196591979684
2011-06-30,-0.002830310898492172
2011-07-31,-0.03699629738304089
2011-08-31,-0.06569824758264664
2011-09-30,-0.08179243527588764
2011-10-31,0.1200722299244481
2011-11-30,0.0021570304084879144
2011-12-31,0.012077435569845418
2012-01-31,0.04104365246152519
2012-02-29,0.02453861225514431
2012-03-31,0.015999524962625467
2012-04-30,-0.004999781467674214
2012-05-31,-0.05162659468348074
2012-06-30,0.03323050728290555
2012-07-31,0.0005810434755728622
2012-08-31,0.030549337273047206
2012-09-30,0.022647798655362372
2012-10-31,-0.0011753750779415206
2012-11-30,0.009177413130833534
2012-12-31,0.01755740013210394
2013-01-31,0.04883913135042439
2013-02-28,0.01019944666077266
2013-03-31,0.02543567813438541
2013-04-30,0.014815286985675247
2013-05-31,0.012432660957991892
2013-06-30,-0.006571655601036563
2013-07-31,0.023202399103554594
2013-08-31,-0.012089537421452357
2013-09-30,0.016464055314881598
2013-10-31,0.026267983174942167
2013-11-30,0.009463712792779466
2013-12-31,0.009915122671079413
2014-01-31,-0.003789643975705692
2014-02-28,0.02331582400234944
2014-03-31,0.006557524363582923
2014-04-30,0.004772646696201033
2014-05-31,0.01764151701938732
2014-06-30,0.010520860164782597
2014-07-31,-0.007993716162999154
2014-08-31,0.023020979639856165
2014-09-30,-0.009987339325231548
2014-10-31,0.03137644447437671
2014-11-30,0.021991443025529023
2014-12-31,0.0015849657778663762
2015-01-31,-0.01335051133684606
2015-02-28,0.034930147645014786
2015-03-31,-0.0027971939205286844
2015-04-30,0.0007052160109868311
2015-05-31,0.0028041972202501597
2015-06-30,-0.012546675402850371
2015-07-31,0.019244773472653298
2015-08-31,-0.034308477389181524
2015-09-30,-0.009997790221711544
2015-10-31,0.04298956116961028
2015-11-30,0.00019715648782692163
2015-12-31,-0.013581018527387023
2016-01-31,-0.0254120425152351
2016-02-29,0.006895757667653157
2016-03-31,0.046468491414162205
2016-04-30,0.008314630225288555
2016-05-31,0.006694981393305266
2016-06-30,-0.0015363648403073915
2016-07-31,0.017202697098634978
2016-08-31,0.004261504463005661
2016-09-30,-0.00044203871733417
2016-10-31,-0.009018100606896784
2016-11-30,0.018041069227219486
2016-12-31,0.012305648233817523
2017-01-31,0.012227884505478626
2017-02-28,0.023630361355136742
2017-03-31,-0.0001748986624805493
2017-04-30,-0.0018051702404449088
2017-05-31,-0.0005639514583629657
2017-06-30,0.011935015178436537
2017-07-31,0.010617917334149407
2017-08-31,-0.010403365679752752
2017-09-30,0.024104970362233358
2017-10-31,0.0023700864163136437
2017-11-30,0.015947417703130906
2017-12-31,0.007981680572206828
2018-01-31,0.017423736048254534
2018-02-28,-0.020388427965327582
2018-03-31,-0.0007615929963978862
2018-04-30,0.0007939681067998805
2018-05-31,0.005005709487575727
2018-06-30,0.0035726121580463843
2018-07-31,0.021519709331433212
2018-08-31,0.0054574156020079645
2018-09-30,-4.8056810530883176e-05
2018-10-31,-0.02749561094075803
2018-11-30,0.018627317850075986
2018-12-31,-0.05409240994065134
2019-01-31,0.052286150977726376
2019-02-28,0.020014982676497928
2019-03-31,-0.00173357908958105
2019-04-30,0.019003621309884533
2019-05-31,-0.026830153393779366
2019-06-30,0.03163373266820968
2019-07-31,0.0056759059517983435
2019-08-31,-0.019037092232095487
2019-09-30,0.018748564265258727
2019-10-31,0.011155861217210683
2019-11-30,0.01815166318703354
2019-12-31,0.015150400203941317
2020-01-31,-0.005692989961406436
2020-02-29,-0.03690500995661605
2020-03-31,-0.08394464683245084
2020-04-30,0.03235853002183253
2020-05-31,0.01494880755284389
2020-06-30,5.961799991238692e-05
2020-07-31,0.012767818037530132
2020-08-31,0.006465076937915093
2020-09-30,-0.0010708927490599152
2020-10-31,-0.0027709525597600093
2020-11-30,0.023103472940494196
2020-12-31,0.005957791161499859
2021-01-31,0.00011490441270312068
2021-02-28,-0.0013705202929910065
2021-03-31,0.02688576306099244
2021-04-30,0.018718769067882723
2021-05-31,0.003481599156802684
2021-06-30,0.00851542105713099
2021-07-31,0.004093799615145999
2021-08-31,0.006648444557522115
2021-09-30,-0.01018493586643121
2021-10-31,0.023913561951687923
2021-11-30,-0.007613858759135672
2021-12-31,0.03817525534226518
2022-01-31,-0.010796153024076438
2022-02-28,-0.007214740174951162
2022-03-31,0.015406727745385318
2022-04-30,-0.02061579045356865
2022-05-31,0.0038570222169849178
2022-06-30,-0.032183697598126004
2022-07-31,0.03252511936721714
2022-08-31,-0.013652857282001496
2022-09-30,-0.03757281535791823
2022-10-31,0.03863716599890199
2022-11-30,0.03231056058111048
2022-12-31,-0.014082511097593509
2023-01-31,0.019129511483692907
2023-02-28,-0.011460410353858586
2023-03-31,0.005561232847280717
2023-04-30,0.005009831146060684
2023-05-31,-0.020296434911029393
2023-06-30,0.03791133497575516
2023-07-31,0.015166078126341409
2023-08-31,-0.015559783957650786
2023-09-30,-0.02005820424413418
2023-10-31,-0.01189073132836127
2023-11-30,0.04432578239720608
2023-12-31,0.029195515064708744
2024-01-31,-0.00329295531507956
2024-02-29,0.011959312862964255
2024-03-31,0.013654738949450795
2024-04-30,-0.011542071222208627
2024-05-31,0.007313840855518006
2024-06-30,0.0014810364000448217
2024-07-31,0.029769808910086848
2024-08-31,0.012987767989779853
2024-09-30,0.01276071742975149
2024-10-31,-0.0062445405264186515
2024-11-30,0.018571277309164413
2024-12-31,-0.021973279753591535
2025-01-31,0.012592470869627448
2025-02-28,0.00402635508143967
2025-03-31,-0.009571577563367129
2025-04-30,-0.010520945111492264
2025-05-31,0.018013214543842082
2025-06-30,0.007869153173027721
2025-07-31,0.004078323152947538
2025-08-31,0.009146440682138657
2025-09-30,0.0009228000817946835
2025-10-31,-0.009194840111943714
2025-11-30,0.010259357822984816
2025-12-31,0.001093546356442987
2026-01-31,0.00792942505970573
2026-02-28,0.010351973282661353
2026-03-31,-0.023228685191884035
2026-04-30,0.0
2026-05-31,0.0
