year,ret_pct
2003,102.3
2004,34.2
2005,49.5
2006,14.6
2007,3.3
2008,-32.2
2009,278.8
2010,50.6
2011,-16.6
2012,41.1
2013,18.9
2014,-8.9
2015,-25.7
2016,28.1
2017,24.7
2018,-10.2
2019,4.1
2020,39.4
2021,29.0
2022,2.8
2023,9.3
2024,27.4
