n_months,cagr,sharpe,sortino,max_dd,best_m,worst_m,positive_months,total_months,cash_months,sub_sharpes,sub_sharpe_min,exp_name,K,wall_time_s
248,0.14785358060213616,0.6932564390915101,1.275879668629938,-0.3711797306539404,0.24917616873283485,-0.1964301490046692,155,248,4,"[0.7475565112875939, 0.8338546154545434, 0.5244450537209845]",0.5244450537209845,lgbm_fixed_K3,3,0.08
248,0.14209440512652383,0.7073381309910666,1.3250052331157052,-0.3814113000390662,0.24869619129167095,-0.18134318822098566,149,248,4,"[0.9462997270920489, 0.8060903177818194, 0.44580753987555216]",0.44580753987555216,lgbm_fixed_K5,5,0.11
248,0.155853768950043,0.8265375712290238,1.5723241300124577,-0.3075414723146485,0.19849357880493917,-0.17438916653841918,153,248,4,"[1.1766593071801463, 0.9784042250306171, 0.4944717307315415]",0.4944717307315415,lgbm_fixed_K7,7,0.13
248,0.15090435924329326,0.8462696637446048,1.570243520995338,-0.30317101654753104,0.18670375970857833,-0.173662148774935,156,248,4,"[1.1114541856896825, 1.0642313891659578, 0.5318188910323604]",0.5318188910323604,lgbm_fixed_K10,10,0.17
248,0.13153139301513783,0.7790939342151676,1.410836987966558,-0.36707215321197506,0.17936049913070035,-0.17044874159967374,151,248,4,"[0.8852607654380723, 1.0186700158729494, 0.560561056301743]",0.560561056301743,lgbm_fixed_K15,15,0.22
248,0.1466155842007566,0.92306488097785,1.8155010194782155,-0.2793983990288237,0.2092007808906494,-0.13958780086883135,153,248,4,"[1.238099862333834, 1.1432156063923744, 0.5521228505197295]",0.5521228505197295,lgbm_ra_K3,3,0.08
248,0.14494484197565938,0.9299229644388288,1.7767487909267718,-0.264803028425037,0.16347351649652567,-0.14870203931866863,154,248,4,"[1.2488400593008664, 1.12074210694035, 0.5665527827788339]",0.5665527827788339,lgbm_ra_K5,5,0.11
248,0.1437917328075371,0.9680823650677127,1.821156368837107,-0.21146564527215608,0.17213560756264892,-0.13581734860254158,161,248,4,"[1.3703712975426467, 1.0559656156853436, 0.6473351922827559]",0.6473351922827559,lgbm_ra_K7,7,0.13
248,0.14377773298665297,0.9269354314130833,1.9293704374277423,-0.2625468365470336,0.2750415358638925,-0.1272887554655689,154,248,4,"[1.1431799402836804, 1.1520791438619207, 0.6213506632472617]",0.6213506632472617,lgbm_ra_K10,10,0.16
248,0.20948645167551772,0.6643549067288335,1.6382768087704507,-0.5259228330231934,0.8495509234283266,-0.24555207408472274,127,248,32,"[0.5677150707900874, 1.1767898895480406, 0.5242941268831732]",0.5242941268831732,enh_gate_K3_bt0.35_pvt0.12,3,0.21
248,0.20948645167551772,0.6643549067288335,1.6382768087704507,-0.5259228330231934,0.8495509234283266,-0.24555207408472274,127,248,32,"[0.5677150707900874, 1.1767898895480406, 0.5242941268831732]",0.5242941268831732,enh_gate_K3_bt0.4_pvt0.12,3,0.21
248,0.20948645167551772,0.6643549067288335,1.6382768087704507,-0.5259228330231934,0.8495509234283266,-0.24555207408472274,127,248,32,"[0.5677150707900874, 1.1767898895480406, 0.5242941268831732]",0.5242941268831732,enh_gate_K3_bt0.35_pvt0.1,3,0.21
248,0.17498835161963733,0.677244013484195,1.4194876665284555,-0.5320387562257938,0.6708649191637719,-0.24403969544257498,134,248,24,"[0.7182089573599705, 1.3670458216980452, 0.3481723446477255]",0.3481723446477255,enh_gate_K5_bt0.35_pvt0.12,5,0.23
248,0.17498835161963733,0.677244013484195,1.4194876665284555,-0.5320387562257938,0.6708649191637719,-0.24403969544257498,134,248,24,"[0.7182089573599705, 1.3670458216980452, 0.3481723446477255]",0.3481723446477255,enh_gate_K5_bt0.4_pvt0.12,5,0.23
248,0.17161631485477846,0.7318400453350374,1.4159981044766836,-0.4489792111867852,0.4886534608265893,-0.24390048145878265,145,248,24,"[0.8162645234564568, 0.8807771832300243, 0.6502844891282136]",0.6502844891282136,enh_gate_K7_bt0.35_pvt0.12,7,0.25
248,0.20948645167551772,0.6643549067288335,1.6382768087704507,-0.5259228330231934,0.8495509234283266,-0.24555207408472274,127,248,32,"[0.5677150707900874, 1.1767898895480406, 0.5242941268831732]",0.5242941268831732,enh_gate_K3_bt0.45_pvt0.12,3,0.21
248,0.20948645167551772,0.6643549067288335,1.6382768087704507,-0.5259228330231934,0.8495509234283266,-0.24555207408472274,127,248,32,"[0.5677150707900874, 1.1767898895480406, 0.5242941268831732]",0.5242941268831732,enh_gate_K3_bt0.35_pvt0.15,3,0.22
248,0.0762637873286538,0.42115627940440775,0.7193347325765965,-0.5396511707537868,0.296640113231008,-0.32456768906125444,137,248,19,"[0.3296532559256008, 0.57896423006892, 0.35937360917898176]",0.3296532559256008,lgbm_enh_K3,3,0.09
248,0.1029270841497838,0.5782408756218889,1.034344381961474,-0.473247314722105,0.3162665343358461,-0.2575669226569902,136,248,19,"[0.584334936900417, 0.9458839017155531, 0.3189371940423742]",0.3189371940423742,lgbm_enh_K5,5,0.11
248,0.11749940967399342,0.6864810275775397,1.2301509770181807,-0.4049626900978236,0.24040158964122083,-0.18562796034766102,146,248,17,"[0.7837160223290771, 0.9362535510825116, 0.4788464554439014]",0.4788464554439014,lgbm_enh_K7,7,0.14
