ticker,score,asof,pullback_1y,pullback_all,range_pos_1y,trend_health_5y,mom_12_1,mom_6_1,mom_3,vol_1y,ret_5d,ret_21d,accel,d_sma200,d_sma50,sma50_above_200,rsi_14,recovery_rate,frac_above_50dma_1y,sharpe_1y,dd_from_52wh,price,mom_2y,below_52wh,new_52wh,sharpe_12m,mean_ret_12m,vol_12m,beta_2y,best_month_24m,worst_month_24m,tail_ratio_24m,trend_r2_12m,max_below_200_streak,vol_3m,vol_6m,vol_contraction,vol_expansion_24m,rs_3m_spy,rs_6m_spy,rs_12m_spy,rs_3m_zscore,mom_accel,mom_consistency_12m,dist_from_low_1y,near_52wh_60d,bb_width_pct,bb_width_contraction,drawdown_age_days,log_price,multibagger_ratio_24m,trend_slope_252,mom_3y,pullback_3y,excess_5y_logret,mom_5y,pullback_5y,ret__hold_forever,days__hold_forever,ret__fixed_1y,days__fixed_1y,ret__fixed_2y,days__fixed_2y,ret__fixed_3y,days__fixed_3y,ret__fixed_5y,days__fixed_5y,ret__trail_25,days__trail_25,ret__trail_35,days__trail_35,ret__trail_50,days__trail_50,ret__stop_30,days__stop_30,ret__trail35_or_3y,days__trail35_or_3y,ret__trail50_or_5y,days__trail50_or_5y,ret__tp100,days__tp100,ret__tp200,days__tp200
ALKS,4.655713413025988,1997-01-31,-0.13888888888888884,-0.13888888888888884,0.8051948051948052,1.0,1.5063291139240507,0.9223300970873787,0.631578947368421,0.7793799525976292,0.10059171597633143,-0.06060606060606055,0.16119777658239198,0.56312372628527,0.1677548970366649,1.0,56.2556250159502,0.8333333333333334,0.7579365079365079,1.486585583832482,0.13888888888888884,11.625,7.651162790697674,0.16129032258064524,0.0,1.486585583832482,1.1586150018596786,0.7793799525976292,1.6318162996525358,1.225806451612903,-0.21285140562248994,5.7589774802191105,0.7514752431802305,0,0.8027553920851025,0.6880824312304933,1.032032253882779,1.2849897353015542,0.5154520401017102,0.6089865475958409,1.107937455121481,2.21236351438781,-0.7228514323784145,0.6363636363636364,2.0,1.0,0.30443256413856257,1.0414318480204483,18.0,2.45315795147342,8.594377992517002,0.8388264563779662,,,,,,2.045161421580981,7605,0.032258064516129004,252,0.36021505376344076,504,1.8521505376344085,756,1.250322567519321,1260,-0.10215053763440862,32,-0.3978494623655914,39,-0.3978494623655914,39,-0.3978494623655914,39,-0.3978494623655914,39,-0.3978494623655914,39,1.064516129032258,726,2.139784946236559,747
VIAV,4.302018308250335,1997-01-31,-0.2668067612851045,-0.2668067612851045,0.6214604558258635,0.9969604863221885,1.5882350156579683,0.6097559725587305,-0.088772868445957,0.7381075053302069,-0.05675674147300014,-0.11868686441036758,0.06193012293736744,0.12583365443846928,-0.1043244215368504,1.0,46.96304126870271,0.6666666666666666,0.8015873015873016,1.4868382086400234,0.2668067612851045,12.407565116882324,4.816666005357166,0.3638969199344364,0.0,1.4868382086400234,1.0974464410089213,0.7381075053302069,1.3491708283198656,0.4326922642902511,-0.26760562182976777,1.6169027441639476,0.8478112991257302,1,0.7351549990068593,0.6437512811698543,0.99737132441985,1.9377317892376125,-0.20489977571266782,0.22186038858726742,1.034552592667051,-0.761143599065843,-1.3698183857383626,0.6363636363636364,1.4839856951414,1.0,0.23613538532349937,1.0785692458124454,43.0,2.518306376652858,3.402030355489905,1.120412179793638,,,,,,3.1144252523486244,7605,0.8108882402562589,252,2.9484241493742447,504,36.39828097407626,756,2.674957216507722,1260,-0.22063030950537177,18,0.8309456179827097,398,25.040114909177554,948,-0.31415469696067144,1446,0.8309456179827097,398,25.040114909177554,948,1.0057307013110792,214,2.0773640065256114,476
BOOM,3.968238626745676,1997-01-31,-0.08620672454235545,-0.08620672454235545,0.8913045604606752,1.0,1.9062504362731416,0.7884612033094696,0.656250137114416,0.6854255712297878,-0.05357147605693424,0.13978486949550306,-0.1933563455524373,0.809452589516372,0.20372469178867836,1.0,55.143116380060206,1.0,0.9206349206349206,2.0920526540564146,0.08620672454235545,5.939868927001953,6.066665059335345,0.09433941664670442,0.0,2.0920526540564146,1.4339463854494114,0.6854255712297878,0.28893251818836196,0.4772728371565369,-0.2777779287933483,1.7181812796638787,0.9488026212968924,0,0.6854497020701087,0.584835795450575,1.0019986136649126,0.9922507308246062,0.5401232298477052,0.8416223240892484,2.0660073496034776,2.3142025832935302,-1.656250137114416,0.8181818181818182,3.416666836559269,1.0,0.21240213787511528,0.8159745907678639,13.0,1.7816870669698048,5.080932828041281,1.3614149661726027,,,,,,0.23403395155484463,7605,-0.3584905539203944,252,-0.584905619481331,504,-0.8490566162695933,756,-0.7056603706182194,1260,-0.028302033715218222,16,-0.08490569975871831,17,-0.29245284987935916,40,-0.30188672732211974,42,-0.08490569975871831,17,-0.29245284987935916,40,1.026415113727369,2089,2.0550943708853824,2142
MTW,3.647256606544311,1997-01-31,-0.1851848826748994,-0.1851848826748994,0.6852202197714882,0.9908814589665653,1.0973308595651963,0.4083289886934518,0.07127810143138724,0.25833943806624493,-0.02721076954223456,-0.08917191010525738,0.06196114056302282,0.1512236684146746,-0.09232220534043212,1.0,29.557942926069742,,0.8650793650793651,2.646502225120611,0.1851848826748994,3.091993808746338,1.4278853430745073,0.22727227163240404,0.0,2.646502225120611,0.6836958976787255,0.25833943806624493,0.2899340184786279,0.3147499090937478,-0.1172838170086038,2.6836601768397266,0.9430595666666464,3,0.3195319624022462,0.26532817105579315,1.239314475213932,1.1769272835177784,-0.04484880583532358,0.08590690759244546,0.6638149360697116,-0.1004765652673556,-0.8390297592636791,0.6363636363636364,0.9791467750677258,1.0,0.15227001758600248,1.700825950314399,43.0,1.1288161283772258,6.164571400608551,0.8222463023494723,,,,,,3.40492469520221,7605,0.5311160772323527,252,0.7246946161861865,504,0.779625379816516,756,1.1544461992594206,1260,0.252448460385039,199,0.29260888587515144,397,0.3718320993168045,922,-0.30616669501684124,3117,0.29260888587515144,397,0.3718320993168045,922,1.0108947947383102,551,2.0019226199077447,2178
APOG,3.3124624894360273,1997-01-31,-0.2033510713396136,-0.2033510713396136,0.6686588491195323,0.8541033434650456,1.1173696256484589,0.21756584742869434,-0.04502610849185806,0.38290110922572435,0.00750669258597747,-0.03896287323950487,0.04646956582548234,0.08872816691296959,-0.08867088634822629,1.0,44.5911559740245,0.6666666666666666,0.8611111111111112,2.0554534637602657,0.2033510713396136,10.590206146240234,1.3239149781282191,0.2552580741953181,0.0,2.0554534637602657,0.7870354112356629,0.38290110922572435,0.21761551699422127,0.2803738269897966,-0.10169469727878422,2.7570152081891184,0.8827548760602125,48,0.43849116511686365,0.39321717828900876,1.1451612948296999,1.8739844401116028,-0.16115301575856888,-0.026712711468026118,0.7883778966977852,-0.5805633616619822,-1.079896929814998,0.7272727272727273,1.0623674414216446,1.0,0.1937040526029848,1.1237582179755299,36.0,2.359929625546632,5.574762918283726,0.8416751669274234,,,,,,2.45413501171943,7605,-0.3938380330521415,252,-0.45535810448897196,504,-0.7410552448544914,756,-0.11861892636552873,1260,-0.18543075162481693,55,-0.139407721243632,222,-0.44628513712651185,223,-0.44628513712651185,223,-0.139407721243632,222,-0.44628513712651185,223,1.0147693269729867,4149,2.0249175209345,4547
SAFE,5.854530762563984,1997-02-28,-0.20634941872642143,-0.20634941872642143,0.7636361247909844,0.7528735632183908,4.000000578932195,1.5000004703824419,0.9230761420325146,1.074120200661057,-0.15254287314773185,0.24999968158733,-0.40254255473506184,1.0007997876589108,0.3007280109085795,1.0,52.33252203418177,0.8,0.8174603174603174,2.223078059411386,0.20634941872642143,20.591232299804688,5.249999131601709,0.2600003371701569,0.0,2.223078059411386,2.3878530512601515,1.074120200661057,-0.0664069264064769,1.0714291444532469,-0.20000027788735675,5.357138278861254,0.8962358832314186,51,1.306067122873277,1.2391033069539077,1.2183231691207297,2.2982916639947693,0.8766436166888578,1.901106674164571,5.012973425965748,4.63648046466218,-4.326922989569194,0.5454545454545454,5.249999131601709,1.0,0.3685394655115347,1.4028952009765814,7.0,3.024865368680783,18.26863541959553,1.6533414653140845,,,,,,-0.2516232334692141,7586,0.5600005409543176,252,1.6945067941639183,504,0.019533360208141337,756,1.0498921055498207,1260,-0.2799999925896669,101,1.0723409686935659,378,0.8975304694371926,578,-0.42628510923201535,2977,1.0723409686935659,378,0.8975304694371926,578,1.1333324564439144,333,2.0614123946713776,344
BOOM,5.822122460356999,1997-02-28,-0.42105255497074556,-0.42105255497074556,0.49206355423852643,1.0,2.9285720743743062,0.9642860371871531,0.33333359119405626,0.7630376200688617,-0.24137909280356717,-0.20000009282983156,-0.04137899997373562,0.32537612704014096,-0.16317986282366947,1.0,37.24223630784869,0.8,0.9444444444444444,1.8828049680770464,0.42105255497074556,4.931212425231934,4.67741914232503,0.7272724987144035,0.0,1.8828049680770464,1.4366510218953386,0.7630376200688617,0.2758478606626989,0.4772728371565369,-0.2777779287933483,1.7181812796638787,0.9469278582285736,0,0.9340253174011801,0.7718097843331715,1.2254967769348184,1.716402425981003,0.28690106585039943,0.3475355296237239,1.9058315891747994,1.4905480634674486,-1.8095237036167047,0.7272727272727273,2.3846148559247973,1.0,0.5853473112591615,2.2605480430192686,12.0,1.5955848858581874,5.074898420785007,1.449041317459949,,,,,,0.4864498406517739,7586,-0.20454557761532122,252,-0.6306817907108657,504,-0.8409090986009575,756,-0.6727273030552041,1260,-0.1534093403453386,22,-0.27272740458784417,42,-0.4545455292664451,379,-0.30681814885303893,192,-0.27272740458784417,42,-0.4545455292664451,379,1.0409091445323901,2064,2.200909693775624,2077
CENT,4.984683729149856,1997-02-28,-0.24782604762169824,-0.24782604762169824,0.6437500516477634,1.0,1.972602444162305,0.10152276742722277,0.0,0.6513754586348085,-0.05464484498811495,-0.20276492049490147,0.14812007550678652,0.01842963166773215,-0.07521246424283956,1.0,34.77883486508898,0.75,0.7420634920634921,1.6508219941169933,0.24782604762169824,5.708813190460205,5.407407541204481,0.32947969926118303,0.0,1.6508219941169933,1.0753049335423857,0.6513754586348085,0.9062155609003922,0.3764706042353878,-0.19907405734943984,1.8911083103840056,0.7002773854411721,0,0.5952604917798595,0.5679053565920437,0.915577175116654,0.6969521841212102,-0.04643252534365683,-0.3457205267151384,1.132837240272824,-0.2875921495001992,-1.3698629459087854,0.6363636363636364,1.4714286230360143,1.0,0.31554524549978546,1.1973613581475433,26.0,1.7420111545094918,3.3153322902378424,0.9707642103411203,,,,,,5.749213451875249,7586,0.6127167084480116,252,-0.23410413532160912,504,-0.5520231411825798,756,-0.6467052263948069,1260,-0.24277460316770894,13,0.19653182956685922,353,-0.07514452798300475,374,-0.30924853801487084,378,0.19653182956685922,353,-0.07514452798300475,374,1.0092485547201702,2046,2.0122818193975083,5034
PTEN,3.995258545332388,1997-02-28,-0.3284670078385242,-0.3284670078385242,0.494382337749344,0.9971264367816092,1.5100002192763395,0.5886080855819957,-0.1711710188184683,0.4896084005712119,-0.11538439422108204,-0.2669319237431277,0.15154752952204564,0.05908839274197186,-0.20276409759753478,1.0,25.98359137936879,0.6666666666666666,0.7777777777777778,1.4932260997888058,0.3284670078385242,1.9806219339370728,2.3153142708683987,0.4891301122544722,0.0,1.4932260997888058,0.7310960424087861,0.4896084005712119,0.2712478669807664,0.2714282414519442,-0.281249872923769,0.9650786278773292,0.8766045393423587,1,0.5237362684082871,0.5419828262036894,1.0680219434414542,1.2240262499746049,-0.21760354416212513,-0.05933524455795025,0.6029753265132722,-1.2006896587115292,-1.011172050967702,0.6363636363636364,0.9166677241335712,1.0,0.4320936116765007,2.380274750077505,32.0,0.6834109034338652,2.462422325085338,0.8878300904999158,,,,,,4.760816666677701,7586,0.7934777002070641,252,-0.5163045457262113,504,2.336954271892758,756,2.7704338355143086,1260,3.06521541426575,180,2.347824911985866,184,1.6739116735514497,205,-0.3097830283747589,457,2.347824911985866,184,1.6739116735514497,205,1.065216738397491,86,2.032608850701197,109
PCYO,3.9496632816412416,1997-02-28,-0.34000000953674314,-0.34000000953674314,0.5277777676597054,0.7212643678160919,1.8571429057997109,0.08108106714865881,0.49999994581396057,2.4137015151227144,-0.13157894901951928,-0.17500001192092896,0.04342106290140968,0.15088844173788352,0.019525447556489217,1.0,43.63219006699857,0.8333333333333334,0.47619047619047616,1.378407544989811,0.34000000953674314,3.299999952316284,2.6666667108182565,0.5151515370448652,0.0,1.378407544989811,3.327064379798488,2.4137015151227144,1.532885687285822,1.7375000307336443,-0.3783783992770118,4.591964113315084,0.0024691626437288727,47,1.9189715508711314,1.8523411654510773,0.7966091799454454,0.8451244163398055,0.45356742047030374,-0.3320012502715036,1.1201171575890025,2.3796158175956217,-0.8571429174110035,0.45454545454545453,1.357142863224964,0.0,0.3216968343473021,0.6042389910266018,224.0,1.1939224540228235,7.561466487178287,-0.04833884082656592,,,,,,2.539394083014316,7586,-0.6060606148179462,252,-0.4545454611134596,504,-0.5454545388865404,756,-0.6666666546253242,1260,-0.2121212296358922,22,-0.3333333092506482,25,-0.48484846295513473,42,-0.3333333092506482,25,-0.3333333092506482,25,-0.48484846295513473,42,1.1212121518628115,1762,2.0303030740897303,1788
SAFE,11.384570954463571,1997-03-31,-0.2698414740501305,-0.2698414740501305,0.6851849604419988,0.7663043478260869,4.55555549837706,0.6666660491391359,0.7037027888482437,1.0738087740463855,0.14999969316597261,-0.0800000111154997,0.22999970428147232,0.6425633723483004,0.017698809097512536,1.0,53.107846501649725,0.8,0.8452380952380952,2.0350345349978816,0.2698414740501305,18.943933486938477,3.5999977074293072,0.36956560042778563,0.0,2.0350345349978816,2.1852379391681316,1.0738087740463855,-0.13327421543787432,1.0714291444532469,-0.20000027788735675,5.357138278861254,0.8881680229112248,51,1.29375410271426,1.1582676372464777,1.2071950081076395,0.8031379918995134,0.6977881246860977,0.4253474648125648,3.93698697125377,4.214218337888029,-3.4074082079058767,0.45454545454545453,4.11111099675412,1.0,0.30177393702006494,0.9815564182709994,27.0,2.941483747659667,18.1102691964783,1.581761786462358,,,,,,-0.18654698307312756,7566,0.6304353057270902,252,1.850459375214268,504,0.09601083439043001,756,1.3357632044133365,1260,-0.2173912868375869,81,1.2525445584040478,358,1.0625331438731296,558,-0.3763968503264725,2957,1.2525445584040478,358,1.0625331438731296,558,1.1304351547012774,192,2.1594122760022905,323
HELE,3.235159977544537,1997-03-31,-0.06862745098039214,-0.06862745098039214,0.8808510638297873,0.8831521739130435,1.2000000000000002,0.6499999999999999,0.1728395061728396,0.5030507093927762,0.05555555555555558,-0.04040404040404044,0.09595959595959602,0.27877237851662384,-0.01605385810460902,1.0,49.039711210293405,1.0,0.9087301587301587,1.7415140338046964,0.06862745098039214,11.875,1.6388888888888888,0.0736842105263158,0.0,1.7415140338046964,0.8760698701229277,0.5030507093927762,0.1264250744210518,0.21666666666666656,-0.11445783132530118,1.8929824561403503,0.9105142823281442,17,0.4157715262724977,0.477075689208697,0.828131725151145,0.9078223159023702,0.16692484201069369,0.47534805146371917,0.9369870856107607,0.9547641027918933,-0.9382716049382716,0.8181818181818182,1.1965317919075145,1.0,0.17027306029500758,1.175508496017967,13.0,2.474435349920705,5.650393627769292,0.83833120053238,,,,,,1.1734736392372533,7566,0.5473684210526315,252,0.08947368421052637,504,-0.4157894736842105,756,0.03578948974609375,1260,0.26315789473684204,159,0.0052631578947368585,164,0.06315789473684208,385,-0.3052631578947368,643,0.0052631578947368585,164,0.06315789473684208,385,1.0,325,2.0357894094366777,1828
BOOM,3.129175374272146,1997-03-31,-0.4736841103463596,-0.4736841103463596,0.4098361524744283,1.0,1.6268663616447356,0.5999998143403369,0.0526317793072808,0.7703587671102486,-0.1208791352652605,-0.09090903816486229,-0.02997009710039822,0.12070336870435305,-0.23047317599080075,1.0,38.68227523140489,0.8,0.8968253968253969,1.5145199787648063,0.4736841103463596,4.4829206466674805,3.8484860674628116,0.899999638350427,0.0,1.5145199787648063,1.1667237436050961,0.7703587671102486,0.27482385832656064,0.4772728371565369,-0.2777779287933483,1.7181812796638787,0.9080754598503921,0,1.0299231273447478,0.8260407738191435,1.3388372230530596,1.178422083559533,0.04671711514513488,0.34656008828508456,1.2139364418196312,0.21669914857505,-1.3354286880127009,0.6363636363636364,1.6666664775688642,1.0,0.2724971418292296,1.0523545061910762,32.0,1.5002747640725123,5.595351466270188,1.3398230185637208,,,,,,0.6350947298509599,7566,-0.09999972344444419,252,-0.5750000585021369,504,-0.8250000186143163,756,-0.6200000351012821,1260,-0.2250000159551282,23,-0.1750002074166669,168,-0.4000001170042736,359,-0.32500005850213687,353,-0.1750002074166669,168,-0.4000001170042736,359,1.0969997338684614,2042,2.2879996374994866,2052
KLIC,3.0055476775786705,1997-03-31,-0.2587719132850701,-0.5239437920144787,0.624203814359454,0.3532608695652174,0.7079555901769803,1.3296705373237385,0.06962012594317724,0.7397813388325429,0.06962012594317724,-0.20283021835061577,0.272450344293793,0.24289268140567155,-0.15681285819415658,1.0,40.701720294564865,0.0,0.5714285714285714,0.775266063675099,0.2587719132850701,9.185251235961914,0.5757574964336003,0.3491123959319038,0.0,0.775266063675099,0.5735273665370002,0.7397813388325429,1.3976890671745026,0.5602941200756697,-0.35470090244831354,1.5796241740809072,0.2504730806278721,236,0.7925891615769058,0.7535375340523419,1.0732339061920504,1.0213265878324582,0.06370546178103131,0.7491576716837545,0.1874065593878782,0.3210061145995046,-0.2919104589450514,0.45454545454545453,1.3802813046423217,1.0,0.37013067802834027,1.2999387161917595,30.0,2.2175990711467803,3.623650677987518,0.5765682096375672,,,,,,9.685608809653889,7566,0.005917083582776872,252,0.24852052145090742,504,2.6923079159344288,756,0.6681659242019413,1260,0.2366865619387517,51,0.7396446884233439,133,0.3313609375301747,146,-0.32248520832931005,307,0.7396446884233439,133,0.3313609375301747,146,1.0355027091500602,90,2.026627395255992,722
PLXS,2.9240388990473547,1997-03-31,-0.13235294117647056,-0.13235294117647056,0.8021978021978022,0.5652173913043478,1.2549019607843137,0.9658119658119657,0.7611940298507462,0.5862832348755904,0.06306306306306309,0.026086956521739202,0.03697610654132388,0.5353338212572172,-0.0025780820759900847,1.0,55.97371771825103,0.5,0.7023809523809523,1.7281452405128874,0.13235294117647056,7.375,1.3599999999999999,0.15254237288135597,0.0,1.7281452405128874,1.013182581942751,0.5862832348755904,0.5432660640649755,0.8955223880597014,-0.16541353383458646,5.413839891451832,0.7765548360114036,91,0.6461381836676955,0.5645481249525082,1.103423316555291,1.2097083373469897,0.7552793656886003,0.9091087352244029,1.1396014646957282,4.567209541239193,-0.5525314603453324,0.6363636363636364,1.6222222222222222,1.0,0.23727521326644502,1.4021244701934166,38.0,1.9980959022258835,13.458431033734765,0.951842539993643,,,,,,34.3505073159428,7566,0.3220338983050848,252,0.9576271186440677,504,3.6906779661016946,756,1.9166102005263506,1260,0.8813559322033899,157,0.6059322033898304,175,-0.05084745762711862,184,34.3505073159428,7566,0.6059322033898304,175,-0.05084745762711862,184,1.0338983050847457,69,2.3220338983050848,682
