year,n_picks,win_rate,beat_spy_rate,median_ret,cagr_dca_picks,cagr_dca_spy,edge
1997,60,0.9666666666666667,0.05,2.834522807823397,0.07194714261852071,0.09155042804901227,-0.019603285430491557
1998,60,0.8333333333333334,0.2,2.349511830359652,0.09062461379606718,0.08581791186939826,0.004806701926668919
1999,60,0.6333333333333333,0.35,1.3442344689070036,0.12002979187327453,0.08042574041291149,0.03960405146036304
2000,60,0.5833333333333334,0.25,0.4834554099141152,0.13323597292844508,0.08004730452354636,0.05318866840489872
2001,60,0.8,0.15,0.5990525310705651,0.059038418915897284,0.09088392978054295,-0.03184551086464567
2002,60,1.0,0.31666666666666665,5.3940804337387265,0.17365700787138919,0.10297192090127191,0.07068508697011727
2003,60,0.9666666666666667,0.45,8.340447676982151,0.16016090320162227,0.10766507679213834,0.05249582640948393
2004,60,0.9,0.5166666666666667,7.960187032680528,0.2121517748530083,0.10364960893254649,0.1085021659204618
2005,60,0.8666666666666667,0.35,4.526442113230209,0.19057305702538527,0.10466213038665004,0.08591092663873523
2006,60,0.9666666666666667,0.5333333333333333,6.534300996550744,0.13267704122642443,0.10436522423262418,0.028311816993800254
2007,60,0.8,0.2,2.7696371688425536,0.0899751995521158,0.10241493593092542,-0.012439736378809615
2008,60,0.8666666666666667,0.38333333333333336,3.579912142600946,0.16668915610571353,0.12095084558556017,0.045738310520153355
2009,60,0.7,0.11666666666666667,1.582333477197913,0.10964551212183189,0.14299582977998052,-0.03335031765814862
2010,60,0.7666666666666667,0.25,2.170206036153508,0.12234847629765497,0.13752448847783114,-0.015176012180176168
2011,60,0.7666666666666667,0.25,1.5300569691911021,0.18339598925200065,0.13629901595250665,0.047096973299494
2012,60,1.0,0.6,7.013106523335123,0.23789955113855463,0.13847175773357914,0.09942779340497548
2013,60,1.0,0.38333333333333336,2.1741611777091205,0.12337721521452977,0.1328325888990075,-0.009455373684477741
2014,60,0.7833333333333333,0.2833333333333333,1.1714500613501408,0.10706078395150972,0.12689533258871752,-0.019834548637207794
2015,60,0.7166666666666667,0.26666666666666666,0.47133930813535685,0.14725589943432205,0.13100829606329795,0.0162476033710241
2016,60,0.85,0.26666666666666666,0.652900139033114,0.13482401498368923,0.1400403021961781,-0.005216287212488874
2017,60,0.9333333333333333,0.2,0.707588835727542,0.13155349157494217,0.13407948713428006,-0.0025259955593378847
2018,60,0.7166666666666667,0.35,0.8386269600136004,0.23208508929301522,0.1343026401150638,0.09778244917795142
2019,60,0.4666666666666667,0.15,-0.04693228554292378,0.21454072780972974,0.14060955898877875,0.073931168820951
2020,60,0.5333333333333333,0.36666666666666664,0.10341504858671902,0.1568198449502862,0.1463855500862662,0.010434294864020005
2021,60,0.4,0.36666666666666664,-0.5230989536913593,0.018915148728729778,0.10710648139704554,-0.08819133266831576
2022,60,0.7833333333333333,0.6166666666666667,1.6756656213706667,0.5566640455264144,0.1467760812846888,0.4098879642417256
2023,60,0.3333333333333333,0.15,-0.4716649598369839,0.44756876294257864,0.17183287438005873,0.2757358885625199
2024,60,0.3,0.18333333333333332,-0.21453367562425057,-0.10307014391992692,0.11709295989331713,-0.22016310381324405
