split,strategy,top_k,train_cagr,train_cagr_spy,train_edge,train_win_rate,train_n_picks,train_median_ret,test_cagr,test_cagr_spy,test_edge,test_win_rate,test_n_picks,test_median_ret
A1,strategy_rotation,1,0.17236536693099822,0.11730322304224575,0.05506214388875247,0.7924528301886793,106,5.555972046304177,0.15716603776469043,0.14603040393864283,0.011135633826047597,0.6458333333333334,96,1.0626555258028008
A1,strategy_rotation,3,0.1747218452068744,0.11730322304224575,0.05741862216462865,0.8144654088050315,318,5.043458838008599,0.21175917760000104,0.1460304039386427,0.06572877366135835,0.6805555555555556,288,1.315299905525386
A1,strategy_rotation,5,0.18093140001960087,0.1173032230422457,0.06362817697735516,0.8509433962264151,530,4.782300884250931,0.21414276403424293,0.14603040393864283,0.0681123600956001,0.7208333333333333,480,1.4868178954853355
A1,grand_ensemble,1,0.18157754100710968,0.11768166476566186,0.06389587624144782,0.8796296296296297,108,9.939677545975503,0.22175473442481783,0.14603040393864283,0.075724330486175,0.8125,96,2.1946397424336226
A1,grand_ensemble,3,0.1660776942091813,0.11768166476566184,0.048396029443519464,0.8672839506172839,324,6.064545448834151,0.18633281128772852,0.1460304039386427,0.04030240734908583,0.8298611111111112,288,1.7285272293987546
A1,grand_ensemble,5,0.16262277701547992,0.11768166476566183,0.04494111224981809,0.8740740740740741,540,6.111255347097796,0.17334968786923577,0.14603040393864283,0.027319283930592936,0.8354166666666667,480,1.6968462191459135
A1,diamond_ensemble,1,0.17879864491460412,0.11768166476566186,0.06111698014894226,0.9074074074074074,108,7.750455732653643,0.2094698061660828,0.14603040393864283,0.06343940222743996,0.78125,96,1.6751161788257805
A1,diamond_ensemble,3,0.17242604121848137,0.11768166476566184,0.05474437645281953,0.8950617283950617,324,5.69366989284187,0.18716533243722933,0.1460304039386427,0.04113492849858663,0.7916666666666666,288,1.7570329841280647
A1,diamond_ensemble,5,0.1719236275227556,0.11768166476566183,0.05424196275709378,0.8962962962962963,540,5.69366989284187,0.1762844316725715,0.14603040393864283,0.030254027733928657,0.7791666666666667,480,1.5472269020935225
A1,explosive_winners_amped,1,0.1813251153530709,0.11768166476566186,0.06364345058740903,0.8703703703703703,108,9.064063387118779,0.19161575943838025,0.14603040393864283,0.04558535549973741,0.71875,96,1.5116846080959612
A1,explosive_winners_amped,3,0.1655971288457367,0.11768166476566184,0.04791546408007487,0.8611111111111112,324,7.74156724315206,0.21061131766592006,0.1460304039386427,0.06458091372727737,0.7361111111111112,288,1.8701035959072045
A1,explosive_winners_amped,5,0.17251590162165586,0.11768166476566183,0.054834236855994034,0.8611111111111112,540,7.147083653627023,0.202495674917472,0.14603040393864283,0.05646527097882917,0.7416666666666667,480,1.743487058082601
A1,quality_pullback_amped,1,0.17825262753416446,0.11768166476566186,0.0605709627685026,0.8333333333333334,108,6.5954942181325755,0.20917249121175033,0.14603040393864283,0.0631420872731075,0.5729166666666666,96,0.3120225302749775
A1,quality_pullback_amped,3,0.17082941133963586,0.11768166476566184,0.05314774657397402,0.8425925925925926,324,6.032356334879256,0.17911470143191954,0.1460304039386427,0.03308429749327685,0.6770833333333334,288,0.9778940743875731
A1,quality_pullback_amped,5,0.16686989959655776,0.11768166476566183,0.04918823483089593,0.85,540,5.717319360271255,0.16854810665209669,0.14603040393864283,0.022517702713453852,0.7125,480,1.2754727294459265
A1,best_of_top4,1,0.15924540837529635,0.11768166476566186,0.041563743609634496,0.8703703703703703,108,6.262132947157713,0.18454298483164042,0.14603040393864283,0.03851258089299758,0.71875,96,1.5528378977433415
