asof,ticker,score,pullback_1y,pullback_all,range_pos_1y,trend_health_5y,mom_12_1,mom_6_1,mom_3,vol_1y,ret_5d,ret_21d,accel,d_sma200,d_sma50,sma50_above_200,rsi_14,recovery_rate,frac_above_50dma_1y,sharpe_1y,dd_from_52wh,price,mom_2y,below_52wh,new_52wh,sharpe_12m,mean_ret_12m,vol_12m,beta_2y,best_month_24m,worst_month_24m,tail_ratio_24m,trend_r2_12m,max_below_200_streak,mom_3y,pullback_3y,excess_5y_logret,mom_5y,pullback_5y,ret__hold_forever,ret__fixed_1y,ret__fixed_3y,ret__fixed_5y,days__hold_forever
2002-01-31,TIE,0.9940787354755592,-0.7555555504045367,-0.7555555504045367,0.08571428685915287,0.6956521739130435,-0.5928205098861303,-0.6251180385828345,0.15409837244531555,0.987982061653258,0.005714280264718097,-0.11335013713872599,0.11906441740344409,-0.5211438178614964,-0.04751597240287542,0.0,41.85225668761814,0.8,0.45634920634920634,-0.4887426921692479,0.7555555504045367,0.8799999952316284,-0.18405195292111942,3.0909090047040255,0.0,-0.4887426921692479,-0.48286901262733717,0.987982061653258,1.1301718401614256,0.9444444444444444,-0.6920115551545453,1.3647813210771083,0.5826623130156984,99,,,,,,10044.454599886887,-0.4886363744119968,2.4375001269985335,36.3181821937896,4566
2002-01-31,NBIX,0.9600718759083582,-0.22166103024799522,-0.22166103024799522,0.6888539120655417,0.6811594202898551,1.1243523316062176,0.5488062787449659,0.009951452422809703,0.6874226005116931,-0.0716197926445622,-0.18809754906631093,0.11647775642174873,0.06717346944241087,-0.14027858496275125,1.0,35.160363221334194,0.6666666666666666,0.626984126984127,1.1358747442853523,0.22166103024799522,39.76808967716634,0.18252221983237127,0.28478726989427394,0.0,1.1358747442853523,0.7808259705721913,0.6874226005116931,1.7208572855424877,0.6735294117647059,-0.3716216216216216,1.8124064171122998,0.7488384048514403,76,,,,,,2.210614373022948,0.13049748198813838,0.15789472719185094,-0.7784186461959557,6293
2002-01-31,DINO,0.9558174563327432,-0.17007168722881805,-0.17007168722881805,0.7227663602868223,0.9739130434782609,1.0733944320043092,0.13874002323959234,0.06583050693636272,0.5529669812269633,0.045081452624343266,0.035533043503507056,0.00954840912083621,0.09749694269104014,0.08873051920482489,1.0,65.74300043051517,0.6666666666666666,0.7023809523809523,1.6658998947353987,0.17007168722881805,1.158418130243316,2.324322024551599,0.2049233465248801,0.0,1.6658998947353987,0.9211876358181493,0.5529669812269633,0.20957473823525383,0.4901545692546885,-0.1402041700886505,3.4960056390959404,0.42037712879820344,9,,,,,,50.98468467344724,0.09127504359482397,1.9038901442624456,10.704210429798808,6293
2002-01-31,IONS,0.919139603097006,-0.34709193742608124,-0.4853974234815446,0.50567801263493,0.6173913043478261,0.8068084716796875,0.965740663638986,-0.2036613585926228,0.8154370560302364,0.027154608616914544,-0.18040508743706773,0.20755969605398228,0.06145777519333517,-0.15584795070117996,1.0,41.37520405318071,0.5,0.6428571428571429,0.8583250740828945,0.34709193742608124,16.369100311821306,0.4276922763922275,0.5316092070570584,0.0,0.8583250740828945,0.6999100715270901,0.8154370560302364,1.4858512771038834,0.5675675675675678,-0.22413793103448287,2.532224532224532,0.770630029088604,47,,,,,,3.336829545390625,-0.5959769905786841,-0.6557471320436661,-0.34310341633552066,6293
2002-01-31,MSA,0.8967136150234741,-0.24325815873073864,-0.24325815873073864,0.5438804715912364,0.9478260869565217,0.7147113225003572,0.30166757160438173,-0.1177119469762572,0.4327926548296025,-0.021656293038267438,-0.07469932392649503,0.053043030888227594,0.07819078582023598,-0.016434106029483253,1.0,42.62415409019274,0.5,0.8333333333333334,1.2799957200800123,0.24325815873073864,7.288745136063517,0.886911584248991,0.3214546169704702,0.0,1.2799957200800123,0.5539727458639573,0.4327926548296025,0.13929588931814288,0.3513516346398362,-0.13702314303321883,2.564177312402309,0.7587181943017443,18,,,,,,22.342838336852193,-0.06272737369163273,3.487846977247231,2.3413964914366088,6293
2002-01-31,COLM,0.7977355498847954,-0.3963520284852571,-0.3963520284852571,0.3434051868048173,0.6376811594202898,-0.08568940012909099,-0.07639279097141516,-0.010289081824961355,0.6654056961597492,-0.08745871115852133,-0.11602485960046627,0.02856614844194494,-0.14641650664470685,-0.06345821991824385,0.0,36.648576418274786,0.8,0.5198412698412699,0.011323492555495277,0.3963520284852571,11.557811478939332,1.2317826962381346,0.656594649843161,0.0,0.011323492555495277,0.007534716446849073,0.6654056961597492,1.0311606466120178,0.4965573757381967,-0.3202690731209411,1.550438107867771,0.18753410382095204,107,,,,,,3.7785862957599328,0.39603657992996677,0.9366473096833983,0.9971966720639549,6293
2002-01-31,STE,0.7841092089289696,-0.224610142627936,-0.224610142627936,0.5373264443499262,0.8173913043478261,-0.021481975590990188,-0.10948150136228596,-0.2041521163579011,0.5325039126594002,0.025069454522609336,0.00987897840277352,0.015190476119835816,-0.05307906147616026,0.004948237931483801,0.0,56.9451435652489,0.75,0.5674603174603174,0.24679113053277688,0.224610142627936,13.287549902691726,0.8632914280101402,0.28967382084307913,0.0,0.24679113053277688,0.13141724261834045,0.5325039126594002,0.710147186633085,0.28936133561424215,-0.2459895509985367,1.1763155566553454,0.19010419686225255,26,,,,,,15.559109872823452,0.25543506328612087,0.3021736824454273,0.4198897604667018,6293
2002-01-31,TTWO,0.7575949757330727,-0.22505222137202585,-0.22505222137202585,0.6821933557665887,0.5652173913043478,0.44984607626531936,-0.11605807133103752,0.4114067647677331,0.9729708060416172,0.0,0.05036788357523991,-0.05036788357523991,0.16058027173451772,0.14387139766056878,1.0,61.1192912990314,0.6666666666666666,0.7063492063492064,0.9235589750460501,0.22505222137202585,12.37256908416748,0.4997979241679227,0.2904095315564039,0.0,0.9235589750460501,0.8985959203775252,0.9729708060416172,1.018592626244652,0.9702971459027683,-0.5740963693443475,1.6901293889228142,0.004857460418107862,45,,,,,,15.215711023149431,0.16918107177672415,0.8205819689385636,0.5363686458455297,6293
2002-01-31,WWD,0.7564848995367044,-0.38682283686994423,-0.38682283686994423,0.19057091218353311,0.7159420289855073,0.10975541377923737,-0.143074327590049,0.09247005747164816,0.4804896235509616,0.0020210454503100106,-0.09658703310777483,0.09860807855808484,-0.1624270128370391,-0.02624657928097096,0.0,40.947095643385346,0.5,0.5,0.2531132501917651,0.38682283686994423,7.2528838951329355,1.5313039843793863,0.630850038340222,0.0,0.2531132501917651,0.12161829030040157,0.4804896235509616,0.5800592193982366,0.27513476666871695,-0.3266158129472412,0.8423804229991766,0.041761561097189315,98,,,,,,47.71855267676792,-0.26114606901660553,0.3856370457235734,1.3225063280424618,6293
2002-01-31,AAON,0.7489099701397881,-0.19534078108747321,-0.19534078108747321,0.6406924155024378,0.663768115942029,0.43999982331145016,0.009539526226403305,0.15078996966574398,0.4206585960645201,-0.01942189814739026,-0.037633745450600276,0.018211847303210016,0.05968800806925345,-0.056910562442695656,1.0,42.542927527399904,0.6666666666666666,0.5992063492063492,0.9891919142866663,0.19534078108747321,1.426636037618279,0.6998571724130163,0.2427621240100506,0.0,0.9891919142866663,0.41611208190220417,0.4206585960645201,0.3703143376233335,0.3003532044511297,-0.19534078108747321,1.5375857656504,0.7221091470894215,72,,,,,,55.08298124152569,0.42000881586049643,0.13356976503760576,1.1315665264041734,6293
