asof,ticker,score
2020-03-31,RNG,4.507905846730421
2020-03-31,AMD,3.6762840371731893
2020-03-31,PODD,2.711732872928533
2020-04-30,AMD,4.497222384135485
2020-04-30,RNG,4.382683481810881
2020-04-30,PODD,3.343429587963311
2020-05-29,RNG,4.97701005128772
2020-05-29,AMD,4.763731037329322
2020-05-29,NVDA,4.2456247226638935
2020-06-30,RNG,4.988203077253378
2020-06-30,NVDA,4.406974268916443
2020-06-30,AMD,4.331536882608566
2020-07-31,AMD,6.839762279058365
2020-07-31,NVDA,4.848193518292475
2020-07-31,RNG,4.738950994471638
2020-08-31,AMD,8.18061690268844
2020-08-31,NVDA,5.504094344546383
2020-08-31,RNG,4.813115243464208
2020-09-30,AMD,7.812177185617099
2020-09-30,NVDA,5.210079180205506
2020-09-30,RNG,4.569457969200957
2020-10-30,AMD,6.315611502358782
2020-10-30,NVDA,4.402941250703222
2020-10-30,FRPT,4.3806158574333836
2020-11-30,AMD,7.001232939577118
2020-11-30,FRPT,4.970760798828737
2020-11-30,NVDA,4.398080810340197
2020-12-31,AMD,6.018198676306554
2020-12-31,FRPT,4.923588972057796
2020-12-31,RNG,4.700986647522041
2021-01-29,AMD,6.49076246501078
2021-01-29,FRPT,5.626899861503924
2021-01-29,XYZ,4.98250064788203
2021-02-26,AMD,6.783166502610803
2021-02-26,ETSY,6.28099355909894
2021-02-26,FRPT,5.820434003236328
2021-03-31,FRPT,6.5268456833018895
2021-03-31,ETSY,6.021520731291999
2021-03-31,IAC,5.506879760038775
2021-04-30,FRPT,6.587957449963772
2021-04-30,IAC,5.8821161913638
2021-04-30,ETSY,5.343331342655279
2021-05-28,FRPT,5.777626100645231
2021-05-28,IAC,4.844034354454216
2021-05-28,XYZ,4.7844967690258
2021-06-30,GNRC,5.395677890436068
2021-06-30,FRPT,5.334695980637299
2021-06-30,RH,5.192659357725369
2021-07-30,ENPH,15.36942267803535
2021-07-30,GNRC,4.868854428812033
2021-07-30,RH,4.813428629793074
2021-08-31,ENPH,14.479311516595295
2021-08-31,BX,5.025427727006048
2021-08-31,GNRC,4.667547201113742
2021-09-30,BX,4.68339144403614
2021-09-30,GNRC,4.43664846583604
2021-09-30,RH,4.408414223621035
2021-10-29,ENPH,27.856212575440303
2021-10-29,BX,5.6705681952107545
2021-10-29,CROX,5.552761802487412
2021-11-30,ENPH,27.34966548579898
2021-11-30,CROX,5.3317590434793685
2021-11-30,FTNT,5.267366790246658
2021-12-31,ENPH,21.80620313714473
2021-12-31,FTNT,5.079146581169178
2021-12-31,NVDA,4.6891276126572405
2022-01-31,FTNT,3.89050325311357
2022-01-31,ARES,3.7665574454377317
2022-01-31,BX,3.7217164342597173
2022-02-28,FTNT,3.750913509992583
2022-02-28,COST,3.6232423503391713
2022-02-28,NVDA,3.5876603856249836
2022-03-31,ENPH,16.597977493126294
2022-03-31,COST,3.727241345236095
2022-03-31,BRO,3.611815768184902
2022-04-29,PLD,3.0983612729885586
2022-04-29,COST,3.000508341484805
2022-04-29,MUSA,2.9965380800722894
2022-05-31,ENPH,24.644077076352374
2022-05-31,MUSA,3.403498864956478
2022-05-31,EXC,3.1473894306330052
2022-06-30,ENPH,22.852080277476325
2022-06-30,MUSA,3.119517274379624
2022-06-30,WRB,2.5420439213905235
2022-07-29,ENPH,29.532940773384556
2022-07-29,MUSA,3.4135918347216228
2022-07-29,LPLA,2.340968401338153
2022-08-31,ENPH,30.476437128077723
2022-08-31,MUSA,3.476924354544297
2022-08-31,LPLA,2.42216256395059
2022-09-30,ENPH,19.766545342731792
2022-09-30,MUSA,3.1749817156110405
2022-09-30,LLY,2.4719244908234614
2022-10-31,ENPH,22.127433549827245
2022-10-31,MUSA,3.4634346940202976
2022-10-31,LPLA,2.7049748610606796
2022-11-30,ENPH,13.668635315670913
2022-11-30,MUSA,3.1110904857685586
2022-11-30,LLY,2.77673057368506
2022-12-30,ENPH,13.182536299559933
2022-12-30,MUSA,2.5546869731312176
2022-12-30,LLY,2.5052291255055383
2023-01-31,LLY,2.5555757147191995
2023-01-31,IRDM,2.38880270021575
2023-01-31,AJG,2.306936270737458
