key,n_splits_in_train_top20,n_splits_with_test_data,mean_test_cagr,median_test_cagr,min_test_cagr,max_test_cagr,mean_test_edge,min_test_edge,mean_test_win
blended_pullback_momentum::1::fixed_3y,4,8,0.83992051504724,1.0354745723381704,0.15524261004874834,1.3197749898869509,0.6988954094557829,0.05039482518210524,0.49564796905222436
pullback_in_winner::1::fixed_3y,4,8,0.8217177072214445,1.064686559941825,0.0007925050798315054,1.3151642186596717,0.6806926016299876,-0.1040552797868116,0.4135369653986675
blended_pullback_momentum::1::fixed_5y,4,8,0.7511190132152984,0.9147716171745989,0.08435420032641433,1.2082308757317937,0.6100939076238414,-0.020493584540228774,0.4878908768536428
blended_pullback_momentum::1::hold_forever,7,8,0.7506219393273319,0.9147716171745989,0.08073292910022672,1.2082308757317937,0.6095968337358748,-0.02411485576641638,0.4878908768536428
pullback_in_winner::1::fixed_5y,4,8,0.7400996490108278,0.9508347429049039,-0.01664278541508125,1.2031648590850064,0.5990745434193707,-0.12149057028172436,0.40312029873200084
pullback_in_winner::1::hold_forever,7,8,0.7388930815595715,0.9508347429049039,-0.02564762394662004,1.2031648590850064,0.5978679759681145,-0.13049540881326316,0.40312029873200084
quality_pullback::1::fixed_3y,4,8,0.7270165672276377,0.9381438130402678,-0.03100669193023749,1.1721917113803784,0.5859914616361807,-0.14809965182355475,0.42796314205888675
blended_pullback_momentum::1::fixed_2y,2,8,0.6766783491705007,0.8025115247490522,-0.04493566872725571,1.0818788479823314,0.5356532435790436,-0.14978345359389883,0.5625201482914248
pullback_in_winner::1::fixed_2y,2,8,0.6603206889314391,0.8294770048764878,-0.15078738723160875,1.076978742260024,0.5192955833399822,-0.2556351720982519,0.5020551257253385
quality_pullback::1::fixed_5y,4,8,0.6541092665743826,0.8464174043350235,-0.03100669193023749,1.0730783331534652,0.5130841609829255,-0.14809965182355475,0.39310659789383195
quality_pullback::1::hold_forever,8,8,0.6536698101580718,0.8464174043350235,-0.03100669193023749,1.0730783331534652,0.5126447045666147,-0.14809965182355475,0.3817429615301956
blended_pullback_momentum::1::stop_30,4,8,0.6481372913367962,0.6201605207462978,-0.003960812465919453,1.2053369523261304,0.5071121857453391,-0.10880859733256255,0.2637881474317645
pullback_in_winner::1::stop_30,6,8,0.6460799691097547,0.6609997507335397,-0.04919438713095025,1.2053528110484222,0.5050548635182978,-0.15404217199759335,0.19930689877498386
quality_pullback::1::fixed_2y,2,8,0.6185694076745343,0.7887702296099937,-0.014329646875914823,1.029571294788579,0.4775443020830773,-0.11917743174255793,0.46412932516655925
quality_pullback::1::stop_30,7,8,0.5726828138096773,0.6109225393177451,0.002912287815362802,1.0731361131997963,0.43165770821822025,-0.1019354970512803,0.2238810982162046
blended_pullback_momentum::3::fixed_3y,2,8,0.4435887456502214,0.5292697367975489,0.04145817186113402,0.6815536042034894,0.30256364005876424,-0.06338961300550922,0.43038317572892043
quality_pullback::3::fixed_3y,2,8,0.43333269483216075,0.5429743423232305,-0.003917091720633824,0.7096793428376362,0.29230758924070366,-0.10876487658727706,0.4446772691453542
pullback_in_winner::3::fixed_3y,2,8,0.42721373468216933,0.5086371114029633,-0.01857617472961992,0.6731711421943951,0.2861886290907123,-0.12342395959626315,0.42416183107672467
blended_pullback_momentum::3::fixed_5y,1,8,0.3900276119829152,0.4681511677865897,0.02004067962814466,0.6072153115586405,0.24900250639145816,-0.08480710523849858,0.429225768321513
blended_pullback_momentum::3::hold_forever,6,8,0.38931945122739786,0.4681511677865897,0.015229959003114071,0.6072153115586405,0.24829434563594083,-0.08961782586352916,0.429225768321513
