name,k,cagr,final,trades,dt
strategy_rotation,5,0.3536565315686194,62304.19364306737,1365,3.379023790359497
quality_pullback,5,0.31179846939367034,32361.275613976526,1380,3.7400319576263428
quality_pullback,3,0.2726245004619091,17399.40287112807,828,3.6390814781188965
explosive_winners,5,0.2611421118180924,14490.810201315253,1380,3.226473331451416
consensus_engine,3,0.24730338108748207,11618.655834837395,828,4.504539489746094
strategy_rotation_v2,5,0.23943717470539214,10245.972342553174,1275,8.406589269638062
strategy_rotation,3,0.23558889791482918,9634.45772734317,819,3.380449056625366
explosive_winners,3,0.20278939289587836,5701.102695364647,828,3.442011594772339
consensus_engine,5,0.1958896968836435,5105.941711659161,1380,4.68561863899231
strategy_rotation_v2,3,0.1821919937562915,4103.622518964465,765,8.22403860092163
apex_consensus_hard,3,0.17773015826903737,3822.1779852309924,819,5.097498416900635
compound_quality,5,0.1642721311462581,3086.561716676307,1357,4.662924766540527
blended_pullback_momentum,5,0.15295733589656493,2580.8762120109377,1380,6.011901617050171
blended_pullback_momentum,3,0.15148146758343176,2521.4992857345433,828,5.87206244468689
momentum_locomotive,3,0.13615971170475785,1982.2860449392147,828,4.821659326553345
apex_hybrid,5,0.13047256208721972,1813.910090683059,1365,8.495938777923584
apex_engine,5,0.12651932998658036,1705.7041621415065,1365,7.378881454467773
apex_consensus_hard,5,0.1233656228817042,1624.229020400411,1365,4.84972882270813
apex_engine_v2,5,0.11612972938278318,1452.335370161876,1365,8.169456720352173
apex_balanced,5,0.11576102863050457,1444.1057134792115,1365,9.218878030776978
pullback_in_winner,5,0.11221286573909087,1367.3756284896706,1380,3.5441722869873047
compound_quality,3,0.11159311665330886,1354.420778335745,818,4.827003479003906
pullback_in_winner,3,0.11159212374901879,1354.4001276283288,828,3.448458433151245
momentum_locomotive,5,0.10964959568007768,1314.6292010227257,1377,4.60199236869812
apex_quality_break,5,0.10808762439156605,1283.5463833866706,1331,4.445000648498535
apex_rs_leader,5,0.10802928332961827,1282.4005978404334,1365,4.499176263809204
apex_reloaded,5,0.10538927772338293,1231.6705438805398,1365,9.740562677383423
apex_deep_value,3,0.10063264354914486,1145.571424890586,819,5.182689905166626
apex_engine,3,0.09313043930835284,1022.5631692303323,819,7.239644527435303
apex_turbocharged,5,0.09190939761577209,1003.9180429658925,1365,8.850929737091064
apex_engine_v2,3,0.09006426648132577,976.432382853947,819,8.017022132873535
apex_low_beta_mom,5,0.08906888337589512,961.9417139449631,1365,4.317578554153442
asymmetric_rebound,5,0.08864687283144738,955.8681391448251,1374,4.176258087158203
apex_turbocharged,3,0.08682379259735713,930.1009794404243,819,9.003098249435425
apex_deep_value,5,0.08335531103152925,883.1235157706044,1353,5.100977182388306
apex_multibagger,5,0.08227629004758974,869.0372603987657,1365,4.796696901321411
apex_reloaded,3,0.08003815357748541,840.5889935982394,819,9.987773418426514
apex_quality_break,3,0.07589115749223081,790.5139317215254,803,4.426034450531006
apex_balanced,3,0.06321014787581491,656.5546573521437,819,8.934130191802979
breakout_momentum,5,0.05228008025101299,561.0223027055873,1344,4.115262985229492
apex_rs_leader,3,0.04884458281858065,534.2742393864037,819,4.5949273109436035
asymmetric_rebound,3,0.04006468824802853,472.18905357630655,828,4.087575912475586
apex_hybrid,3,0.0107615605666069,317.36054964649725,819,8.295499801635742
apex_low_beta_mom,3,0.009344898741110198,311.5171847674485,819,4.53974986076355
breakout_momentum,3,0.0015885225665988102,281.6847080453525,811,4.137782335281372
apex_multibagger,3,-0.008497173844953097,247.81835993173644,819,4.605402708053589
