strategy,exit,n_picks,win_rate,win_rate_bias_corr,beat_spy_rate,median_ret,mean_ret,p10_ret,p90_ret,per_pick_cagr_median,cagr_dca_portfolio,cagr_spy_dca,edge_vs_spy_dca,mean_ret_bias_corr,top_k
quality_pullback,hold_forever,36,0.6111111111111112,0.4722222222222222,0.3888888888888889,0.9212944886722717,3.50338341008324,-0.6169630017080551,9.977702981803514,0.11088139308646083,0.2492739091252477,0.1422747794018214,0.10699912972342629,2.4918875746592777,1
quality_pullback,fixed_1y,36,0.75,0.5833333333333334,0.3055555555555556,0.620715724480052,0.9996737206249053,-0.4175187206783183,3.130533044955195,0.620715724480052,0.10868102375828557,0.1422747794018214,-0.033593755643535825,0.5298259597397644,1
quality_pullback,fixed_2y,36,0.7222222222222222,0.5555555555555556,0.3611111111111111,0.848317137074337,2.0249659649650287,-0.5843574575759172,6.010273140105658,0.3595261531161893,0.1784929470868722,0.1422747794018214,0.03621816768505079,1.3265725797149277,1
quality_pullback,fixed_3y,36,0.6666666666666666,0.5,0.4722222222222222,1.1456903417591808,2.9584943912147144,-0.697623139265476,10.167242386988953,0.28966264322862534,0.22593007113700936,0.1422747794018214,0.08365529173518796,1.8537262701837136,1
quality_pullback,fixed_5y,36,0.6388888888888888,0.4722222222222222,0.4166666666666667,0.4666258612860512,2.257784338184547,-0.5904263758704904,7.847410264288662,0.0787769681239977,0.19140409839829542,0.1422747794018214,0.04912931899647402,1.5307677272846019,1
quality_pullback,trail_25,36,0.3888888888888889,0.3055555555555556,0.05555555555555555,-0.09974780411085027,0.15261198073447702,-0.26291280748944107,1.295927635604159,-0.4536559004533437,0.0214698285552659,0.1422747794018214,-0.1208049508465555,-0.10637228583973511,1
quality_pullback,trail_35,36,0.4166666666666667,0.3333333333333333,0.08333333333333333,-0.09326641750045261,0.261776468820283,-0.3855963203706464,1.1766728113580707,-0.16277222641424038,0.03536108938408167,0.1422747794018214,-0.10691369001773973,0.002153622613701187,1
quality_pullback,trail_50,36,0.4166666666666667,0.3333333333333333,0.1111111111111111,-0.26370817616550457,0.09965964922398084,-0.4724961913836433,1.1820979727580592,-0.25165077116517154,0.014315749507208443,0.1422747794018214,-0.12795902989461297,-0.13830482515629766,1
quality_pullback,stop_30,36,0.3055555555555556,0.25,0.1388888888888889,-0.31249377508754944,1.5639277367958198,-0.3682572730657405,3.3827643297450933,-0.30069778436789957,0.15014715061361203,0.1422747794018214,0.00787237121179063,1.197865297935036,1
quality_pullback,trail35_or_3y,36,0.4166666666666667,0.3333333333333333,0.08333333333333333,-0.09326641750045261,0.261776468820283,-0.3855963203706464,1.1766728113580707,-0.16277222641424038,0.03536108938408167,0.1422747794018214,-0.10691369001773973,-0.036565885514000925,1
