rule,top_k,n_picks,median_pick_ret,win_rate,cagr_dca,cagr_spy_dca
hold_forever,1,84,27.55022155168693,1.0,1.1236513660485075,0.14108224052973609
fixed_3y,1,84,25.244558644434406,1.0,1.125828988664683,0.14108224052973609
fixed_5y,1,84,28.295615378207106,1.0,1.0535200928233932,0.14108224052973609
fixed_1y,1,84,5.006620827315918,1.0,0.856701509984194,0.14108224052973609
tp200,1,84,3.526267551922988,1.0,0.5624037091157249,0.14108224052973609
hold_forever,2,168,23.974171728341737,1.0,0.9844233566418429,0.1410822405297361
fixed_3y,2,168,19.298256981045323,1.0,0.969487485543343,0.1410822405297361
fixed_5y,2,168,21.520341421522126,1.0,0.9269829112879826,0.1410822405297361
fixed_1y,2,168,4.100840611463784,1.0,0.7231264885475168,0.1410822405297361
tp200,2,168,2.9399350458221027,1.0,0.46015797333202635,0.1410822405297361
hold_forever,3,252,21.02816505656477,1.0,0.9144688612277966,0.14108224052973609
fixed_3y,3,252,15.560865094031737,1.0,0.8868697111800778,0.14108224052973609
fixed_5y,3,252,18.293497118806,1.0,0.8625471954768933,0.14108224052973609
fixed_1y,3,252,3.528989330861266,1.0,0.6435867665452112,0.14108224052973609
tp200,3,252,2.6974288732888665,1.0,0.41204258497706836,0.14108224052973609
hold_forever,5,420,17.52330174471969,1.0,0.8334750520407004,0.14108224052973609
fixed_3y,5,420,11.99357844562426,1.0,0.7893886817530713,0.14108224052973609
fixed_5y,5,420,15.461310907458946,1.0,0.7831468877542661,0.14108224052973609
fixed_1y,5,420,2.796526140601455,1.0,0.5513141342597712,0.14108224052973609
tp200,5,420,2.4835013197157165,1.0,0.36337458366302977,0.14108224052973609
hold_forever,10,840,13.573062420660392,1.0,0.7296014458739293,0.14108224052973617
fixed_3y,10,840,7.660794052078053,1.0,0.66434754723755,0.14108224052973617
fixed_5y,10,840,10.926660125894976,1.0,0.6786218843098529,0.14108224052973617
fixed_1y,10,840,1.9495080384832482,1.0,0.4383880658883642,0.14108224052973617
tp200,10,840,2.3184264731526913,1.0,0.3162586667775571,0.14108224052973617
