strategy,k,n_trades,cagr_xirr,cagr_total,edge,spy_dca,final_equity,deposited,split,phase
strategy_rotation,3,318,0.39018206062860566,0.22544533496594443,0.3444783129650374,0.045703747663568293,661.4773877255216,108.0,A1,TRAIN
strategy_rotation,5,530,0.31450661327775487,0.17804818133395317,0.2688028656141866,0.045703747663568293,465.37460106001276,108.0,A1,TRAIN
strategy_rotation,7,742,0.26951299716915844,0.1505148206775948,0.22380924950559014,0.045703747663568293,376.9154213411554,108.0,A1,TRAIN
quality_pullback,3,324,0.6130461967260579,0.37081091213262485,0.5673424490624895,0.045703747663568293,1796.8103001111401,108.0,A1,TRAIN
quality_pullback,5,540,0.4509713808399841,0.2643514011636694,0.40526763317641584,0.045703747663568293,874.0138505438762,108.0,A1,TRAIN
quality_pullback,7,756,0.35442012071204115,0.2028900809944687,0.3087163730484729,0.045703747663568293,560.5228102300255,108.0,A1,TRAIN
explosive_winners,3,324,0.13412769321374401,0.07135280196388583,0.08842394555017571,0.045703747663568293,199.64359549766056,108.0,A1,TRAIN
explosive_winners,5,540,0.10440514954290317,0.05485810471374841,0.058701401879334876,0.045703747663568293,173.85441313488298,108.0,A1,TRAIN
explosive_winners,7,756,0.13775269333040668,0.07338864493160324,0.09204894566683838,0.045703747663568293,203.05104254312675,108.0,A1,TRAIN
pullback_in_winner,3,324,0.49157216093374495,0.2906840504620196,0.4458684132701767,0.045703747663568293,1050.3202307915785,108.0,A1,TRAIN
pullback_in_winner,5,540,0.43186654486307385,0.25205284989123755,0.3861627971995056,0.045703747663568293,801.0789530297654,108.0,A1,TRAIN
pullback_in_winner,7,756,0.40308653916720716,0.23364760254959438,0.3573827915036389,0.045703747663568293,702.0074357767528,108.0,A1,TRAIN
consensus_engine,3,324,0.18229748317665742,0.09880882050613371,0.13659373551308912,0.045703747663568293,250.16225258976908,108.0,A1,TRAIN
consensus_engine,5,540,0.20345378919235474,0.11112907439213404,0.15775004152878644,0.045703747663568293,276.30506641639136,108.0,A1,TRAIN
consensus_engine,7,756,0.17185834622082388,0.09278663655447827,0.12615459855725558,0.045703747663568293,238.20185071435958,108.0,A1,TRAIN
rotation_apex,3,318,0.36974339456080185,0.2125219452295597,0.3240396468972336,0.045703747663568293,601.8245805016924,108.0,A1,TRAIN
rotation_apex,5,525,0.2908576294198056,0.1635105496401308,0.24515388175623729,0.045703747663568293,416.60983431007173,108.0,A1,TRAIN
rotation_apex,7,729,0.25896963312464005,0.1441416461585614,0.21326588546107175,0.045703747663568293,358.7058806927859,108.0,A1,TRAIN
strategy_rotation,3,462,0.34970609253407897,0.21413477111543444,0.2506337735801708,0.09907231895390814,1911.5451672649542,156.0,A2,TRAIN
strategy_rotation,5,770,0.3770214810602294,0.23306012827527334,0.27794916210632126,0.09907231895390814,2334.18618784881,156.0,A2,TRAIN
strategy_rotation,7,1078,0.39925405558565447,0.24859837010908703,0.3001817366317463,0.09907231895390814,2743.9159428657404,156.0,A2,TRAIN
quality_pullback,3,468,0.4638206354977183,0.2943126487981491,0.3647483165438101,0.09907231895390814,4365.643890898377,156.0,A2,TRAIN
quality_pullback,5,780,0.4613891007072245,0.29257688944184057,0.3623167817533164,0.09907231895390814,4290.63586067394,156.0,A2,TRAIN
quality_pullback,7,1092,0.4020763558038516,0.25057890925607507,0.3030040368499435,0.09907231895390814,2800.6593266384457,156.0,A2,TRAIN
explosive_winners,3,468,0.36992044478835173,0.22812198974113973,0.2708481258344436,0.09907231895390814,2216.301733767933,156.0,A2,TRAIN
explosive_winners,5,780,0.29160241701220574,0.1745785129268984,0.1925300980582976,0.09907231895390814,1246.2704999416742,156.0,A2,TRAIN
explosive_winners,7,1092,0.2932463567899026,0.1756830571871859,0.19417403783599443,0.09907231895390814,1261.490809042914,156.0,A2,TRAIN
pullback_in_winner,3,468,0.4071439858849703,0.25413947085620103,0.30807166693106214,0.09907231895390814,2905.4018868345956,156.0,A2,TRAIN
pullback_in_winner,5,780,0.36929512270540904,0.22768773100932216,0.2702228037515009,0.09907231895390814,2206.202300948044,156.0,A2,TRAIN
pullback_in_winner,7,1092,0.30853441076320554,0.18599795511690975,0.2094620918092974,0.09907231895390814,1412.1387144345742,156.0,A2,TRAIN
consensus_engine,3,468,0.15246737197233243,0.08510823728778738,0.05339505301842429,0.09907231895390814,447.96015283141355,156.0,A2,TRAIN
consensus_engine,5,780,0.18649813097638654,0.10615539809749097,0.0874258120224784,0.09907231895390814,574.0974841632344,156.0,A2,TRAIN
consensus_engine,7,1092,0.18134953485234465,0.10293159330633239,0.0822772158984365,0.09907231895390814,552.8607234400894,156.0,A2,TRAIN
rotation_apex,3,462,0.34935555667392104,0.213893168621472,0.25028323772001293,0.09907231895390814,1906.6385749849937,156.0,A2,TRAIN
rotation_apex,5,765,0.35569887184400045,0.2182703194073632,0.2566265528900923,0.09907231895390814,1997.3592428327022,156.0,A2,TRAIN
rotation_apex,7,1065,0.34439369864917985,0.21047685924162196,0.2453213796952717,0.09907231895390814,1838.4905795566347,156.0,A2,TRAIN
strategy_rotation,3,570,0.2942809037066034,0.1836306891789079,0.19034260770478853,0.1039382960018149,2806.3748748412727,192.0,A3,TRAIN
strategy_rotation,5,950,0.3245547181384024,0.20526329427583878,0.22061642213658753,0.1039382960018149,3743.5741494355007,192.0,A3,TRAIN
strategy_rotation,7,1330,0.34919689382221253,0.22308161534093007,0.24525859782039763,0.1039382960018149,4728.100738276735,192.0,A3,TRAIN
quality_pullback,3,576,0.4685365079876248,0.3114147489665906,0.3645982119858099,0.1039382960018149,14338.527113749522,192.0,A3,TRAIN
quality_pullback,5,960,0.4457939595063165,0.29436579912942196,0.3418556635045016,0.1039382960018149,11643.658124736943,192.0,A3,TRAIN
quality_pullback,7,1344,0.40634084779831003,0.2650087750108887,0.3024025517964951,0.1039382960018149,8083.022384330566,192.0,A3,TRAIN
explosive_winners,3,576,0.2839675895709543,0.1763332023868518,0.1800292935691394,0.1039382960018149,2543.3993795394963,192.0,A3,TRAIN
explosive_winners,5,960,0.22260991299884447,0.13381086954884203,0.11867161699702958,0.1039382960018149,1415.8700419287275,192.0,A3,TRAIN
explosive_winners,7,1344,0.2204295362519196,0.13233144398114893,0.11649124025010471,0.1039382960018149,1386.7617262358908,192.0,A3,TRAIN
pullback_in_winner,3,576,0.2905685887626908,0.18099948140422595,0.18663029276087592,0.1039382960018149,2708.74950504306,192.0,A3,TRAIN
pullback_in_winner,5,960,0.28112895040155667,0.17433152509835415,0.17719065439974177,0.1039382960018149,2475.4104354197343,192.0,A3,TRAIN
pullback_in_winner,7,1344,0.23899381734504685,0.14500203648321341,0.13505552134323195,0.1039382960018149,1655.3440923383052,192.0,A3,TRAIN
consensus_engine,3,576,0.17798707535614194,0.1040430099052787,0.07404877935432705,0.1039382960018149,927.2425713817822,192.0,A3,TRAIN
consensus_engine,5,960,0.17937735955959813,0.10495325315085169,0.07543906355778324,0.1039382960018149,939.4801856345508,192.0,A3,TRAIN
consensus_engine,7,1344,0.18138665875205376,0.10627085542140202,0.07744836275023886,0.1039382960018149,957.4628298040565,192.0,A3,TRAIN
rotation_apex,3,570,0.28060264667456386,0.17396073382455124,0.17666435067274897,0.1039382960018149,2463.004637892015,192.0,A3,TRAIN
rotation_apex,5,945,0.3314123392991035,0.2102041163556294,0.22747404329728863,0.1039382960018149,3995.3335405884563,192.0,A3,TRAIN
rotation_apex,7,1317,0.31901427114086195,0.2012819988309491,0.21507597513904705,0.1039382960018149,3551.606867518317,192.0,A3,TRAIN
strategy_rotation,3,213,0.6296948648892446,0.35145978341891304,0.5291337750112699,0.1005610898779748,427.43540575981035,72.0,R1,TRAIN
strategy_rotation,5,355,0.6331277272945163,0.3535067968436396,0.5325666374165414,0.1005610898779748,431.27838407882166,72.0,R1,TRAIN
strategy_rotation,7,497,0.5483222342495665,0.3032057065039375,0.4477611443715917,0.1005610898779748,344.7397411091089,72.0,R1,TRAIN
quality_pullback,3,216,1.0673353108992585,0.6175952792122352,0.9667742210212837,0.1005610898779748,1237.4803265227451,72.0,R1,TRAIN
quality_pullback,5,360,0.8026462236978387,0.4555399350104865,0.7020851338198639,0.1005610898779748,662.8536832349226,72.0,R1,TRAIN
quality_pullback,7,504,0.6099271898489256,0.33968936938386385,0.5093660999709508,0.1005610898779748,405.8859675680109,72.0,R1,TRAIN
explosive_winners,3,216,0.845072731336277,0.4813253596454994,0.7445116414583022,0.1005610898779748,735.3903988435175,72.0,R1,TRAIN
explosive_winners,5,360,0.7611139541810706,0.4303854710057058,0.6605528643030958,0.1005610898779748,597.9218241480296,72.0,R1,TRAIN
explosive_winners,7,504,0.6648323370670551,0.37245199169888754,0.5642712471890803,0.1005610898779748,468.22801595772285,72.0,R1,TRAIN
pullback_in_winner,3,216,0.6062706664577716,0.33751538316878404,0.5057095765797968,0.1005610898779748,402.0063496145916,72.0,R1,TRAIN
pullback_in_winner,5,360,0.5234408559805613,0.2885624106584799,0.42287976610258654,0.1005610898779748,322.4552835838548,72.0,R1,TRAIN
pullback_in_winner,7,504,0.5582220233871793,0.3090472384251932,0.4576609335092045,0.1005610898779748,353.9793388472584,72.0,R1,TRAIN
consensus_engine,3,216,0.4201448507728292,0.22841988221567822,0.3195837608948544,0.1005610898779748,243.05694870596227,72.0,R1,TRAIN
consensus_engine,5,360,0.35829689683278504,0.19298462969928987,0.25773580695481024,0.1005610898779748,204.42425357026335,72.0,R1,TRAIN
consensus_engine,7,504,0.325495734393731,0.17439212268218784,0.22493464451575618,0.1005610898779748,186.29038005188042,72.0,R1,TRAIN
