strategy,k,n_splits,mean_test_cagr,median_test_cagr,min_test_cagr,max_test_cagr,mean_edge,min_edge
explosive_winners,7,1,0.4330949925678758,0.4330949925678758,0.4330949925678758,0.4330949925678758,0.19216052055842112,0.19216052055842112
explosive_winners,5,1,0.3324850206423797,0.3324850206423797,0.3324850206423797,0.3324850206423797,0.09155054863292503,0.09155054863292503
quality_pullback,5,8,0.2872850456711775,0.3311350798781091,-0.33203390283477197,0.811985049639044,0.16111436165845527,-0.36056642504562136
pullback_in_winner,5,1,0.18291949204912455,0.18291949204912455,0.18291949204912455,0.18291949204912455,-0.030331088228995468,-0.030331088228995468
quality_pullback,3,7,0.17534810455139835,0.2749824858741149,-0.4185293526545866,0.9024391253544909,0.035194738679967266,-0.44706187486543597
quality_pullback,7,5,0.16027300453947232,0.11259807267675011,-0.21968192626597632,0.506973355839228,0.043181017048535275,-0.24821444847682572
pullback_in_winner,3,3,0.04837280318919215,0.12325769086226719,-0.17332087412069092,0.19518159282600017,-0.11861946030247854,-0.3595562032310723
strategy_rotation,7,1,0.03165740186959852,0.03165740186959852,0.03165740186959852,0.03165740186959852,-0.06098918581452305,-0.06098918581452305
explosive_winners,3,2,0.02139774951788702,0.02139774951788702,-0.06587242374430449,0.10866792278007853,-0.12113986450509233,-0.2020517481945047
rotation_apex,3,1,-0.031480268642672164,-0.031480268642672164,-0.031480268642672164,-0.031480268642672164,-0.27241474065212684,-0.27241474065212684
