strategy,exit,top_k,n_picks,win_rate,win_rate_bias_corr,beat_spy_rate,median_ret,mean_ret,p10_ret,p90_ret,per_pick_cagr_median,cagr_dca_portfolio,cagr_spy_dca,edge_vs_spy_dca,mean_ret_bias_corr,worst_year_edge,years_below_spy,n_years
quality_pullback,hold_forever,2,552,0.6757246376811594,0.3967391304347826,0.3496376811594203,1.5105678547145804,14.464906365251878,-0.856426050461718,35.117204862351585,0.0731340982585134,0.1846610491236562,0.1238602348122176,0.0608008143114385,6.148599218541894,-2.729706014748904,8,23
explosive_winners,hold_forever,3,828,0.7451690821256038,0.4432367149758454,0.4057971014492754,1.9514461750205117,13.616379126715522,-0.7384495425301412,30.336906974622288,0.1029280481745099,0.1811197186307977,0.1238602348122176,0.0572594838185801,6.007141146679139,-2.3496070685302435,7,23
quality_pullback,hold_forever,5,1380,0.7057971014492753,0.4065217391304347,0.322463768115942,1.5436705526916112,13.466337979926054,-0.7882124959946591,25.509253099795483,0.0726577190117695,0.1804718747103241,0.1238602348122176,0.0566116398981065,5.890090313611708,-2.1919422921368428,7,23
explosive_winners,hold_forever,1,276,0.75,0.4420289855072464,0.4311594202898551,1.6918250532764894,13.46483686991677,-0.7103716645097087,34.390501595619355,0.1047950882276524,0.1804653588518028,0.1238602348122176,0.0566051240395851,6.137407376573359,-6.872951806631819,7,23
quality_pullback,hold_forever,3,828,0.677536231884058,0.391304347826087,0.3381642512077294,1.3763237599053602,13.370672447492128,-0.8390284087257799,29.94443399952253,0.0675629150254319,0.1800552417642965,0.1238602348122176,0.0561950069520788,5.827640314434678,-1.4468956420266972,8,23
pullback_in_winner,hold_forever,2,552,0.6557971014492754,0.3822463768115942,0.338768115942029,1.4843782041829547,13.3173299471919,-0.8225792679158196,28.82851618947785,0.0709457658438665,0.1798217052929733,0.1238602348122176,0.0559614704807557,5.799562563514002,-2.731998116736517,11,23
pullback_in_winner,hold_forever,5,1380,0.696376811594203,0.4007246376811594,0.3355072463768116,1.7766741447094303,13.107785965691326,-0.7738611594449066,21.65467512774186,0.0776972811983119,0.1788956770493801,0.1238602348122176,0.0550354422371625,5.986629674521893,-4.163606939900649,6,23
rank_intersect,hold_forever,1,276,0.8007246376811594,0.4710144927536231,0.4094202898550724,2.106146930155308,13.041483272968714,-0.4576234583322829,45.07664029260435,0.110371113895889,0.1785997567345638,0.1238602348122176,0.0547395219223461,6.21047856455999,-2.9317042549783574,9,23
dual_momentum,hold_forever,1,276,0.7536231884057971,0.4492753623188406,0.4384057971014493,1.661363113179572,12.911310442521442,-0.7123376498425571,32.0418725849854,0.1066323716214938,0.1780146205262195,0.1238602348122176,0.0541543857140018,5.774997167533211,-6.872951806631819,7,23
blended_pullback_momentum,hold_forever,1,276,0.644927536231884,0.3677536231884057,0.3297101449275362,1.1693703493727805,12.839810379162774,-0.8766127905771505,30.340526418691205,0.0667643165019374,0.1776908506527354,0.1238602348122176,0.0538306158405177,5.8466668693511785,-4.003536409455204,8,23
explosive_winners,hold_forever,2,552,0.7518115942028986,0.4483695652173913,0.4148550724637681,1.9928363645249323,12.738129885498468,-0.7103348577222139,33.39537024232606,0.1051403871476999,0.177227476320594,0.1238602348122176,0.0533672415083764,5.955835682113388,-2.6080661695397698,8,23
consensus_top_decile,hold_forever,1,276,0.7898550724637681,0.4601449275362319,0.4094202898550724,2.177870002787242,12.732651483206771,-0.4310385617725436,51.50679676646047,0.1116305918598421,0.1772024114778304,0.1238602348122176,0.0533421766656127,5.683533307610746,-5.5634738544909625,8,23
pullback_in_winner,hold_forever,1,276,0.6413043478260869,0.3659420289855072,0.322463768115942,1.1291072633564356,12.723188483266966,-0.8766127905771505,30.340526418691205,0.0623335885149826,0.1771590923091675,0.1238602348122176,0.0532988574969499,5.801872565070766,-4.003536409455204,9,23
quality_pullback,hold_forever,1,276,0.6376811594202898,0.3623188405797101,0.322463768115942,0.9552037073386336,12.610640235369887,-0.8737462272989702,30.11725015428612,0.0557921417754415,0.1766415342669645,0.1238602348122176,0.0527812994547468,5.644344097935372,-7.1225504971050775,9,23
blended_pullback_momentum,hold_forever,3,828,0.6751207729468599,0.3907004830917874,0.3466183574879227,1.6288516791337355,12.13415941699296,-0.8196476337939356,22.951991408567807,0.0728890784078363,0.1744010937760685,0.1238602348122176,0.0505408589638509,5.2010412767607175,-2.7548123884396976,7,23
dual_momentum,hold_forever,5,1380,0.7391304347826086,0.4347826086956521,0.3884057971014493,1.8585893738378707,12.114773020003978,-0.7020931836247755,26.64555243763069,0.0959960662446111,0.1743081953516104,0.1238602348122176,0.0504479605393927,5.3213356865809525,-3.388762925597184,7,23
pullback_in_winner,hold_forever,3,828,0.6751207729468599,0.3900966183574879,0.3393719806763285,1.65547098664416,11.98025536198428,-0.7986153721783966,23.90025926443247,0.0737485373388855,0.1736597187963821,0.1238602348122176,0.0497994839841645,5.187611638646544,-2.87514315020142,7,23
explosive_winners,hold_forever,5,1380,0.7427536231884058,0.4369565217391304,0.3753623188405797,1.8434966973677187,11.960390929384683,-0.7112220322626235,26.364296839811797,0.0943840348951904,0.1735633778280555,0.1238602348122176,0.0497031430158378,5.209766810070233,-3.5820768493659747,8,23
dual_momentum,hold_forever,3,828,0.7355072463768116,0.4365942028985507,0.3900966183574879,1.803044888084191,11.78803868020163,-0.7248590297635562,27.05051084351888,0.0970461487333042,0.1727211146590006,0.1238602348122176,0.0488608798467829,5.236509026568319,-3.706153173435197,8,23
consensus_top_decile,hold_forever,2,552,0.8007246376811594,0.4728260869565217,0.3894927536231884,2.1804155178591835,11.767414869679362,-0.4378792946688326,39.48510282240986,0.1033264060300204,0.1726195550668882,0.1238602348122176,0.0487593202546705,5.330586948289916,-1.2701549465592683,10,23
the_bagger,hold_forever,3,828,0.7125603864734299,0.4130434782608695,0.3683574879227053,1.441871407186802,11.682731925549616,-0.6826165342635894,29.562362058028302,0.093755433563417,0.172200784176944,0.1238602348122176,0.0483405493647263,5.543635790799671,-4.1221885870502,9,23
asymmetric_recovery_plus,hold_forever,1,276,0.6557971014492754,0.3804347826086957,0.322463768115942,0.9387006734968224,11.677354394792744,-0.7578761334196684,31.387393547504814,0.0737184568765793,0.1721740952950689,0.1238602348122176,0.0483138604828512,5.260216663071121,-5.007092936062031,11,23
dual_momentum,hold_forever,2,552,0.7463768115942029,0.4456521739130434,0.4148550724637681,1.882204386304156,11.595240609733708,-0.7097335679447027,29.17103077518752,0.10259257045281,0.1717651224303728,0.1238602348122176,0.0479048876181551,5.338791800268016,-3.411057279773231,8,23
blended_pullback_momentum,hold_forever,5,1380,0.7021739130434783,0.4094202898550724,0.3485507246376811,1.7627109402131196,11.50988468369734,-0.7882059603403256,19.63552121869568,0.0815660713512778,0.1713371114614449,0.1238602348122176,0.0474768766492273,5.343795925812845,-4.291403125346252,6,23
