asof,ticker,score,entry_px
2002-01-31,VIAV,1.0,31.854379653930664
2002-02-28,NVDA,1.0,0.3770902658496682
2002-03-29,RDNT,1.0,3.240000009536743
2002-04-30,CLH,1.0,5.10354153174914
2002-05-31,CLH,1.0,3.9942972686053375
2002-06-28,KMX,1.0,10.808732852062445
2002-07-31,CLH,1.0,4.386094575357649
2002-08-30,CLH,1.0,5.113718318346187
2002-09-30,CLH,1.0,4.72192076896593
2002-10-31,SLGN,1.0,1.719643257740371
2002-11-29,THC,1.0,77.44389800689365
2002-12-31,THC,1.0,68.83901600273995
2003-01-31,CLH,1.0,6.869173730097772
2003-02-28,THC,1.0,76.268594824143
2003-03-31,THC,1.0,70.09827112842237
2003-04-30,THC,1.0,62.29091656992439
2003-05-30,THC,1.0,70.0562951569565
2003-06-30,ODFL,1.0,1.3365640938610548
2003-07-31,THC,1.0,57.84156367076595
2003-08-29,MED,1.0,9.92414379119873
2003-09-30,NTES,1.0,2.1679599285125732
2003-10-31,CLH,1.0,1.8826624539932952
2003-11-28,NTES,1.0,1.8105138540267944
2003-12-31,NTES,1.0,1.4328869581222534
2004-01-30,MTRX,1.0,12.210000038146973
2004-02-27,RYAAY,1.0,5.62554931640625
2004-03-31,STRL,1.0,4.630000114440918
2004-04-30,AXON,1.0,16.30928782848713
2004-05-31,AXON,1.0,14.333016377481796
2004-06-30,AXON,1.0,21.79445250743105
2004-07-30,AXON,1.0,15.774888876523383
2004-08-31,AXON,1.0,13.909529363240098
2004-09-30,AXON,1.0,18.930874015546024
2004-10-29,JBSS,1.0,9.269762992858887
2004-11-30,NFLX,1.0,0.16131842996164888
2004-12-31,BOOM,1.0,5.442263603210449
2005-01-31,BBBY,1.0,52.16999816894531
2005-02-28,SYNA,1.0,15.926667213439941
2005-03-31,BBBY,1.0,42.9900016784668
2005-04-29,BOOM,1.0,11.077296257019043
2005-05-31,BBBY,1.0,38.290000915527344
2005-06-30,AXON,1.0,10.123354367812505
2005-07-29,AXON,1.0,9.800697961377665
2005-08-31,AXON,1.0,8.721813919575274
2005-09-30,MCRI,1.0,15.190406799316406
2005-10-31,CNC,1.0,5.056144185578693
2005-11-30,OFG,1.0,7.917026519775391
2005-12-30,STRL,1.0,16.829999923706055
2006-01-31,TDS,1.0,21.053756713867188
2006-02-28,ISRG,1.0,10.006076853999799
2006-03-31,BBD,1.0,2.588876962661743
2006-04-28,HOV,1.0,994.25
