asof,ticker,score,pullback_1y,pullback_all,range_pos_1y,trend_health_5y,mom_12_1,mom_6_1,mom_3,vol_1y,ret_5d,ret_21d,accel,d_sma200,d_sma50,sma50_above_200,rsi_14,recovery_rate,frac_above_50dma_1y,sharpe_1y,dd_from_52wh,price,mom_3y,mom_2y,pullback_3y,below_52wh,new_52wh,sharpe_12m,mean_ret_12m,vol_12m,beta_2y,best_month_24m,worst_month_24m,tail_ratio_24m,trend_r2_12m,max_below_200_streak,excess_5y_logret,mom_5y,pullback_5y,ret__hold_forever,ret__fixed_1y,ret__fixed_3y,ret__fixed_5y,days__hold_forever
2018-01-31,LITE,3.4172290081843726,-0.3186166105006971,-0.3186166105006971,0.2807309365880687,0.8995433789954338,0.3162730586444147,-0.18719609553065253,-0.26682504959106323,0.5210030676848009,0.04044942105754035,-0.07676973423084832,0.11721915528838867,-0.16598179573463645,-0.09440311609323704,0.0,40.966090145357065,0.8,0.5476190476190477,0.6336515333735062,0.3186166105006971,46.29999923706055,,1.193273230620218,-0.3186166105006971,0.4676025500633709,0.0,0.6336515333735062,0.3301343927307747,0.5210030676848009,1.4991384324459627,0.3345029061300713,-0.19868788710955487,1.6835596321260848,0.07606719087814173,43.0,,,,14.255939248926467,0.0781857233593033,0.9036717244499937,0.3468682859164258,2044
2018-01-31,COHR,3.2421634572051534,-0.19452311782155218,-0.19452311782155218,0.5915940230563801,0.9464627151051626,0.3314994101124009,0.3370165885584586,-0.05641591137209345,0.43375768519828867,-0.046927340203823276,-0.11880164914717084,0.07187430894334756,0.07805337609719087,-0.10594496528981345,1.0,32.84218976395566,1.0,0.7023809523809523,0.5894608496603282,0.19452311782155218,42.650001525878906,,1.081503269999863,-0.19452311782155218,0.241500559637982,0.0,0.5894608496603282,0.2556831736636804,0.43375768519828867,1.3921553649982157,0.23102868362901097,-0.09502266609007015,2.4313007952231454,0.6017495380825846,14.0,,,,4.9467759861372205,-0.11582654782342239,1.059085499482042,0.08464236029309036,2044
2018-01-31,MTSI,3.0068756930020917,-0.5256977195940934,-0.5256977195940934,0.030379745341320985,0.6520076481835564,-0.24277327920956748,-0.23428571093213424,-0.23923680115247148,0.5295804806498368,-0.004481414554230234,-0.10734786896493054,0.1028664544107003,-0.3060955287123732,-0.06606604712141162,0.0,36.60261692567789,0.75,0.4007936507936508,-0.46026829705203715,0.5256977195940934,31.100000381469727,,-0.1657724946401864,-0.5256977195940934,1.1083600929436872,0.0,-0.46026829705203715,-0.24374910598069968,0.5295804806498368,1.9635599491890567,0.3552775290971859,-0.24789427763272542,1.4331816469904848,0.4993401609438153,126.0,,,,6.040514598975048,-0.4199356689951652,1.0405144149864367,1.1389066182359575,2044
2018-02-28,CORT,4.03495275111324,-0.40431374194575287,-0.40431374194575287,0.3724893348681898,0.8690036900369004,1.5435015293104257,0.5682119011225442,-0.16216214652372807,0.6254816483491008,-0.05593539861215202,-0.3585304313926383,0.3025950327804863,-0.0662937844351369,-0.20268329153621734,1.0,37.0363877716559,0.8,0.7341269841269841,1.1110954763503416,0.40431374194575287,15.1899995803833,,2.84556946759804,-0.40431374194575287,0.67873605690755,0.0,1.1110954763503416,0.694969830020841,0.6254816483491008,2.0028789656281423,0.3368083175082288,-0.3401390409069103,0.9902077591863587,0.765759989127269,59.0,,,,1.2804476857513079,-0.15668197672896478,0.6313364957986534,0.2876892696694078,2025
2018-02-28,MTSI,3.9501834232298547,-0.6745462825696433,-0.6745462825696433,0.07313495015372902,0.6291512915129152,-0.3206253963089841,-0.2821905340774885,-0.3419673157023666,0.6587424509895035,-0.029117352273762664,-0.32723831606126486,0.2981209637875022,-0.49529708214128443,-0.2776875074689801,0.0,36.21786012224289,0.75,0.373015873015873,-0.8145681526663234,0.6745462825696433,21.34000015258789,,-0.45042495116441095,-0.6745462825696433,2.0726335157440277,0.0,-0.8145681526663234,-0.5365906213854059,0.6587424509895035,2.0086684462056015,0.3552775290971859,-0.31382637006966485,1.1320830974730374,0.6290571756023189,145.0,,,,9.260543821379216,-0.0848172189784584,2.0417058668220194,2.2736644850435805,2025
2018-02-28,OLED,3.3145622076911745,-0.3686770039930549,-0.3686770039930549,0.39191438272625206,0.8394833948339483,0.9224316176437162,0.4785457224886851,-0.3020266500051937,0.4915637076753676,-0.16203989909450134,-0.20950071960294592,0.04746082050844458,-0.08380502751923624,-0.23244039436134722,1.0,32.90659605762917,0.75,0.8055555555555556,1.0940488267036483,0.3686770039930549,122.42205047607422,,1.5872701033151948,-0.3686770039930549,0.5839752493175445,0.0,1.0940488267036483,0.5377946976323311,0.4915637076753676,1.7908468957309582,0.2856059514873688,-0.18704108856227752,1.5269690402399092,0.811697430097651,31.0,,,,-0.22628316669785808,0.1765291547735921,0.66585207635773,0.09474493588879485,2025
2018-03-29,CORT,3.281535886407023,-0.35490193086511945,-0.35490193086511945,0.44917838898581064,0.8561278863232682,0.30052724445530155,-0.21858501724317636,-0.09416294597140873,0.6157960119946543,-0.01497005919633243,0.11148652371217715,-0.12645658290850958,-0.02118577979870595,-0.09776989535248126,1.0,45.77620331843343,0.8,0.6507936507936508,0.9211396607110006,0.35490193086511945,16.450000762939453,1.937500186264518,2.5149575569063902,-0.35490193086511945,0.5501519037889333,0.0,0.9211396607110006,0.5672341295559431,0.6157960119946543,1.8057651044607888,0.3368083175082288,-0.3401390409069103,0.9902077591863587,0.6339334380777274,59.0,,,,1.10577494122004,-0.3136778457002566,0.4462005964841247,0.31671725488368185,2004
2018-03-29,PH,2.9576518340167133,-0.18627058053916667,-0.18627058053916667,0.3432665918928613,0.9182948490230906,0.12512310560370388,0.0156875269699428,-0.13835641071749682,0.20114618721997612,0.010576496671804048,-0.03536370097950281,0.04594019765130686,-0.03589048519309723,-0.0782081234516625,1.0,39.90666181896608,1.0,0.6706349206349206,0.5093636049369101,0.18627058053916667,151.71157836914062,0.5280636499923579,0.5958169586358488,-0.18627058053916667,0.2289097285711843,0.0,0.5093636049369101,0.10245654704168168,0.20114618721997612,1.3448133719642552,0.13751601593971263,-0.11073906727679339,1.241802187081728,0.6610279892987898,38.0,,,,4.895462843107969,0.05881276169038796,0.9474375337563627,1.1405960430753819,2004
2018-03-29,CELH,2.9001551035820947,-0.3419060519520317,-0.3419060519520317,0.3067483989559014,0.8117229129662522,0.45040232187802043,-0.08614864140351564,-0.17769356206829012,0.6193063872110051,-0.09374998370185517,-0.19593330113580254,0.10218331743394737,-0.1361848892018488,-0.18143837725266543,1.0,34.176753959013396,0.75,0.5674603174603174,0.5560875069858032,0.3419060519520317,1.4500000476837158,2.479997210504952,0.9863013832849639,-0.3419060519520317,0.5195398817542543,0.0,0.5560875069858032,0.34438854492455234,0.6193063872110051,-0.13566324932383372,0.4489786043016484,-0.18539321854505464,2.4217639017499266,0.5470241678614679,30.0,,,,27.627584107905943,0.006896544920278691,10.045976472855388,20.36551622306836,2004
2018-04-30,MTSI,3.9720221457891998,-0.7465304115207232,-0.7465304115207232,0.0180541741732251,0.583904109589041,-0.6659848613709815,-0.5927680662071653,-0.47604031528978685,0.7099299416365589,-0.02177745361207939,0.017758782417772956,-0.039536236029852345,-0.5131189571179215,-0.1379488718989338,0.0,41.8621657337974,0.75,0.28174603174603174,-1.1252173987284466,0.7465304115207232,16.6200008392334,-0.45454541471062226,-0.5935436271138499,-0.7465304115207232,2.945246473155332,0.0,-1.1252173987284466,-0.7988255222077266,0.7099299416365589,1.9326299913971006,0.3552775290971859,-0.31382637006966485,1.1320830974730374,0.8639914483530611,187.0,,,,12.174488306702562,-0.18231050142265015,2.4061370488452223,2.4452464157742084,1983
