year,n_picks,win_rate,median_ret,cagr_dca,cagr_dca_spy,edge
1997,12,0.8333333333333334,0.45790990329270975,0.09757477487825858,0.09612204641607713,0.0014527284621814462
1998,12,0.75,1.2904496930950764,0.07622936856188499,0.09052930755914258,-0.014299938997257594
1999,12,0.5,-0.09828160477922354,-0.0017084382402909886,0.08528868640595973,-0.08699712464625071
2000,12,0.8333333333333334,0.7412415119553527,0.027860435468496352,0.08509787181620579,-0.05723743634770943
2001,12,0.75,2.053365108896166,0.1448171348232075,0.09619101148623194,0.04862612333697555
2002,12,0.8333333333333334,40.88431160977774,0.159683837576456,0.1085631957372676,0.051120641839188394
2003,12,0.9166666666666666,62.061651598641674,0.20431906684711304,0.11352667202246025,0.09079239482465279
2004,12,0.9166666666666666,14.42841763942566,0.2096513921232399,0.10975887055240735,0.09989252157083256
2005,12,0.9166666666666666,24.24432722950773,0.20485212199058303,0.11107158064352854,0.09378054134705449
2006,12,0.8333333333333334,7.364628197526086,0.14326063116072418,0.1110969737448292,0.03216365741589498
2007,12,1.0,4.2197506387026795,0.1114517437282732,0.10949290290473442,0.001958840823538782
2008,12,0.6666666666666666,2.2008956013347216,0.10030530776705154,0.12855318446115166,-0.028247876694100116
2009,12,0.8333333333333334,2.31300110313135,0.14049956974998792,0.1512091895867597,-0.010709619836771767
2010,12,1.0,4.851891988566898,0.19742665600183812,0.14621674822623165,0.05120990777560647
2011,12,0.9166666666666666,4.493607645241603,0.15836933024848682,0.14557023237520653,0.01279909787328029
2012,12,1.0,9.448217726981525,0.18174863632144944,0.1484368772743894,0.03331175904706005
2013,12,0.9166666666666666,3.593312345218844,0.1836271154205602,0.14352484037387891,0.04010227504668129
2014,12,1.0,2.266465641959487,0.15195583900688112,0.13843662071843255,0.01351921828844857
2015,12,0.8333333333333334,1.065453895010973,0.2064357728886437,0.14366706178178226,0.06276871110686144
2016,12,0.8333333333333334,4.342278477019223,0.3646164580905073,0.15410795966263796,0.21050849842786934
2017,12,0.6666666666666666,2.256252225974148,0.4271161996507467,0.14967149477506533,0.2774447048756814
2018,12,0.3333333333333333,-0.8044634364636625,-0.02275548193532423,0.1519054953305582,-0.17466097726588242
2019,12,0.5,0.08435262641836522,0.07598307945201419,0.16092397841124917,-0.08494089895923498
2020,12,0.4166666666666667,-0.6236107135430949,-0.0028822674411203343,0.17035304193141582,-0.17323530937253614
2021,12,0.5,0.05656849179672052,0.036681623270672994,0.13512381432354578,-0.09844219105287279
2022,12,0.5833333333333334,0.3868094193538786,0.04817157142331691,0.18348665780097273,-0.13531508637765582
2023,12,0.5833333333333334,0.06551170095174175,0.41897565734046494,0.22286619475273117,0.19610946258773376
2024,12,1.0,0.7890774592163692,0.5816459444117943,0.19347161713314345,0.38817432727865087
