year,n_picks,win_rate,beat_spy_rate,median_ret,cagr_dca_picks,cagr_dca_spy,edge
2002,60,0.9333333333333333,0.6,18.385867036582788,0.3256578600615917,0.10297192090127191,0.22268593916031978
2003,60,0.9833333333333333,0.5333333333333333,12.561287770333303,0.15484455057486055,0.10766507679213834,0.047179473782722206
2004,60,0.9166666666666666,0.6833333333333333,20.118869721381124,0.2924538779174762,0.10364960893254649,0.1888042689849297
2005,60,0.75,0.5166666666666667,7.362087288023366,0.23097605145947742,0.10466213038665004,0.12631392107282738
2006,60,0.9333333333333333,0.6333333333333333,10.403406920657853,0.20271870064658445,0.10436522423262418,0.09835347641396028
2007,60,0.7666666666666667,0.48333333333333334,4.328002357085355,0.12693871138297347,0.10241493593092542,0.02452377545204805
2008,60,0.85,0.6166666666666667,10.604945434465176,0.2641694634294612,0.12095084558556017,0.143218617843901
2009,60,0.7666666666666667,0.36666666666666664,4.33273230540739,0.14448117929385165,0.14299582977998052,0.001485349513871137
2010,60,0.8333333333333334,0.4666666666666667,6.0572023832223065,0.2699488532891635,0.13752448847783114,0.13242436481133238
2011,60,0.9666666666666667,0.55,6.299264432286289,0.22027017637616858,0.13629901595250665,0.08397116042366193
2012,60,0.8833333333333333,0.65,7.196650890588453,0.214479355629204,0.13847175773357914,0.07600759789562486
2013,60,0.9833333333333333,0.48333333333333334,3.694090939578443,0.17125466490428196,0.1328325888990075,0.03842207600527445
2014,60,0.8833333333333333,0.35,0.9108904063893867,0.39802161556268756,0.12689533258871752,0.27112628297397
2015,60,0.8166666666666667,0.4666666666666667,2.5037006501107024,0.1946764713379431,0.13100829606329795,0.06366817527464516
2016,60,0.9,0.75,5.624281557657998,0.7486445468949041,0.1400403021961781,0.608604244698726
2017,60,0.6666666666666666,0.35,0.7078460143201677,0.5532572419128253,0.13407948713428006,0.41917775477854524
2018,60,0.5833333333333334,0.3333333333333333,0.3790035099218666,0.22793775926155524,0.1343026401150638,0.09363511914649145
2019,60,0.55,0.36666666666666664,0.258125979418537,0.3396070031112501,0.14060955898877875,0.19899744412247133
2020,60,0.55,0.38333333333333336,0.5532338532001573,0.1255683945276327,0.1463855500862662,-0.020817155558633504
2021,60,0.43333333333333335,0.2833333333333333,-0.522836531334458,0.01723997179436965,0.10710648139704554,-0.08986650960267589
2022,60,0.5333333333333333,0.3,0.06309618516716708,0.4259203982780864,0.1467760812846888,0.2791443169933976
2023,60,0.48333333333333334,0.31666666666666665,-0.04412362780369811,0.6013801419273092,0.17183287438005873,0.4295472675472504
2024,60,0.5,0.3333333333333333,0.0015739113210620492,0.09185527383227979,0.11709295989331713,-0.025237686061037337
