window,strategy,top_k,exit,n_picks,win_rate,median_ret,mean_ret,cagr_dca,cagr_spy_dca,edge
1997-2024 (FULL),grand_ensemble,1,hold_forever,336,0.7738095238095238,1.647450317481634,13.949505283709884,0.1496400213009739,0.10876061965055214,0.040879401650421754
1997-2024 (FULL),grand_ensemble,1,fixed_3y,336,0.6309523809523809,0.31876034993960156,0.6332983585382432,0.03057925130764485,0.10876061965055214,-0.07818136834290729
1997-2024 (FULL),grand_ensemble,2,hold_forever,672,0.7752976190476191,1.6020750512878474,11.259201827778083,0.1395726906785366,0.10876061965055214,0.030812071027984445
1997-2024 (FULL),grand_ensemble,2,fixed_3y,672,0.625,0.26050336546006925,0.5472658448772572,0.027333564269938472,0.10876061965055214,-0.08142705538061368
1997-2024 (FULL),grand_ensemble,3,hold_forever,1008,0.7688492063492064,1.5050938798395468,10.020654557404375,0.13414460874354497,0.10876061965055214,0.02538398909299283
1997-2024 (FULL),grand_ensemble,3,fixed_3y,1008,0.6240079365079365,0.24301795013719574,0.5352751548386832,0.026864640627172746,0.10876061965055214,-0.08189597902337939
1997-2024 (FULL),strategy_rotation,5,hold_forever,1660,0.7108433734939759,1.5561304995972836,14.168485414826707,0.15051106516230073,0.10860197744645046,0.041909087715850266
1997-2024 (FULL),strategy_rotation,5,fixed_3y,1660,0.5337349397590362,0.08262650924091608,0.9013683564029215,0.039614501039190536,0.10860197744645046,-0.06898747640725993
1997-2024 (FULL),strategy_rotation,3,hold_forever,996,0.6746987951807228,1.2425843731002026,12.233475461245684,0.1435940058722081,0.10860197744645049,0.03499202842575762
1997-2024 (FULL),strategy_rotation,3,fixed_3y,996,0.4859437751004016,-0.025403947023569073,0.8937665826682619,0.039380100041733514,0.10860197744645049,-0.06922187740471697
1997-2024 (FULL),diamond_ensemble,1,hold_forever,336,0.7380952380952381,1.5285193141912883,13.066752856032966,0.14655721604208385,0.10876061965055214,0.03779659639153171
1997-2024 (FULL),diamond_ensemble,1,fixed_3y,336,0.5803571428571429,0.17363864161424758,0.5534776600858533,0.027574837589054338,0.10876061965055214,-0.0811857820614978
2002-2024 (POST-DOTCOM),grand_ensemble,1,hold_forever,276,0.782608695652174,1.9225214528101837,14.851545578375385,0.18620985609904864,0.12386023481221767,0.06234962128683097
2002-2024 (POST-DOTCOM),grand_ensemble,1,fixed_3y,276,0.6811594202898551,0.41362078416472237,0.7304487319706018,0.040880918796029134,0.12386023481221767,-0.08297931601618853
2002-2024 (POST-DOTCOM),grand_ensemble,2,hold_forever,552,0.7916666666666666,1.8984823242060216,12.081174617235543,0.17414686231393733,0.12386023481221764,0.050286627501719694
2002-2024 (POST-DOTCOM),grand_ensemble,2,fixed_3y,552,0.6721014492753623,0.34936048565083033,0.6519752617403689,0.03755097057683267,0.12386023481221764,-0.08630926423538497
2002-2024 (POST-DOTCOM),grand_ensemble,3,hold_forever,828,0.7789855072463768,1.6166392511270236,10.88253005777336,0.16809680488198497,0.12386023481221764,0.044236570069767334
2002-2024 (POST-DOTCOM),grand_ensemble,3,fixed_3y,828,0.6763285024154589,0.3319975419769645,0.6360899687337116,0.03685505586401315,0.12386023481221764,-0.08700517894820449
2002-2024 (POST-DOTCOM),strategy_rotation,5,hold_forever,1365,0.7120879120879121,1.6578073173909722,14.591822435465245,0.18559953002226065,0.12366118231851594,0.061938347703744706
2002-2024 (POST-DOTCOM),strategy_rotation,5,fixed_3y,1365,0.5728937728937729,0.1858966873878687,1.0397868009650872,0.052630620586305375,0.12366118231851594,-0.07103056173221056
2002-2024 (POST-DOTCOM),strategy_rotation,3,hold_forever,819,0.6776556776556777,1.476651637911731,13.39503174153956,0.1805752810746128,0.12366118231851589,0.056914098756096904
2002-2024 (POST-DOTCOM),strategy_rotation,3,fixed_3y,819,0.5213675213675214,0.04144144345390233,1.0225668424253866,0.05203473165573849,0.12366118231851589,-0.0716264506627774
2002-2024 (POST-DOTCOM),diamond_ensemble,1,hold_forever,276,0.7427536231884058,1.6691429217405076,13.799779603018456,0.18190249523266305,0.12386023481221767,0.058042260420445385
2002-2024 (POST-DOTCOM),diamond_ensemble,1,fixed_3y,276,0.6268115942028986,0.24796458212287376,0.6603397173776138,0.037914359643063146,0.12386023481221767,-0.08594587516915453
2018-2024 (RECENT),grand_ensemble,1,hold_forever,84,0.5595238095238095,0.21949940274462232,0.5501226650167645,0.09184616053038365,0.163168137361471,-0.07132197683108736
2018-2024 (RECENT),grand_ensemble,1,fixed_3y,84,0.6071428571428571,0.2150246285350731,0.5982160263381272,0.09830790865649969,0.163168137361471,-0.06486022870497132
