name,k,cagr,final,dt
strategy_rotation,7,0.35828829933618905,66948.30339481025,3.5068814754486084
strategy_rotation,5,0.3536565315686194,62304.19364306737,3.489272356033325
rotation_apex,7,0.30243671399630595,27917.328417881225,5.446277618408203
rotation_apex,5,0.25726099676889486,13620.899391870433,5.202184438705444
strategy_rotation,3,0.23558889791482918,9634.45772734317,3.7654647827148438
rotation_apex,3,0.21197579264650274,6603.292217229711,5.392518043518066
rotation_plus,3,0.1811914883459444,4038.735030221295,4.07669472694397
rotation_hardened,7,0.17814333618998293,3847.3957530135967,3.847038984298706
rotation_hardened,3,0.17479136513008559,3647.5944501407193,3.8555688858032227
rotation_5regimes,3,0.15824869343359765,2805.83753318708,4.052962779998779
rotation_rich,7,0.15294140218914218,2580.227544415905,4.7442474365234375
rotation_rich,3,0.15000341264331668,2463.443095201326,4.7843101024627686
rotation_plus,7,0.14626550594418558,2322.691311971363,4.161988019943237
rotation_5regimes,7,0.13740268662961502,2021.203754513944,4.122392177581787
rotation_rich,5,0.1373853717137135,2020.6562074886801,5.078957796096802
rotation_hardened,5,0.13458307246805898,1934.0384783971685,3.978121280670166
rotation_plus,5,0.1280438338643828,1746.6110696098922,4.0855138301849365
rotation_5regimes,5,0.10038325562269126,1141.237777701373,3.9302620887756348
composite_xrank,5,0.09030433111972345,979.9622423319754,4.258550405502319
composite_xrank,7,0.08354199163935593,885.5855427580557,4.247538328170776
composite_xrank,3,0.06410943088520023,665.1831005158904,4.323148488998413
