delist_alpha,cagr_dca,cagr_dca_p10,cagr_dca_p90,win_rate,win_rate_median,cagr_spy_dca,edge,strategy,top_k
0.0,0.1496400213009739,0.1496400213009739,0.1496400213009739,0.7738095238095238,0.7738095238095238,0.10876061965055214,0.040879401650421754,grand_ensemble,1
0.04,0.1111793241878319,0.09889528432556474,0.11977971061648443,0.4255952380952381,0.4255952380952381,0.10876061965055214,0.002418704537279756,grand_ensemble,1
0.08,0.06956285143724861,0.05185952242638908,0.08501073416917221,0.24702380952380953,0.24702380952380953,0.10876061965055214,-0.039197768213303535,grand_ensemble,1
0.12,0.03154714958509426,0.0061369245145469625,0.051263329582911646,0.16071428571428573,0.16071428571428573,0.10876061965055214,-0.07721347006545788,grand_ensemble,1
0.16,-0.011490880444180248,-0.04106675477512183,0.024502940393169373,0.11011904761904762,0.11011904761904762,0.10876061965055214,-0.12025150009473239,grand_ensemble,1
0.2,-0.04881251789978708,-0.11056027750612703,-0.005876660894369743,0.08035714285714286,0.08035714285714286,0.10876061965055214,-0.15757313755033922,grand_ensemble,1
0.0,0.15051106516230073,0.15051106516230073,0.15051106516230073,0.7108433734939759,0.7108433734939759,0.10860197744645046,0.041909087715850266,strategy_rotation,5
0.04,0.10978638126175833,0.09973716449248547,0.11701419089494278,0.38072289156626504,0.38072289156626504,0.10860197744645046,0.0011844038153078634,strategy_rotation,5
0.08,0.06946381390227492,0.05525570443668254,0.08248439431720986,0.22289156626506024,0.22289156626506024,0.10860197744645046,-0.03913816354417554,strategy_rotation,5
0.12,0.03025238588510544,0.013908484164625375,0.05072541855531182,0.1391566265060241,0.1391566265060241,0.10860197744645046,-0.07834959156134502,strategy_rotation,5
0.16,-0.014700485650682854,-0.031106939067482037,0.01728266137652096,0.09397590361445783,0.09397590361445783,0.10860197744645046,-0.12330246309713332,strategy_rotation,5
0.2,-0.049192824082565506,-0.07215078689088114,-0.02085827101778708,0.06716867469879517,0.06716867469879517,0.10860197744645046,-0.15779480152901598,strategy_rotation,5
0.0,0.1435940058722081,0.1435940058722081,0.1435940058722081,0.6746987951807228,0.6746987951807228,0.10860197744645049,0.03499202842575762,strategy_rotation,3
0.04,0.1033804986556657,0.09534072611918461,0.11198415206930808,0.36244979919678716,0.36244979919678716,0.10860197744645049,-0.0052214787907847865,strategy_rotation,3
0.08,0.06399952990275515,0.051146433978028386,0.07628508602720956,0.20883534136546184,0.20883534136546184,0.10860197744645049,-0.04460244754369534,strategy_rotation,3
0.12,0.024192029411788066,0.0068762112020048964,0.046815567620697655,0.13052208835341367,0.13052208835341367,0.10860197744645049,-0.08440994803466242,strategy_rotation,3
0.16,-0.012742746282601759,-0.03601362168195194,0.019480005776742436,0.08734939759036145,0.08734939759036145,0.10860197744645049,-0.12134472372905225,strategy_rotation,3
0.2,-0.0533304128731834,-0.07666209225624337,-0.021520161853055497,0.06224899598393574,0.06224899598393574,0.10860197744645049,-0.16193239031963388,strategy_rotation,3
