split,name,train,test,edge,spy
A1,strategy_rotation k=5,0.31450661327775487,0.28456398004040545,0.18307309895389473,0.1014908810865107
A1,strategy_rotation k=3,0.39018206062860566,0.18479754678754712,0.08330666570103641,0.1014908810865107
A1,strategy_rotation k=7,0.26951299716915844,0.3280925494993216,0.22660166841281087,0.1014908810865107
A1,quality_pullback k=5,0.4509713808399841,0.3848120242758371,0.2833211431893264,0.1014908810865107
A1,explosive_winners k=5,0.10440514954290317,0.20415476482554817,0.10266388373903747,0.1014908810865107
A2,strategy_rotation k=5,0.3770214810602294,0.42279789486849784,0.23656256575811643,0.1862353291103814
A2,strategy_rotation k=3,0.34970609253407897,0.426797907107576,0.24056257799719458,0.1862353291103814
A2,strategy_rotation k=7,0.39925405558565447,0.43338718953053507,0.24715186042015366,0.1862353291103814
A2,quality_pullback k=5,0.4613891007072245,0.4100752351237368,0.22383990601335538,0.1862353291103814
A2,explosive_winners k=5,0.29160241701220574,0.4641071046941891,0.2778717755838077,0.1862353291103814
A3,strategy_rotation k=5,0.3245547181384024,0.4507599729744059,0.2968968033765097,0.15386316959789623
A3,strategy_rotation k=3,0.2942809037066034,0.24098842816817695,0.08712525857028072,0.15386316959789623
A3,strategy_rotation k=7,0.34919689382221253,0.3784239832822158,0.2245608136843196,0.15386316959789623
A3,quality_pullback k=5,0.4457939595063165,0.10303541496337822,-0.05082775463451801,0.15386316959789623
A3,explosive_winners k=5,0.22260991299884447,0.31080975013829354,0.1569465805403973,0.15386316959789623
R1,strategy_rotation k=5,0.6331277272945163,0.42557040741441265,0.28939108296421245,0.1361793244502002
R1,strategy_rotation k=3,0.6296948648892446,0.6730144964486666,0.5368351719984664,0.1361793244502002
R1,strategy_rotation k=7,0.5483222342495665,0.39804261498469695,0.26186329053449675,0.1361793244502002
R1,quality_pullback k=5,0.8026462236978387,0.811985049639044,0.6758057251888439,0.1361793244502002
R1,explosive_winners k=5,0.7611139541810706,-0.10182782241861095,-0.23800714686881114,0.1361793244502002
R2,strategy_rotation k=5,0.24258692015424277,0.9938304855455604,0.7805799052674404,0.21325058027812002
R2,strategy_rotation k=3,0.4109580691570846,0.8650799358481068,0.6518293555699868,0.21325058027812002
R2,strategy_rotation k=7,0.2309188035474016,1.0725055358903808,0.8592549556122607,0.21325058027812002
R2,quality_pullback k=5,0.40414813313980535,0.7401185347459889,0.5268679544678688,0.21325058027812002
R2,explosive_winners k=5,-0.16596562332139037,0.9964068216306975,0.7831562413525774,0.21325058027812002
R3,strategy_rotation k=5,0.5776280572655605,-0.021968273927053958,-0.11461486161117553,0.09264658768412157
R3,strategy_rotation k=3,0.47799607669225513,-0.05342817387103381,-0.14607476155515536,0.09264658768412157
R3,strategy_rotation k=7,0.661721673524322,0.03165740186959852,-0.06098918581452305,0.09264658768412157
R3,quality_pullback k=5,0.7240083059932572,0.277458135480381,0.18481154779625944,0.09264658768412157
R3,explosive_winners k=5,0.44696185306552566,0.05414401139090616,-0.03850257629321541,0.09264658768412157
R4,strategy_rotation k=5,0.26225064615065413,0.4085377599839734,0.2596418563882149,0.1488959035957585
R4,strategy_rotation k=3,0.22738221860069655,0.39454991801332434,0.24565401441756585,0.1488959035957585
R4,strategy_rotation k=7,0.31581215088474024,0.3864005298256256,0.23750462622986712,0.1488959035957585
R4,quality_pullback k=5,0.3681919986460014,0.6282679350867567,0.4793720314909982,0.1488959035957585
R4,explosive_winners k=5,0.30828298067054105,0.1847990073420882,0.03590310374632971,0.1488959035957585
R5,strategy_rotation k=5,0.28888296335203434,-0.07669857844578569,-0.1052311006566351,0.02853252221084941
R5,strategy_rotation k=3,0.24463934037922438,-0.09594119689105184,-0.12447371910190125,0.02853252221084941
R5,strategy_rotation k=7,0.31337830353307794,0.03685232510402418,0.008319802893174775,0.02853252221084941
R5,quality_pullback k=5,0.4953377837378581,-0.33203390283477197,-0.36056642504562136,0.02853252221084941
R5,explosive_winners k=5,0.14532037767724462,0.3680464107961443,0.3395138885852949,0.02853252221084941
R6,strategy_rotation k=5,0.14474689513388772,0.6505034316545446,0.4095689596450899,0.2409344720094547
R6,strategy_rotation k=3,0.11610144526815512,0.1734045729043634,-0.0675298991050913,0.2409344720094547
R6,strategy_rotation k=7,0.1893736456299063,0.487985281996384,0.24705080998692933,0.2409344720094547
R6,quality_pullback k=5,0.009284211351026065,-0.10635864224190188,-0.34729311425135656,0.2409344720094547
R6,explosive_winners k=5,0.3700086865271886,0.3324850206423797,0.09155054863292503,0.2409344720094547
STRICT,strategy_rotation k=5,0.31293317996404735,0.5089097027840361,0.3473879484179765,0.16152175436605967
STRICT,strategy_rotation k=3,0.27007566408004935,0.11289844358511075,-0.04862331078094892,0.16152175436605967
STRICT,strategy_rotation k=7,0.3341074739809057,0.4010262576395131,0.23950450327345343,0.16152175436605967
STRICT,quality_pullback k=5,0.461531789474569,0.014680473635058004,-0.14684128073100167,0.16152175436605967
STRICT,explosive_winners k=5,0.2491421465898633,0.16593240972805842,0.00441065536199875,0.16152175436605967
