strategy,top_k,exit,n_years,min_year_edge,mean_year_edge,n_bad_years,n_great_years,min_year_cagr,min_year_win,mean_year_win,cagr_dca_portfolio,cagr_spy_dca,edge_vs_spy_dca,win_rate,n_picks
blended_pullback_momentum,1,fixed_3y,23,-0.2257042759585193,0.12878311340785678,8,5,-0.07931872587225297,0.08333333333333333,0.4782608695652174,0.2837625923709152,0.11607086183838923,0.167691730532526,0.4782608695652174,276
blended_pullback_momentum,1,hold_forever,23,-0.2603943753153463,0.20405420838133312,3,5,-0.11400882522908,0.16666666666666666,0.6485507246376812,0.31580047278525925,0.11607086183838923,0.19972961094687003,0.6485507246376812,276
blended_pullback_momentum,5,fixed_3y,23,-0.11612822639749196,0.061125366587495525,2,4,-0.012269905638799691,0.16666666666666666,0.572463768115942,0.19543676889810258,0.11607086183838922,0.07936590705971336,0.572463768115942,1380
blended_pullback_momentum,5,hold_forever,23,-0.05155257634215878,0.15286312974409536,0,4,0.055553905054886756,0.43333333333333335,0.7239130434782608,0.26167682103635426,0.11607086183838922,0.14560595919796504,0.7239130434782609,1380
blended_pullback_momentum,10,fixed_3y,23,-0.11663347813497696,0.026752771615953512,4,3,-0.012268253902352842,0.23333333333333334,0.6028985507246377,0.1590607453980166,0.11607086183838917,0.04298988355962742,0.6028985507246377,2760
blended_pullback_momentum,10,hold_forever,23,-0.056480977937509086,0.12217797298695633,0,3,0.050625503459536494,0.375,0.7329710144927537,0.2463910781921382,0.11607086183838917,0.13032021635374902,0.7329710144927536,2760
dual_momentum,1,fixed_3y,23,-0.2070545133763462,-0.0352549917905038,10,2,-0.06027843209165722,0.16666666666666666,0.5253623188405797,0.04809289519903061,0.11607086183838923,-0.06797796663935862,0.5253623188405797,276
dual_momentum,1,hold_forever,23,-0.19137525763765809,0.05045645150126764,3,2,-0.044989707551391755,0.25,0.7210144927536232,0.1751587629599139,0.11607086183838923,0.059087901121524664,0.7210144927536232,276
dual_momentum,5,fixed_3y,23,-0.14081870771543195,-0.029151886023451735,7,2,-0.013923375126714438,0.21666666666666667,0.5782608695652174,0.05422294432400281,0.11607086183838922,-0.061847917514386404,0.5782608695652174,1380
dual_momentum,5,hold_forever,23,-0.06147052901000635,0.07890407120247005,0,2,0.04621054631072137,0.36666666666666664,0.731159420289855,0.19534039391564095,0.11607086183838922,0.07926953207725174,0.731159420289855,1380
dual_momentum,10,fixed_3y,23,-0.12959158699760598,-0.037766401005530324,8,2,-0.007050770787406403,0.2833333333333333,0.5887681159420289,0.049780509128834104,0.11607086183838917,-0.06629035270955508,0.5887681159420289,2760
dual_momentum,10,hold_forever,23,-0.0446720451756257,0.07404414026971863,0,2,0.07893466356851252,0.4,0.7532608695652173,0.19690302959714545,0.11607086183838917,0.08083216775875628,0.7532608695652174,2760
explosive_winners,1,fixed_3y,23,-0.27762958567085005,-0.06119778403560078,11,1,-0.1312440355845837,0.08333333333333333,0.5978260869565217,0.03713951811738729,0.11607086183838923,-0.07893134372100194,0.5978260869565217,276
explosive_winners,1,hold_forever,23,-0.31440007004301695,0.037789068831301356,3,1,-0.1680145199567506,0.08333333333333333,0.7210144927536232,0.1963745488277197,0.11607086183838923,0.08030368698933048,0.7210144927536232,276
explosive_winners,5,fixed_3y,23,-0.11980624783230108,-0.06289016810171524,8,0,-0.0074108904745846535,0.26666666666666666,0.6326086956521738,0.03779792669153881,0.11607086183838922,-0.07827293514685041,0.6326086956521739,1380
