year,n_picks,win_rate,beat_spy_rate,median_ret,cagr_dca_picks,cagr_dca_spy,edge
2002,60,1.0,0.7166666666666667,26.023788877851292,0.3265615223475247,0.10297192090127191,0.2235896014462528
2003,60,0.9833333333333333,0.5333333333333333,9.49021339096543,0.15548053503497153,0.10766507679213834,0.04781545824283319
2004,60,0.8333333333333334,0.55,9.095719885713189,0.19359164927464517,0.10364960893254649,0.08994204034209868
2005,60,0.7333333333333333,0.4666666666666667,5.256708404017946,0.2252499448971514,0.10466213038665004,0.12058781451050135
2006,60,0.8333333333333334,0.38333333333333336,4.561487771306434,0.12346032476441184,0.10436522423262418,0.01909510053178766
2007,60,0.8,0.4166666666666667,4.0402678733310164,0.12146324984284848,0.10241493593092542,0.019048313911923062
2008,60,0.8666666666666667,0.6,9.83873113647635,0.2641450720339733,0.12095084558556017,0.14319422644841312
2009,60,0.7666666666666667,0.3333333333333333,3.3803085042941707,0.13540079489649562,0.14299582977998052,-0.007595034883484897
2010,60,0.85,0.48333333333333334,5.666498726284278,0.2709786295606901,0.13752448847783114,0.13345414108285894
2011,60,0.9333333333333333,0.55,6.706820810161081,0.27780242091513085,0.13629901595250665,0.1415034049626242
2012,60,0.8666666666666667,0.6666666666666666,7.440748226298713,0.22210739938739132,0.13847175773357914,0.08363564165381218
2013,60,0.9833333333333333,0.48333333333333334,3.7545961934779744,0.16226535077337179,0.1328325888990075,0.029432761874364277
2014,60,0.8833333333333333,0.4,2.6406506817487263,0.3937663438748379,0.12689533258871752,0.26687101128612034
2015,60,0.8333333333333334,0.5,2.9001187788303735,0.19671229663315826,0.13100829606329795,0.06570400056986031
2016,60,0.9,0.7333333333333333,4.768954689918363,0.748250146482021,0.1400403021961781,0.6082098442858429
2017,60,0.7166666666666667,0.45,0.8483665049498169,0.5518261718859352,0.13407948713428006,0.4177466847516551
2018,60,0.65,0.38333333333333336,0.9243971827507219,0.2506493430698626,0.1343026401150638,0.11634670295479879
2019,60,0.48333333333333334,0.21666666666666667,-0.02464261799451889,0.317266673692318,0.14060955898877875,0.17665711470353923
2020,60,0.6666666666666666,0.4666666666666667,0.9426805481040528,0.13736770971716925,0.1463855500862662,-0.009017840369096947
2021,60,0.2,0.15,-0.6362946414883595,-0.03939967596996088,0.10710648139704554,-0.14650615736700642
2022,60,0.5333333333333333,0.3,0.06309618516716708,0.4253092179881105,0.1467760812846888,0.2785331367034217
2023,60,0.48333333333333334,0.31666666666666665,-0.03599509295008535,0.6094268539216505,0.17183287438005873,0.4375939795415918
2024,60,0.38333333333333336,0.26666666666666666,-0.13289944532782555,-0.08787536379901999,0.11709295989331713,-0.2049683236923371
