strategy,top_k,exit,n_years,min_year_edge,mean_year_edge,n_bad_years,n_great_years,min_year_cagr,min_year_win,mean_year_win
proprietary_v1,5,fixed_3y,23,-0.14654667802523302,-0.09261788216183799,9,0,-0.003466247235075881,0.36666666666666664,0.7101449275362318
proprietary_v1,5,hold_forever,23,-0.09124001102709517,-0.015332222748068735,0,0,0.05818770214449754,0.48333333333333334,0.8086956521739131
proprietary_v1,10,fixed_3y,23,-0.11901445284580334,-0.09098596337632407,10,0,-0.0056215582467634,0.3333333333333333,0.7072463768115942
proprietary_v1,10,hold_forever,23,-0.09416436531206127,-0.015509135335556552,0,0,0.06907987588772618,0.5166666666666667,0.8079710144927535
proprietary_v2,1,fixed_3y,23,-0.26743689691062367,-0.08555481103405019,9,0,-0.1278388081594757,0.08333333333333333,0.5869565217391305
proprietary_v2,1,hold_forever,23,-0.23757290196335518,0.006772548930867607,3,0,-0.10552885421396306,0.16666666666666666,0.6847826086956522
proprietary_v2,5,fixed_3y,23,-0.22359323632692335,-0.072783925995161,10,0,-0.0827969218918695,0.21666666666666667,0.6318840579710144
proprietary_v2,5,hold_forever,23,-0.1374327712827841,0.03187946965574331,1,0,-0.03032628988573858,0.26666666666666666,0.75
proprietary_v2,10,fixed_3y,23,-0.17415704542801513,-0.07453977968176116,9,0,-0.06447069416051067,0.275,0.6520321361058601
proprietary_v2,10,hold_forever,23,-0.13169848401732223,0.02514732619030139,1,0,-0.024592002620276658,0.2833333333333333,0.7560491493383743
proprietary_v3,1,fixed_3y,23,-0.17851553661442376,-0.08583454538551241,8,0,-0.07140905521737839,0.16666666666666666,0.6693017127799736
proprietary_v3,1,hold_forever,23,-0.22301413883898483,0.015744189014971568,1,0,-0.11590765744193945,0.08333333333333333,0.7351778656126483
proprietary_v3,5,fixed_3y,23,-0.1183484815700075,-0.07515789096774078,7,0,-0.011242000172961971,0.31666666666666665,0.6639395045806916
proprietary_v3,5,hold_forever,23,-0.0501702407251786,0.030392491525454934,0,0,0.056936240671866936,0.3333333333333333,0.7706347337238849
proprietary_v3,10,fixed_3y,23,-0.11445375691073274,-0.07946878518706782,9,0,-0.005262371850332035,0.35,0.6625604443440235
proprietary_v3,10,hold_forever,23,-0.061053004654191376,0.017981787378215174,0,0,0.046053476742854205,0.4083333333333333,0.7759006924294733
proprietary_v4,1,fixed_3y,23,-0.2525944497198612,-0.11161977138765593,15,0,-0.13550148982654395,0.16666666666666666,0.5869565217391305
proprietary_v4,1,hold_forever,23,-0.2525944497198612,-0.03057983368878108,5,0,-0.13550148982654395,0.3333333333333333,0.6920289855072463
proprietary_v4,5,fixed_3y,23,-0.1390402146286732,-0.08667921252543762,11,0,-0.026647710818980323,0.3,0.6695652173913044
proprietary_v4,5,hold_forever,23,-0.12010909701687099,-0.006271931180952206,1,0,0.02666698426781781,0.4166666666666667,0.7572463768115942
proprietary_v4,10,fixed_3y,23,-0.1360852268554301,-0.08397807121088924,11,0,-0.024230252439816757,0.275,0.6822463768115942
proprietary_v4,10,hold_forever,23,-0.08032805031788504,-0.002023865604707637,0,0,0.02693817205631693,0.35833333333333334,0.775
proprietary_v5,1,fixed_3y,23,-0.24874962992312544,-0.08804793398601943,11,0,-0.10236407983685912,0.16666666666666666,0.6521739130434783
proprietary_v5,1,hold_forever,23,-0.223221666538772,-0.027345311107449012,2,0,-0.07683611645250567,0.16666666666666666,0.7681159420289856
proprietary_v5,5,fixed_3y,23,-0.19004811580828648,-0.08519784183158402,11,0,-0.043662565722020284,0.2833333333333333,0.6782608695652174
proprietary_v5,5,hold_forever,23,-0.12646991649710126,-0.01192507703005782,1,0,0.019915633589164934,0.3,0.7905797101449276
proprietary_v5,10,fixed_3y,23,-0.1596717283653932,-0.086008855871107,12,0,-0.013286178279126877,0.3416666666666667,0.6905797101449275
proprietary_v5,10,hold_forever,23,-0.0933236707468391,-0.008634183858043055,0,0,0.05306187933942723,0.43333333333333335,0.7996376811594202
proprietary_v6,1,fixed_3y,23,-0.25016753912754575,-0.1068305162991375,12,0,-0.10453733978574173,0.18181818181818182,0.5876152832674572
proprietary_v6,1,hold_forever,23,-0.2478745370085788,0.0028612405078506918,2,0,-0.10224433766677478,0.08333333333333333,0.6963109354413702
proprietary_v6,5,fixed_3y,23,-0.12651508374807444,-0.08161028551881777,10,0,-0.008944314376834381,0.2711864406779661,0.6477578207159689
proprietary_v6,5,hold_forever,23,-0.11180502819111762,0.00819211974733062,1,0,0.03871092386426253,0.26666666666666666,0.7601027813852962
proprietary_v6,10,fixed_3y,23,-0.12382392697173783,-0.08019766114204821,8,0,-0.01713272177153009,0.3389830508474576,0.6846069412641577
proprietary_v6,10,hold_forever,23,-0.08451129208503172,0.004848084169191456,0,0,0.023650022359352464,0.288135593220339,0.7877328702326775
proprietary_v7,1,fixed_3y,23,-0.29097597162849226,-0.10255929350655757,14,0,-0.14459042154222593,0.08333333333333333,0.6304347826086957
proprietary_v7,1,hold_forever,23,-0.21122149923113803,0.006647436934129669,4,1,-0.06483594914487169,0.16666666666666666,0.6811594202898551
proprietary_v7,5,fixed_3y,23,-0.16736174474051,-0.08351984688676252,12,0,-0.06025526334346446,0.15,0.6471014492753623
proprietary_v7,5,hold_forever,23,-0.12427410561968985,0.012245151847646477,2,0,-0.01716762422264431,0.36666666666666664,0.7563691838291381
proprietary_v7,10,fixed_3y,23,-0.1648302701631426,-0.08236234589414367,13,0,-0.05772378876609703,0.14166666666666666,0.6708074534161491
proprietary_v7,10,hold_forever,23,-0.1359261088170121,0.008978608170532252,1,0,-0.02881962741996651,0.3333333333333333,0.7763457556935818
proprietary_v8,1,fixed_3y,23,-0.3472831764751546,-0.10698530354954004,12,0,-0.23019021658183736,0.08333333333333333,0.6376811594202898
proprietary_v8,1,hold_forever,23,-0.3472831764751546,-0.035472945387896096,4,0,-0.23019021658183736,0.08333333333333333,0.6956521739130435
proprietary_v8,5,fixed_3y,23,-0.178848290934571,-0.09681023525751355,13,0,-0.07174180953752544,0.26666666666666666,0.6289855072463768
proprietary_v8,5,hold_forever,23,-0.20515898189356407,-0.02453551714803737,3,0,-0.05838290060887528,0.26666666666666666,0.7217391304347827
proprietary_v8,10,fixed_3y,23,-0.17419607270506032,-0.09177994749289801,12,0,-0.06708959130801476,0.25,0.6597826086956522
proprietary_v8,10,hold_forever,23,-0.15845145634207697,-0.015289823362728983,2,0,-0.04423769630427482,0.275,0.7485507246376811
pullback_in_winner,1,fixed_3y,23,-0.23998363054656108,0.12000514580342451,9,5,-0.09359808046029473,0.08333333333333333,0.4818840579710145
pullback_in_winner,1,hold_forever,23,-0.2997772515581252,0.19773858025939756,3,5,-0.15339170147185888,0.08333333333333333,0.644927536231884
pullback_in_winner,5,fixed_3y,23,-0.14586194816423914,0.05146309794351069,4,4,-0.038755466767193596,0.2,0.5898550724637681
pullback_in_winner,5,hold_forever,23,-0.15679314103157135,0.1414446007894598,1,4,-0.04968665963452581,0.25,0.7333333333333334
pullback_in_winner,10,fixed_3y,23,-0.14381823300578728,0.015320037196581104,4,1,-0.0367117516087417,0.275,0.6123188405797102
pullback_in_winner,10,hold_forever,23,-0.14701546791395487,0.10575207078653455,1,2,-0.03990898651690929,0.2916666666666667,0.7391304347826086
quality_pullback,1,fixed_3y,23,-0.3394594317739703,0.16828917764117335,6,6,-0.22236647188065306,0.08333333333333333,0.5
quality_pullback,1,hold_forever,23,-0.3394594317739703,0.2098970544722747,3,6,-0.22236647188065306,0.0,0.6268115942028986
quality_pullback,5,fixed_3y,23,-0.20301256739263585,0.06539539052735531,6,6,-0.0859196074993187,0.25,0.6130434782608696
quality_pullback,5,hold_forever,23,-0.20301256739263585,0.1361840509698738,2,6,-0.0859196074993187,0.31666666666666665,0.739855072463768
quality_pullback,10,fixed_3y,23,-0.14389471179232283,0.03366639838527684,4,3,-0.036788230395277254,0.25,0.6380434782608696
quality_pullback,10,hold_forever,23,-0.15851000083121203,0.10551486820791202,1,3,-0.05140351943416646,0.25,0.7583333333333333
winner_only,1,fixed_3y,23,-0.2955825494563637,-0.09301592140993462,11,0,-0.12813924590732617,0.0,0.6702898550724637
winner_only,1,hold_forever,23,-0.2999117438392874,-0.04612939823439631,6,0,-0.12813924590732617,0.0,0.7608695652173914
winner_only,5,fixed_3y,23,-0.19834600218611853,-0.09796593960466157,12,0,-0.08125304229280142,0.11666666666666667,0.7181159420289854
winner_only,5,hold_forever,23,-0.19834600218611853,-0.03123642716736382,2,0,-0.08125304229280142,0.31666666666666665,0.827536231884058
winner_only,10,fixed_3y,23,-0.12028140315807652,-0.09396707811688042,12,0,-0.01535061616401049,0.20833333333333334,0.7257246376811594
winner_only,10,hold_forever,23,-0.11520411124059682,-0.027094000411850866,2,0,0.001888848652720464,0.43333333333333335,0.8217391304347825
