strategy,top_k,exit,n_years,min_year_edge,mean_year_edge,n_bad_years,n_great_years,min_year_cagr,min_year_win,mean_year_win
blended_pullback_momentum,1,fixed_3y,23,-0.2257042759585193,0.12878311340785678,8,5,-0.07931872587225297,0.08333333333333333,0.4782608695652174
blended_pullback_momentum,1,hold_forever,23,-0.2603943753153463,0.20405420838133312,3,5,-0.11400882522908,0.16666666666666666,0.6485507246376812
blended_pullback_momentum,5,fixed_3y,23,-0.11612822639749196,0.061125366587495525,2,4,-0.012269905638799691,0.16666666666666666,0.572463768115942
blended_pullback_momentum,5,hold_forever,23,-0.05155257634215878,0.15286312974409536,0,4,0.055553905054886756,0.43333333333333335,0.7239130434782608
blended_pullback_momentum,10,fixed_3y,23,-0.11663347813497696,0.026752771615953512,4,3,-0.012268253902352842,0.23333333333333334,0.6028985507246377
blended_pullback_momentum,10,hold_forever,23,-0.056480977937509086,0.12217797298695633,0,3,0.050625503459536494,0.375,0.7329710144927537
dual_momentum,1,fixed_3y,23,-0.2070545133763462,-0.0352549917905038,10,2,-0.06027843209165722,0.16666666666666666,0.5253623188405797
dual_momentum,1,hold_forever,23,-0.19137525763765809,0.05045645150126764,3,2,-0.044989707551391755,0.25,0.7210144927536232
dual_momentum,5,fixed_3y,23,-0.14081870771543195,-0.029151886023451735,7,2,-0.013923375126714438,0.21666666666666667,0.5782608695652174
dual_momentum,5,hold_forever,23,-0.06147052901000635,0.07890407120247005,0,2,0.04621054631072137,0.36666666666666664,0.731159420289855
dual_momentum,10,fixed_3y,23,-0.12959158699760598,-0.037766401005530324,8,2,-0.007050770787406403,0.2833333333333333,0.5887681159420289
dual_momentum,10,hold_forever,23,-0.0446720451756257,0.07404414026971863,0,2,0.07893466356851252,0.4,0.7532608695652173
explosive_winners,1,fixed_3y,23,-0.27762958567085005,-0.06119778403560078,11,1,-0.1312440355845837,0.08333333333333333,0.5978260869565217
explosive_winners,1,hold_forever,23,-0.31440007004301695,0.037789068831301356,3,1,-0.1680145199567506,0.08333333333333333,0.7210144927536232
explosive_winners,5,fixed_3y,23,-0.11980624783230108,-0.06289016810171524,8,0,-0.0074108904745846535,0.26666666666666666,0.6326086956521738
explosive_winners,5,hold_forever,23,-0.10036628497946956,0.042900973686831746,1,0,0.02706181366901458,0.35,0.767391304347826
explosive_winners,10,fixed_3y,23,-0.1183856714244334,-0.06361181471307022,7,0,-0.007763937978656007,0.2,0.6471014492753623
explosive_winners,10,hold_forever,23,-0.05718291592868075,0.03743604476335737,0,0,0.04992356546836483,0.425,0.7811594202898552
low_vol_trend,1,fixed_3y,23,-0.15926698876132722,-0.08806784483002791,11,0,-0.019149849643726558,0.0,0.7028985507246377
low_vol_trend,1,hold_forever,23,-0.16749968115282193,-0.022191982791877996,3,0,0.004333193227236625,0.5,0.8333333333333334
low_vol_trend,5,fixed_3y,23,-0.16772450693616556,-0.09306298866015517,11,0,-0.019183300452467137,0.1,0.6963768115942028
low_vol_trend,5,hold_forever,23,-0.17700677064145545,-0.02943248440152487,1,0,-0.005173896261396715,0.4166666666666667,0.8086956521739131
low_vol_trend,10,fixed_3y,23,-0.12629375525429107,-0.09328738907283526,12,0,-0.021928531021666947,0.08333333333333333,0.7054347826086957
low_vol_trend,10,hold_forever,23,-0.09995135742418525,-0.026507186167606958,0,0,0.0361826307970851,0.4666666666666667,0.8192028985507247
min_dd_compounders,1,fixed_3y,23,-0.3729711840957378,-0.11013464643688892,12,0,-0.20113830971567928,0.0,0.717391304347826
min_dd_compounders,1,hold_forever,23,-0.37810311378657074,-0.03866098073116188,2,0,-0.20627023940651218,0.0,0.8333333333333334
min_dd_compounders,5,fixed_3y,23,-0.14572197530219969,-0.0956198276317826,13,0,-0.024468119078639012,0.23333333333333334,0.7288749692950135
min_dd_compounders,5,hold_forever,23,-0.15226273776697022,-0.02263377359373182,2,0,-0.00620251153611528,0.43333333333333335,0.8347826086956521
min_dd_compounders,10,fixed_3y,23,-0.13974817705609788,-0.09838892190095432,14,0,-0.022655217162780603,0.175,0.7143087060098318
min_dd_compounders,10,hold_forever,23,-0.13974817705609788,-0.030311673860733402,2,0,-0.022655217162780603,0.375,0.8167632148348979
proprietary_v1,1,fixed_3y,23,-0.2130448361092308,-0.10043188511524656,11,0,-0.09595187621591354,0.0,0.6920289855072463
proprietary_v1,1,hold_forever,23,-0.2130448361092308,-0.016338969807772174,3,0,-0.09595187621591354,0.3333333333333333,0.7898550724637682
