year,n_picks,win_rate,median_ret,cagr_dca,cagr_dca_spy,edge
1997,60,0.8166666666666667,3.5799127129473125,0.09730146966773161,0.09612204641607712,0.0011794232516544878
1998,60,0.6666666666666666,0.8615883146923463,0.07185735175010753,0.09052930755914264,-0.018671955809035107
1999,60,0.6333333333333333,0.5009114258074692,0.13537302284554614,0.08528868640595966,0.050084336439586485
2000,60,0.6,0.2288705482022011,0.06626199698587575,0.08509787181620569,-0.018835874830329946
2001,55,0.8181818181818182,1.3061090635659558,0.09243877582423272,0.09649396407066003,-0.00405518824642731
2002,55,0.9818181818181818,7.505658066873037,0.19444576061064622,0.10765450623698333,0.08679125437366289
2003,60,0.95,15.214245539432067,0.1828455275868773,0.11352667202246028,0.06931885556441703
2004,60,0.9166666666666666,7.451548363963997,0.1875054109586296,0.10975887055240749,0.07774654040622211
2005,60,0.8166666666666667,5.146578000692619,0.1986153798865876,0.11107158064352837,0.08754379924305922
2006,60,0.9166666666666666,3.4427367951516965,0.14414694455002397,0.11109697374482916,0.03304997080519481
2007,60,0.7166666666666667,2.9418127172151878,0.10129226099390476,0.1094929029047344,-0.008200641910829642
2008,60,0.8333333333333334,3.4566441165269817,0.15210467216496437,0.1285531844611517,0.023551487703812685
2009,55,0.7454545454545455,2.2395330518873116,0.11374525149682593,0.14979406388106833,-0.0360488123842424
2010,60,0.7833333333333333,4.6201924356214565,0.22954916612722973,0.1462167482262317,0.08333241790099802
2011,60,0.8666666666666667,3.611294465634821,0.22779950063085325,0.14557023237520642,0.08222926825564683
2012,60,0.9166666666666666,3.3019416859763306,0.2069818716465177,0.14843687727438928,0.05854499437212843
2013,60,0.8166666666666667,2.878343568728621,0.20337373668926748,0.14352484037387903,0.05984889631538845
2014,60,0.6833333333333333,0.9889178713452363,0.2088662898302879,0.13843662071843246,0.07042966911185544
2015,60,0.7333333333333333,1.3429623743883834,0.22958931932536591,0.1436670617817823,0.08592225754358362
2016,60,0.6333333333333333,0.23572574728464424,0.1298213088532217,0.15410795966263788,-0.024286650809416166
2017,60,0.65,0.9106682020247484,0.2629502587863776,0.1496714947750654,0.11327876401131223
2018,60,0.4666666666666667,-0.16546796559170224,0.20180981064014242,0.15190549533055803,0.04990431530958439
2019,60,0.48333333333333334,-0.04693228554292378,0.1270775512450994,0.16092397841124925,-0.033846427166149856
2020,60,0.38333333333333336,-0.6226336745434732,0.10954670469016126,0.1703530419314159,-0.06080633724125464
2021,60,0.38333333333333336,-0.4827100307743128,0.04621513629527918,0.1351238143235459,-0.08890867802826671
2022,55,0.5636363636363636,0.45038108554771084,0.47622475334777753,0.17887858625879471,0.2973461670889828
2023,60,0.5333333333333333,0.21779598681806323,0.5683111834531174,0.2228661947527313,0.3454449887003861
2024,60,0.6166666666666667,0.31994255850409326,0.5443525047567563,0.19347161713314331,0.350880887623613
