key,n_splits_in_train_top10,n_splits,mean_test_cagr,median_test_cagr,min_test_cagr,max_test_cagr,mean_test_edge,min_test_edge,mean_test_win
explosive_winners::1,5,10,0.2657022493095129,0.20174624425924242,0.1258877085869477,0.7452719086890921,0.10638483091996331,-0.027356468350507812,0.676140873015873
explosive_winners_amped::1,5,10,0.26327526395807943,0.19994109018374664,0.12431342949170586,0.7479349835942526,0.10395784556852986,-0.028930747445749652,0.6770337301587301
best_of_top4::1,0,10,0.2613058852087638,0.1918497466375587,0.08931442539974667,0.7342492623538192,0.10198846681921418,-0.06392975153770884,0.623263888888889
strategy_rotation::3,6,10,0.2568706060862779,0.21956182074153982,0.15611185092807708,0.5640094418164383,0.09797668343855062,0.012409299934475398,0.5782347356328387
strategy_rotation::5,9,10,0.2548704101672816,0.21487603636524277,0.17515078202061082,0.5613285217154752,0.09597648751955438,0.03441514416245836,0.6153632310396602
pullback_in_winner::3,2,10,0.24770725748087594,0.21802295798499477,0.14630143184130243,0.562938176464811,0.08838983909132639,0.004751468792664554,0.5740575396825397
explosive_winners_amped::3,3,10,0.24402535927867824,0.20581751789494318,0.12894663189669042,0.5539493393301355,0.08470794088912868,-0.033460599346785386,0.6771825396825397
explosive_winners::3,6,10,0.24379930688840937,0.20759794985357113,0.1195398058494442,0.5591110169139637,0.0844818884988598,-0.042867425394031614,0.6744708994708994
blended_pullback_momentum::3,2,10,0.24337870792294689,0.21559260402040467,0.14371414424964604,0.5588273681989802,0.0840612895333973,-0.0006904142318020778,0.5748842592592592
strategy_rotation::1,1,10,0.23890246325675735,0.16422582819410703,0.10979863390418572,0.5119030727748907,0.08000854060903011,-0.04344554303326979,0.5674713290853383
quality_pullback::1,2,10,0.2342618574770215,0.20704891040442147,0.11449301820442523,0.4655863965370643,0.07494443908747186,-0.03875115873303028,0.5305555555555556
best_of_top4::3,0,10,0.23018859136219216,0.2028963750172211,0.15266891292509635,0.39403883879936596,0.07087117297264259,0.011118949876458478,0.6159887566137566
blended_pullback_momentum::5,2,10,0.22871723981508446,0.2029394107156122,0.16019373261983544,0.4687676474348743,0.0693998214255349,0.0069495556823799265,0.6016071428571428
pullback_in_winner::5,4,10,0.2283107430076697,0.20833388123998217,0.16736372847792283,0.4269384122288201,0.0689933246181201,0.014119551540467318,0.5885317460317461
explosive_winners::5,1,10,0.2269634612848205,0.19800612986812005,0.09970454768025848,0.5397403284491499,0.0676460428952709,-0.06270268356321727,0.6656051587301588
explosive_winners_amped::5,1,10,0.22660104760492583,0.20154612295973567,0.09126202204721946,0.5381595384033758,0.06728362921537626,-0.07114520919625629,0.6649801587301587
best_of_top4::5,2,10,0.2234818131474039,0.20600783540661913,0.15551479709895424,0.3683612845329796,0.06416439475785432,0.013964834050316371,0.6157837301587301
quality_pullback::5,7,10,0.22261212113557177,0.20519161162773297,0.14615181449009945,0.40567070835007546,0.06329470274602218,0.004173130462789415,0.5960714285714286
quality_pullback::3,6,10,0.21950554486114987,0.2061294745475501,0.14819865236008406,0.3391673767014238,0.06018812647160028,0.006648689311446188,0.5702876984126984
grand_ensemble::1,9,10,0.21754622525303677,0.20879669093211248,0.024369745347629788,0.47100151409605134,0.05822880686348715,-0.13803748589584594,0.7080357142857142
pullback_in_winner::1,3,10,0.21588676957684422,0.1766286798241954,0.11093044466406995,0.45505292644539386,0.05656935118729463,-0.04231373227338556,0.5284722222222222
blended_pullback_momentum::1,4,10,0.21588676957684422,0.1766286798241954,0.11093044466406995,0.45505292644539386,0.05656935118729463,-0.04231373227338556,0.5284722222222222
quality_pullback_amped::3,1,10,0.19852534852014658,0.1814992463817168,0.14089927580264114,0.3029572790590494,0.03920793013059702,-0.022268861558829928,0.6090112433862434
diamond_ensemble::5,1,10,0.19055410870726197,0.178025528716187,0.06736019005213277,0.42914761459562395,0.031236690317712385,-0.09504704119134298,0.6675198412698412
quality_pullback_amped::1,8,10,0.18953934814529297,0.20381211701216992,0.06569469363685101,0.28735399246792137,0.030221929755743348,-0.09747344372462,0.5172123015873016
diamond_ensemble::1,7,10,0.18657439927738448,0.1964300786952436,-0.05248030434270079,0.44270002889789467,0.027256980887834868,-0.21488753558617651,0.6306051587301587
grand_ensemble::3,1,10,0.18494516853663645,0.1809956813625447,0.0491748469775015,0.38156898326560523,0.025627750147086882,-0.11323238426597432,0.7110615079365079
grand_ensemble::5,0,10,0.18475001806345598,0.18019413936233458,0.06499344229088846,0.4154908279619948,0.025432599673906396,-0.09741378895258729,0.7082440476190477
quality_pullback_amped::5,0,10,0.18339902122044457,0.16608965428383615,0.13227685210835333,0.2926325379824439,0.024081602830895,-0.0308912852531176,0.6129166666666667
diamond_ensemble::3,2,10,0.18219674389958382,0.17538807912553164,0.05989561492085549,0.36099112558207663,0.022879325510034264,-0.10251161632262032,0.6616071428571428
