n_months,cagr,sharpe,sortino,max_dd,best_m,worst_m,positive_months,total_months,cash_months,sub_sharpes,sub_sharpe_min,wall_time_s,window,exp_name,K,hold,vol_target
248,0.1516934108076231,1.029241472251586,1.8944223013992045,-0.24839686913956777,0.13229627533706678,-0.1568373189072271,160,248,4,"[1.228941293305736, 1.135010215679026, 0.9015217143582002]",0.9015217143582002,0.23,research,qual_voltgt0.12_K10,10,6,0.12
248,0.16123321682127245,1.0232414860570953,1.9531456417044506,-0.2497138847327463,0.18199609663173166,-0.13528994145303402,155,248,4,"[1.3800385686836052, 1.1127963341485254, 0.8416948236901833]",0.8416948236901833,0.2,research,qual_voltgt0.12_K5,5,6,0.12
248,0.13233684642324062,1.0170228435277646,1.9050170661250092,-0.25058238254715537,0.11015496112799901,-0.12799687910855498,166,248,4,"[1.1584990844345469, 1.9312694910244452, 0.45575821388406995]",0.45575821388406995,0.25,research,invqK7,7,6,
248,0.14992692833456145,1.0059002804391532,1.9274579322485166,-0.2406498522958745,0.18101753378070556,-0.12136772389833317,155,248,4,"[1.3541700156033754, 1.0735689650719558, 0.8486807084403203]",0.8486807084403203,0.2,research,qual_voltgt0.10_K5,5,6,0.1
248,0.3930369518075769,1.0043575250317858,2.596151581816838,-0.4359583468870464,0.7829904610708289,-0.3123220471501253,158,248,4,"[0.9416040990864395, 1.555487832548696, 0.9794418513521946]",0.9416040990864395,0.19,,invvol_port_K3_vc1.0_vtNone,3,6,
248,0.1354809824356069,0.9972691216630605,1.7833332707481153,-0.24166294965540286,0.12832472882325993,-0.12125867143306145,165,248,4,"[1.105558570863963, 1.1991135997576159, 0.8419700550860595]",0.8419700550860595,0.34,,invvol_port_K15_vc0.5_vt0.12,15,6,0.12
248,0.15809071457820645,0.9967220335795911,1.7678847846795747,-0.27319178151249374,0.13432762153332178,-0.14970080367176297,166,248,4,"[1.022292746955452, 1.3603089500737506, 0.8109199817258215]",0.8109199817258215,0.32,,invvol_port_K15_vc0.5_vtNone,15,6,
248,0.19429863382522372,0.9871646048094712,1.8143762744535306,-0.35264170082925234,0.18519582149500727,-0.17323482550831415,155,248,4,"[1.2667290996211145, 1.256824917839993, 0.7757827265164344]",0.7757827265164344,0.19,research,qualK5,5,6,
248,0.13197647518999034,0.9705367612527934,1.6890533761073967,-0.2682307088046605,0.1176540368799131,-0.1332767872219726,167,248,4,"[1.2457231214825828, 1.7292064520720845, 0.48028654549032357]",0.48028654549032357,0.22,research,invvol_w0.50,3,6,
248,0.16453878960743218,0.9698103257825282,1.6912771058644733,-0.3065770661069458,0.14422386478713725,-0.16421702583010162,160,248,4,"[1.0278421884646771, 1.3203263189469827, 0.8002596702107377]",0.8002596702107377,0.27,research,qualK15,15,6,
248,0.12364185807029449,0.9535944824883757,1.7603249868449597,-0.2775787764271676,0.11006979811591147,-0.10524389540276478,162,248,4,"[1.0973213147005678, 1.6338554724965488, 0.5184380324085743]",0.5184380324085743,0.31,research,invqK15,15,6,
248,0.4077830824086164,0.9528969959301917,2.6118827760163783,-0.49828619285029263,0.8495509234283266,-0.3357942381205953,155,248,4,"[0.9320930238993381, 1.1660459709382425, 1.0168407401888244]",0.9320930238993381,0.18,research,baseline,3,6,
248,0.20734851872104643,0.9493435263874551,1.7831629326264096,-0.4608042178605427,0.21355060990211505,-0.23856350934197562,146,248,12,"[1.057262920827579, 1.2871962000134933, 0.6729361866082952]",0.6729361866082952,0.65,research,qualH1,3,1,
248,0.12146009505573496,0.9482839074099189,1.7433007430910958,-0.28423907679229404,0.116829597270328,-0.10914861611302129,160,248,4,"[1.087018493880102, 1.60709439090865, 0.5113835518301705]",0.5113835518301705,0.3,research,invqK10,10,6,
248,0.12776804636423167,0.9431700929774726,1.682180418704443,-0.25678120962182577,0.11171919517155526,-0.148698235330018,164,248,4,"[0.9721986831740291, 1.8907312440382522, 0.4700003641201979]",0.4700003641201979,0.25,research,invqK5,5,6,
248,0.22246531898373223,0.9424918586140213,1.7118850685789044,-0.6134190624826594,0.19831164336218912,-0.2734115553050809,155,248,1,"[0.7028929738643904, 1.3954936292705498, 0.9105594917149946]",0.7028929738643904,0.14,research,qualH9,3,9,
248,0.2049640062778506,0.9351906379904082,1.6985062249643341,-0.40968239693329095,0.19831164336218912,-0.24199304375691985,158,248,4,"[0.9894262438952378, 1.2972807604695795, 0.790546938137595]",0.790546938137595,0.2,research,qualvol0.50_qf0.40,3,6,
248,0.1633788928476494,0.931557258322973,1.6281226367333617,-0.31679841784188484,0.14820476504294133,-0.18155533022407247,157,248,4,"[0.9703747250745984, 1.1722712278479355, 0.827767598175296]",0.827767598175296,0.23,,invvol_port_K5_vc0.45_vtNone,5,6,
248,0.15453861467069907,0.9303578138914997,1.6064298493454263,-0.2973151335906641,0.1553120946125779,-0.17729153231461708,158,248,4,"[1.05352532225373, 1.2652023910801953, 0.7162522954496074]",0.7162522954496074,0.28,research,qualK20,20,6,
248,0.2541350163968932,0.9302675826587044,2.2249558701248904,-0.512241068314274,0.7332533123468217,-0.27185543628711284,155,248,4,"[0.7626661770542877, 1.265331299833324, 0.9547112546550268]",0.7626661770542877,0.17,research,voltgt0.15,3,6,0.15
248,0.2415995470388539,0.9257624264311826,2.326797474507031,-0.4742563835625151,0.7414182996511071,-0.2387172426873405,155,248,4,"[0.7861773736867004, 1.2841695388887884, 0.9199796661650235]",0.7861773736867004,0.17,research,voltgt0.12,3,6,0.12
248,0.2315233542118098,0.9227751445355756,2.4197446089700714,-0.4428924288863738,0.7458740722136112,-0.21597187132338547,155,248,4,"[0.7991364572784063, 1.3069182653399398, 0.9047781902647618]",0.7991364572784063,0.17,research,voltgt0.10,3,6,0.1
248,0.25918075107962424,0.9168017271225759,2.0865506498207713,-0.5467843197647981,0.7270469662258556,-0.30020447263761074,155,248,4,"[0.7231665988318945, 1.23077048971647, 0.9751620828658707]",0.7231665988318945,0.17,research,voltgt0.18,3,6,0.18
248,0.21889350439351118,0.9106806579309709,2.5010050728942876,-0.40158484013731643,0.7533341143025597,-0.19609096020389766,155,248,4,"[0.8175497082037608, 1.3410440847050917, 0.870180773492401]",0.8175497082037608,0.17,research,voltgt0.08,3,6,0.08
248,0.21827237771710783,0.9082751871917679,1.80113216938655,-0.3958907408164375,0.30614155996978437,-0.2137480300034965,150,248,4,"[0.8493220389310868, 1.0909087693690112, 0.9255073897303162]",0.8493220389310868,0.18,research,qualvol0.60,3,6,
248,0.2035603969961126,0.9080184480268123,1.6647827335909406,-0.4444228745413547,0.21034608194163945,-0.23703388123101796,150,248,9,"[1.1478625108727227, 1.2729817385567705, 0.5198487794342608]",0.5198487794342608,0.37,research,qualH2,3,2,
248,0.21184828381235832,0.9062024949040869,1.7512619204877484,-0.5067093810237652,0.23577572457595608,-0.16686217994287958,153,248,4,"[1.001271940948577, 1.3733053735038165, 0.649395807016927]",0.649395807016927,0.13,research,qualH12,3,12,
248,0.16250716678160093,0.8901717182725972,1.5407447084860917,-0.32217743782129055,0.16408079575729279,-0.17532028315400422,159,248,4,"[0.9079770398145813, 1.1783231882216771, 0.8387978527234481]",0.8387978527234481,0.23,,invvol_port_K5_vc0.5_vtNone,5,6,
248,0.20147503448557047,0.888470823361275,1.602040024905735,-0.3962424247527266,0.21034608194163945,-0.2734115553050809,154,248,4,"[0.9165911456476501, 1.0988812844214415, 0.8564627924249087]",0.8564627924249087,0.17,research,qualK3,3,6,
248,0.20147503448557047,0.888470823361275,1.602040024905735,-0.3962424247527266,0.21034608194163945,-0.2734115553050809,154,248,4,"[0.9165911456476501, 1.0988812844214415, 0.8564627924249087]",0.8564627924249087,0.17,research,qualH6,3,6,
248,0.20147503448557047,0.888470823361275,1.602040024905735,-0.3962424247527266,0.21034608194163945,-0.2734115553050809,154,248,4,"[0.9165911456476501, 1.0988812844214415, 0.8564627924249087]",0.8564627924249087,0.18,research,qualvol0.50,3,6,
248,0.14437220125103822,0.8771676796693803,1.660628133588404,-0.3866571949304592,0.37318442284326403,-0.18121558373527413,161,248,4,"[0.6504065336497288, 1.8871985837341596, 0.577196427041051]",0.577196427041051,0.21,research,invvol_w0.25,3,6,
248,0.22641368352214752,0.871974885670151,1.609168529721918,-0.4514527282997084,0.2946902012456766,-0.33012874738552966,150,248,4,"[0.7249693460138826, 1.3590553754015835, 0.8068406192949793]",0.7249693460138826,0.17,research,qualK2,2,6,
248,0.15689475466686642,0.870129243537369,1.6238124865666566,-0.2992671302601414,0.21001833059495925,-0.17431085478289718,154,248,4,"[0.935831065826665, 0.9523692842107204, 0.8989272786109432]",0.8989272786109432,0.18,research,qual_voltgt0.12_K3,3,6,0.12
248,0.12258365709070818,0.8629639045551254,1.4250769551615876,-0.3079278927918576,0.11528847001366191,-0.177955488681286,157,248,4,"[0.9591247332299786, 1.128495327421521, 0.7052158448226845]",0.7052158448226845,0.24,,invvol_port_K5_vc0.45_vt0.1,5,6,0.1
248,0.16262593093447197,0.8557267740436525,1.5231128441976949,-0.3714446392330954,0.1602109367222878,-0.22038037907928024,154,248,4,"[1.021471197444237, 1.5264198294493996, 0.4248579674595809]",0.4248579674595809,0.18,research,qualvol0.40,3,6,
248,0.20841963125143703,0.8540295770437951,1.6677380787578187,-0.5328494238760189,0.4104257813246879,-0.23705136778692226,153,248,4,"[0.757847452317029, 1.049425934187264, 0.9149280526904023]",0.757847452317029,0.19,research,qualvol0.55,3,6,
248,0.18805021511534603,0.847751033444177,1.5055459275135337,-0.44265846215231297,0.19831164336218912,-0.2734115553050809,152,248,4,"[0.9165911456476501, 1.0988812844214415, 0.7486718016112293]",0.7486718016112293,0.2,research,qualvol0.50_qf0.30,3,6,
248,0.1450355589838639,0.8446398275155005,1.5704615796252654,-0.29738002764184557,0.19831164336218912,-0.1714633899261693,154,248,4,"[0.8834211741865987, 0.9255278699914254, 0.8991348201895157]",0.8834211741865987,0.2,research,qual_voltgt0.10_K3,3,6,0.1
248,0.12832233547914096,0.8287686340164306,1.4765511037142167,-0.31929729881441576,0.1895670574203238,-0.20153539572717,152,248,4,"[0.7800601937715865, 0.9395285604780732, 0.8739227695765267]",0.7800601937715865,0.23,,invvol_port_K3_vc0.5_vt0.1,3,6,0.1
248,0.19539772934213606,0.8192026751164672,1.5805771890723812,-0.5328494238760189,0.4104257813246879,-0.24199304375691985,151,248,4,"[0.757847452317029, 1.049425934187264, 0.8189295756724615]",0.757847452317029,0.2,research,qualvol0.55_qf0.30,3,6,
248,0.13340267780868853,0.8084556455984601,1.5244431339909463,-0.4787280115445856,0.37318442284326403,-0.18121558373527413,157,248,4,"[0.5159029253406887, 1.5917376583849379, 0.6739634569754257]",0.5159029253406887,0.21,research,invvol_w0.15,3,6,
248,0.15763697941520038,0.7907921228935123,1.3545529430186498,-0.40721824055023753,0.18986182873733393,-0.20943933515966298,152,248,4,"[0.7388392742531418, 1.0785739559840828, 0.7513416668263609]",0.7388392742531418,0.22,,invvol_port_K3_vc0.5_vtNone,3,6,
248,0.16743936586692043,0.7896100161299036,1.476085823420578,-0.47917852290954244,0.21355060990211505,-0.23703388123101796,146,248,5,"[1.3811760683967567, 0.8286972080073076, 0.41341722326574903]",0.41341722326574903,0.27,research,qualH3,3,3,
248,0.14423311035055386,0.7455266190075208,1.2589210855437982,-0.41871443791888363,0.17846397497482913,-0.25954570698333246,154,248,4,"[0.7609771569549565, 1.2807763587956154, 0.48465690310583615]",0.48465690310583615,0.2,research,qualvol0.45_qf0.40,3,6,
248,0.12629789238253264,0.7444636950470156,1.2814380241338308,-0.391427209518726,0.13790395625895843,-0.21530154747514554,149,248,4,"[0.6979500021435846, 1.3829972120492637, 0.34266190980497274]",0.34266190980497274,0.18,research,qualvol0.35,3,6,
248,0.12852457527101957,0.6669171072910207,1.1572807105897407,-0.5063471028599941,0.21034608194163945,-0.24105940762370381,148,248,4,"[0.6642974291337224, 1.110783140918283, 0.5600753664166456]",0.5600753664166456,0.18,research,qualvol0.45,3,6,
248,0.12469100601624383,0.6537845260452863,1.11107364845243,-0.4195926640669447,0.17846397497482913,-0.25954570698333246,146,248,4,"[0.7642997647979137, 1.110783140918283, 0.43750080303833516]",0.43750080303833516,0.2,research,qualvol0.45_qf0.30,3,6,
