n_months,cagr,sharpe,sortino,max_dd,best_m,worst_m,positive_months,total_months,cash_months,sub_sharpes,sub_sharpe_min,wall_time_s,window,exp_name,K,hold,vol_target
248,0.16028141469388402,1.1089667080431715,2.0336095232003695,-0.22872953408415994,0.11623094758186303,-0.1511589092962156,162,248,4,"[1.370658142014237, 1.8871985837341596, 0.577196427041051]",0.577196427041051,0.24,research,qualinvvol_vc0.55,3,6,
248,0.15476681404406123,1.087890587100856,1.9843552543107954,-0.25335849955707557,0.12054328206955126,-0.1511589092962156,167,248,4,"[1.4534477506030081, 1.7644083714951306, 0.5646140000649758]",0.5646140000649758,0.21,research,invvol_w0.35,3,6,
248,0.17793297808164055,1.080569156049971,1.9765426030144224,-0.29231207522729774,0.1436552396892724,-0.1478726952116308,158,248,4,"[1.141638421436706, 1.3378981190124968, 0.9479724993440883]",0.9479724993440883,0.28,,invvol_port_K10_vc0.5_vtNone,10,6,
248,0.15298293405144814,1.0790828066666662,1.9297463766470748,-0.22872953408415989,0.11623094758186303,-0.1511589092962156,165,248,4,"[1.2763500430821404, 1.90910513474799, 0.577196427041051]",0.577196427041051,0.24,research,invqK3,3,6,
248,0.15298293405144814,1.0790828066666662,1.9297463766470748,-0.22872953408415989,0.11623094758186303,-0.1511589092962156,165,248,4,"[1.2763500430821404, 1.90910513474799, 0.577196427041051]",0.577196427041051,0.23,research,qualinvvol_vc0.50,3,6,
248,0.15363939143914718,1.078345444308381,1.9254759868240676,-0.22872953408416022,0.11623094758186303,-0.1511589092962156,164,248,4,"[1.1704398130412046, 2.016836898922319, 0.577196427041051]",0.577196427041051,0.23,research,qualinvvol_vc0.45,3,6,
248,0.16198399894041837,1.074111338298853,2.0548139152285696,-0.23734649656783385,0.15564291293163485,-0.12052162578310027,158,248,4,"[1.3062082028519666, 1.2648406808150516, 0.9116807517222186]",0.9116807517222186,0.21,research,qual_voltgt0.12_K7,7,6,0.12
248,0.1487161539087687,1.057102709826533,1.9420058380111003,-0.2327934571053299,0.1335112407914429,-0.13943715323738476,158,248,4,"[1.1697682003284322, 1.2103299171440542, 0.9508872029695077]",0.9508872029695077,0.32,,invvol_port_K10_vc0.5_vt0.12,10,6,0.12
248,0.18031181069715108,1.045669520764948,1.8814171354859575,-0.32724940898938093,0.15804961568860812,-0.16724402466501984,168,248,4,"[1.0010424260282325, 1.3317339364067033, 1.0095534395275436]",1.0010424260282325,0.25,,invvol_port_K7_vc0.5_vtNone,7,6,
248,0.19591082130768522,1.0446930544327946,1.9150086516993212,-0.3153053447117016,0.16558571649733747,-0.1645663726393234,159,248,4,"[1.2116154726730048, 1.3719321601080992, 0.8696684220303277]",0.8696684220303277,0.21,research,qualK7,7,6,
248,0.18871723233213689,1.033622296078306,1.881766132881594,-0.3358050502099266,0.16035830240662488,-0.17156993031103496,160,248,4,"[1.1975651123735447, 1.2706820784178234, 0.8774038196214609]",0.8774038196214609,0.22,research,qualK10,10,6,
