name,cagr,sharpe,max_dd,n_months,cash_months,final_equity
pred_K3_h6_ext,0.26807164266945627,0.8082778241441965,-0.4876500564178434,248,10,135.40613489965247
pred_12m_K3_h6_ext,0.2210147639674569,0.7672694038351706,-0.7972725675010914,248,10,61.97724240275025
pred_K1_h6_ext,0.3376846022800679,0.8355712723848145,-0.614934311013337,248,10,408.6113066351952
pred_K3_h1_ext,0.15142213803103566,0.5946104843197028,-0.8024045325867118,248,25,18.429542530034084
pred_K5_h6_ext,0.18275765421384937,0.6910982886946263,-0.5396120189569888,248,10,32.1005536931253
strict_gate_pred_K3_h6,0.22575788073612957,0.8274921760569303,-0.34948485004185637,244,52,
strict_gate_pred_K1_h6,0.2782778440670661,0.78875860582579,-0.5064196307002798,244,52,
strict_gate_pred_K3_h1,0.21006015256044375,0.8081108050461265,-0.6200739514190479,244,52,
pred12m_K1_h6,0.32788455747432677,0.8131286250902082,-0.7666724630336302,244,10,319.3447986203407
pred12m_K2_h6,0.30959267176517047,0.894632898811613,-0.5786625440408917,244,10,240.86302461583435
pred12m_K3_h6,0.2302802933679109,0.7889938670850967,-0.7972725675010914,244,10,67.62117400593164
pred12m_K5_h6,0.2460319231913728,0.8342983235846602,-0.6059939264103332,244,10,87.58433505481173
pred12m_K3_h1,0.22589012431498423,0.7960865981005312,-0.548820244288923,244,25,62.88032490462249
pred12m_K3_h3,0.24543053725686126,0.8317794070860701,-0.5727856823179062,244,13,86.72880720461305
monthly_K1_h1,0.39895845396520535,0.8908631434802182,-0.8225255818743962,244,25,921.929999834884
monthly_K2_h1,0.16390458127378493,0.6024456011139788,-0.896926589962275,244,25,21.89374279778131
monthly_K3_h1,0.15462165016257656,0.6012929516673627,-0.8024045325867118,244,25,18.60403573302514
monthly_K5_h1,0.13466717234895542,0.619557601682601,-0.6404979081518166,244,25,13.051466158219359
monthly_K7_h1,0.14404468306344254,0.7068782800105577,-0.5246773853266338,244,25,15.42910508952833
monthly_K10_h1,0.1433491462911718,0.7455293756779827,-0.4665209770602997,244,25,15.239488613016398
monthly_K15_h1,0.15304182394011945,0.8364414841568903,-0.44047228239882386,244,25,18.093235354785783
blend_pred_K3_h6,0.2811151778272132,0.8416629488527682,-0.45411495648498135,244,10,154.03742667209372
blend_pred_K1_h6,0.3358103436503612,0.7192699666884815,-0.7690270478031395,244,10,360.4217364998231
blend_pred_K3_h1,0.19390083344410614,0.7075804768699693,-0.6047352024362623,244,25,36.73002234676708
blend_pred_K5_h6,0.20280365984093063,0.7340336394645502,-0.5677893666375409,244,10,42.71952331374627
