ticker,FloorScore,pred_uw_frac_3m,pred_maxdd_3m,chr_trough_q30_3m,chr_drift_3m
AFL,6.128888746404982,0.38330904434179913,-0.05360177319983179,-0.012437473656362164,0.023223679619207127
MCD,5.670861045141245,0.4096070815997003,-0.04398771894868094,-0.019867065811151385,0.0147077904257511
HIG,5.532147399356728,0.4143508388322542,-0.03825253015815696,-0.030038368407439564,0.017309036352436635
L,5.523524486717539,0.41608701619809896,-0.04702595881445921,-0.025634475155959846,0.012171249331075717
KO,5.495426322185325,0.41327248687202134,-0.04403870555524057,-0.011667452182434035,0.03251018062341693
VICI,5.386898112737629,0.37945728713025656,-0.04834959610101906,-0.03838494407637549,0.0007942203753008581
SNA,5.377325898232864,0.41260043930866397,-0.04372391517933528,-0.00889320978739494,0.03945776596783834
RSG,5.213683195140534,0.40698917056747524,-0.049966815180696886,-0.04930721099720248,-0.016403464771254095
CMS,5.052264600788555,0.42597997944186916,-0.042079396919098774,-0.014183618135071852,0.027067004495645364
LNT,4.923002870874118,0.42586552921939247,-0.04254877560532067,-0.015196248624198883,0.026865615918077568
NI,4.752926565483448,0.44603064031361656,-0.04309089749215548,-0.014046634957095905,0.030891225397722488
VTR,4.7170621923413005,0.4131606114728118,-0.04854141316216044,-0.028341835822095596,0.032069489117487304
EA,4.604656560548468,0.3748295353978691,-0.0633302683728706,-0.09682091962634565,-0.06465475136626908
DTE,4.594050496213065,0.44178982770288105,-0.04209453951918252,-0.019063039907313617,0.02769056037386619
CINF,4.585956456878826,0.40987034873041656,-0.05663658111821507,-0.044235228783671254,0.0012321114235924746
CNP,4.564120402854135,0.44448688977538736,-0.04745547522784033,-0.012992508109958667,0.03152185198904456
PNW,4.488884613262951,0.42989826239049994,-0.04276841028736607,-0.044610353978033146,-0.0044588218846018934
TJX,4.48068524146251,0.4505029732505883,-0.04885161035435367,-0.014726722701766448,0.0341669065698873
SO,4.452224696852707,0.4368338047592452,-0.049866397174559485,-0.020178331030334173,0.0294475990714671
WELL,4.322521317726107,0.4082285906831515,-0.06512258218077148,-0.04991175657604319,0.010066292338130944
