asof,uw_frac_1m,ever_below_1m,end_below_1m,maxdd_1m,end_ret_1m,censored_1m,uw_frac_3m,ever_below_3m,end_below_3m,maxdd_3m,end_ret_3m,censored_3m,uw_frac_6m,ever_below_6m,end_below_6m,maxdd_6m,end_ret_6m,censored_6m,uw_frac_12m,ever_below_12m,end_below_12m,maxdd_12m,end_ret_12m,censored_12m
2003-01-31,0.9523809523809523,1,1,-0.046014714349585484,-0.02289113732171355,False,0.47619047619047616,1.0,0.0,-0.0643737863932714,0.07228230138247671,False,0.23809523809523808,1.0,0.0,-0.0643737863932714,0.16924040197070855,False,0.11904761904761904,1.0,0.0,-0.0643737863932714,0.348620061453665,False
2003-02-28,0.47619047619047616,1,0,-0.051590243301088745,0.002140008332191412,False,0.15873015873015872,1.0,0.0,-0.051590243301088745,0.13139842403809698,False,0.07936507936507936,1.0,0.0,-0.051590243301088745,0.18604685399237986,False,0.03968253968253968,1.0,0.0,-0.051590243301088745,0.39062870621540746,False
2003-03-31,0.0,0,0,0.015340861506778714,0.0869718208340482,False,0.0,0.0,0.0,0.015340861506778714,0.17013104513471777,False,0.0,0.0,0.0,0.015340861506778714,0.2238429380470226,False,0.0,0.0,0.0,0.015340861506778714,0.35027067101424403,False
2003-04-30,0.047619047619047616,1,0,-0.00010911334395424799,0.0381894172208197,False,0.015873015873015872,1.0,0.0,-0.00010911334395424799,0.09042217750234749,False,0.007936507936507936,1.0,0.0,-0.00010911334395424799,0.13286359743403886,False,0.003968253968253968,1.0,0.0,-0.00010911334395424799,0.2580293876918629,False
2003-05-30,0.0,0,0,0.004125942249648684,0.010651669073091341,False,0.015873015873015872,1.0,0.0,-0.0018734591842219928,0.03663505514296461,False,0.007936507936507936,1.0,0.0,-0.0018734591842219928,0.0972485158248022,False,0.003968253968253968,1.0,0.0,-0.0018734591842219928,0.14883536407412823,False
2003-06-30,0.0,0,0,0.0066577923016248874,0.018129636734029342,False,0.031746031746031744,1.0,0.0,-0.012393120835391902,0.031086280936940103,False,0.015873015873015872,1.0,0.0,-0.012393120835391902,0.13358270370342673,False,0.007936507936507936,1.0,0.0,-0.012393120835391902,0.18182367607926397,False
2003-07-31,0.42857142857142855,1,0,-0.029882059847162967,0.020625763951741538,False,0.14285714285714285,1.0,0.0,-0.029882059847162967,0.06090351581088527,False,0.07142857142857142,1.0,0.0,-0.029882059847162967,0.16120338144868573,False,0.03571428571428571,1.0,0.0,-0.029882059847162967,0.1267040206022041,False
2003-08-29,0.14285714285714285,1,1,-0.010906692758347214,-0.0012084772364027163,False,0.06349206349206349,1.0,0.0,-0.010906692758347214,0.05262504111108135,False,0.031746031746031744,1.0,0.0,-0.010906692758347214,0.13932742613661442,False,0.015873015873015872,1.0,0.0,-0.010906692758347214,0.09061602284256254,False
2003-09-30,0.0,0,0,0.021311133912966573,0.052326099296368334,False,0.0,0.0,0.0,0.021311133912966573,0.1027350942625398,False,0.0,0.0,0.0,0.021311133912966573,0.10508777283035786,False,0.0,0.0,0.0,0.021311133912966573,0.14546758432260853,False
2003-10-31,0.3333333333333333,1,0,-0.014434997383899306,0.021842548576618714,False,0.1111111111111111,1.0,0.0,-0.014434997383899306,0.08172509766647784,False,0.05555555555555555,1.0,0.0,-0.014434997383899306,0.09346470534240536,False,0.027777777777777776,1.0,0.0,-0.014434997383899306,0.06863538246777212,False
