name,cagr,sharpe,max_dd,n_months,cash_months,final_equity
v3_pred_K3_h6,0.2785773420225941,0.8289026804469638,-0.4876500564178434,244,10,147.95026471776572
pred_K3_h1,0.15462165016257656,0.6012929516673627,-0.8024045325867118,244,25,18.60403573302514
pred_K3_h2,0.08871501017708394,0.4321338334175314,-0.9033038598116871,244,19,5.631044364436594
pred_K3_h3,0.18673666932740773,0.6823021150333894,-0.8385921354333169,244,13,32.4991518172427
pred_K3_h4,0.11411428547510294,0.4729194547538345,-0.9264806973027296,244,14,8.999908742255602
pred_K3_h6,0.2785773420225941,0.8289026804469638,-0.4876500564178434,244,10,147.95026471776572
pred_K3_h9,0.24138283063490107,0.8009430130228508,-0.5075366878083332,244,5,81.17393514193125
pred_K3_h12,0.3312960600191519,1.0092794901960789,-0.394110298894063,244,10,336.44789575839195
pred_K1_h6,0.3571088466587964,0.8656431155578715,-0.614934311013337,244,10,497.16268534704625
pred_K2_h6,0.26483681956015115,0.7067008481103318,-0.6376163455209332,244,10,118.76855956304267
pred_K3_h6,0.2785773420225941,0.8289026804469638,-0.4876500564178434,244,10,147.95026471776572
pred_K5_h6,0.18773552190662968,0.7032981967948841,-0.5396120189569888,244,10,33.0598962381651
pred_K7_h6,0.1890406559860649,0.7626555820028659,-0.3850752602662565,244,10,33.80645682469985
pred_K10_h6,0.1897863084655098,0.8312536870267259,-0.34819604370622514,244,10,34.24015021435643
pred_K15_h6,0.1820356087677728,0.8775880017638126,-0.33930690164024024,244,10,29.97929277853624
pred_K20_h6,0.16388894105688578,0.8250415177915913,-0.3619710752158216,244,10,21.887761470408602
pred_1m_K3_h6,0.2264887503229609,0.8067055288265826,-0.3279116972209315,244,10,63.50762986788454
pred_3m_K3_h6,0.2463150247996606,0.7628261500886453,-0.47803035351223044,244,10,87.98984573681798
pred_6m_K3_h6,0.24864925697357831,0.741201085500822,-0.7583361850369948,244,10,91.40208074616453
pred_K3_h6,0.2785773420225941,0.8289026804469638,-0.4876500564178434,244,10,147.95026471776572
score_K3_h6,0.26451443615722314,0.7797513754094912,-0.47803035351223055,244,10,118.15454516385061
pred_12m_K3_h6,0.2302802933679109,0.7889938670850967,-0.7972725675010914,244,10,67.62117400593164
gbm_composite_K3_h6,0.25399683624443536,0.7648338418299533,-0.47803035351223044,244,10,99.6998020944183
gbm_composite_K5_h6,0.21329855475594406,0.7902128195968212,-0.3461370912255771,244,10,50.973309594198966
gbm_composite_K3_h6_ivw,0.22033731654542876,0.7358239026005855,-0.4456740778660143,244,10,57.335613623051664
pred_K3_h6_nogate,0.287513954308078,0.7638320115267763,-0.7825704596063039,244,0,170.46015365188904
