year,ret_pct
2005,18.2
2006,24.3
2007,-31.6
2008,-10.6
2009,187.8
2010,118.6
2011,-47.1
2012,10.1
2013,16.6
2014,13.3
2015,-9.2
2016,38.4
2017,30.6
2018,0.2
2019,28.9
2020,3.3
2021,74.8
2022,-24.0
2023,24.1
2024,36.6
