ticker,name,sector,asset_class,weight_pct
NVDA,NVIDIA CORP,Information Technology,Equity,8.17
AAPL,APPLE INC,Information Technology,Equity,6.7
MSFT,MICROSOFT CORP,Information Technology,Equity,4.96
AMZN,AMAZON.COM INC,Consumer Discretionary,Equity,4.21
GOOGL,ALPHABET INC CLASS A,Communication,Equity,3.68
AVGO,BROADCOM INC,Information Technology,Equity,3.11
GOOG,ALPHABET INC CLASS C,Communication,Equity,2.94
META,META PLATFORMS INC CLASS A,Communication,Equity,2.14
TSLA,TESLA INC,Consumer Discretionary,Equity,1.84
BRK-B,BERKSHIRE HATHAWAY INC CLASS B,Financials,Equity,1.38
JPM,JPMORGAN CHASE & CO,Financials,Equity,1.31
LLY,ELI LILLY,Health Care,Equity,1.23
MU,MICRON TECHNOLOGY INC,Information Technology,Equity,1.16
AMD,ADVANCED MICRO DEVICES INC,Information Technology,Equity,1.06
XOM,EXXON MOBIL CORP,Energy,Equity,0.97
WMT,WALMART INC,Consumer Staples,Equity,0.91
V,VISA INC CLASS A,Financials,Equity,0.86
JNJ,JOHNSON & JOHNSON,Health Care,Equity,0.85
INTC,INTEL CORPORATION CORP,Information Technology,Equity,0.82
COST,COSTCO WHOLESALE CORP,Consumer Staples,Equity,0.71
CAT,CATERPILLAR INC,Industrials,Equity,0.66
MA,MASTERCARD INC CLASS A,Financials,Equity,0.65
NFLX,NETFLIX INC,Communication,Equity,0.59
CSCO,CISCO SYSTEMS INC,Information Technology,Equity,0.58
ABBV,ABBVIE INC,Health Care,Equity,0.57
LRCX,LAM RESEARCH CORP,Information Technology,Equity,0.57
BAC,BANK OF AMERICA CORP,Financials,Equity,0.56
CVX,CHEVRON CORP,Energy,Equity,0.54
PG,PROCTER & GAMBLE,Consumer Staples,Equity,0.54
UNH,UNITEDHEALTH GROUP INC,Health Care,Equity,0.53
ORCL,ORACLE CORP,Information Technology,Equity,0.52
AMAT,APPLIED MATERIAL INC,Information Technology,Equity,0.52
HD,HOME DEPOT INC,Consumer Discretionary,Equity,0.51
GE,GE AEROSPACE,Industrials,Equity,0.5
PLTR,PALANTIR TECHNOLOGIES INC CLASS A,Information Technology,Equity,0.5
KO,COCA-COLA,Consumer Staples,Equity,0.48
GEV,GE VERNOVA INC,Industrials,Equity,0.45
MRK,MERCK & CO INC,Health Care,Equity,0.44
GS,GOLDMAN SACHS GROUP INC,Financials,Equity,0.44
PM,PHILIP MORRIS INTERNATIONAL INC,Consumer Staples,Equity,0.42
TXN,TEXAS INSTRUMENT INC,Information Technology,Equity,0.41
WFC,WELLS FARGO,Financials,Equity,0.39
RTX,RTX CORP,Industrials,Equity,0.38
KLAC,KLA CORP,Information Technology,Equity,0.37
LIN,LINDE PLC,Materials,Equity,0.37
MS,MORGAN STANLEY,Financials,Equity,0.36
C,CITIGROUP INC,Financials,Equity,0.36
PEP,PEPSICO INC,Consumer Staples,Equity,0.34
QCOM,QUALCOMM INC,Information Technology,Equity,0.34
IBM,INTERNATIONAL BUSINESS MACHINES CO,Information Technology,Equity,0.34
VZ,VERIZON COMMUNICATIONS INC,Communication,Equity,0.32
MCD,MCDONALDS CORP,Consumer Discretionary,Equity,0.32
ADI,ANALOG DEVICES INC,Information Technology,Equity,0.32
DIS,WALT DISNEY,Communication,Equity,0.31
NEE,NEXTERA ENERGY INC,Utilities,Equity,0.31
SNDK,SANDISK CORP,Information Technology,Equity,0.31
BA,BOEING,Industrials,Equity,0.29
CRM,SALESFORCE INC,Information Technology,Equity,0.28
AMGN,AMGEN INC,Health Care,Equity,0.28
T,AT&T INC,Communication,Equity,0.28
TMO,THERMO FISHER SCIENTIFIC INC,Health Care,Equity,0.28
STX,SEAGATE TECHNOLOGY HOLDINGS PLC,Information Technology,Equity,0.27
AXP,AMERICAN EXPRESS,Financials,Equity,0.27
APH,AMPHENOL CORP CLASS A,Information Technology,Equity,0.27
TJX,TJX INC,Consumer Discretionary,Equity,0.27
ISRG,INTUITIVE SURGICAL INC,Health Care,Equity,0.26
GILD,GILEAD SCIENCES INC,Health Care,Equity,0.26
ETN,EATON PLC,Industrials,Equity,0.25
UBER,UBER TECHNOLOGIES INC,Industrials,Equity,0.25
UNP,UNION PACIFIC CORP,Industrials,Equity,0.25
WDC,WESTERN DIGITAL CORP,Information Technology,Equity,0.25
PANW,PALO ALTO NETWORKS INC,Information Technology,Equity,0.25
WELL,WELLTOWER INC,Real Estate,Equity,0.24
SCHW,CHARLES SCHWAB CORP,Financials,Equity,0.24
ABT,ABBOTT LABORATORIES,Health Care,Equity,0.24
PFE,PFIZER INC,Health Care,Equity,0.24
BLK,BLACKROCK INC,Financials,Equity,0.24
GLW,CORNING INC,Information Technology,Equity,0.23
DE,DEERE,Industrials,Equity,0.23
ANET,ARISTA NETWORKS INC,Information Technology,Equity,0.23
HON,HONEYWELL INTERNATIONAL INC,Industrials,Equity,0.22
COP,CONOCOPHILLIPS,Energy,Equity,0.22
BKNG,BOOKING HOLDINGS INC,Consumer Discretionary,Equity,0.22
PLD,PROLOGIS REIT INC,Real Estate,Equity,0.21
APP,APPLOVIN CORP CLASS A,Information Technology,Equity,0.21
SPGI,S&P GLOBAL INC,Financials,Equity,0.21
LOW,LOWES COMPANIES INC,Consumer Discretionary,Equity,0.21
VRT,VERTIV HOLDINGS CLASS A,Industrials,Equity,0.21
CRWD,CROWDSTRIKE HOLDINGS INC CLASS A,Information Technology,Equity,0.2
NEM,NEWMONT,Materials,Equity,0.2
SBUX,STARBUCKS CORP,Consumer Discretionary,Equity,0.19
CB,CHUBB,Financials,Equity,0.19
COF,CAPITAL ONE FINANCIAL CORP,Financials,Equity,0.19
ACN,ACCENTURE PLC CLASS A,Information Technology,Equity,0.18
DHR,DANAHER CORP,Health Care,Equity,0.18
INTU,INTUIT INC,Information Technology,Equity,0.18
PWR,QUANTA SERVICES INC,Industrials,Equity,0.18
PH,PARKER-HANNIFIN CORP,Industrials,Equity,0.18
MO,ALTRIA GROUP INC,Consumer Staples,Equity,0.18
PGR,PROGRESSIVE CORP,Financials,Equity,0.18
BMY,BRISTOL MYERS SQUIBB,Health Care,Equity,0.18
CVS,CVS HEALTH CORP,Health Care,Equity,0.18
TT,TRANE TECHNOLOGIES PLC,Industrials,Equity,0.17
EQIX,EQUINIX REIT INC,Real Estate,Equity,0.17
ADBE,ADOBE INC,Information Technology,Equity,0.17
HWM,HOWMET AEROSPACE INC,Industrials,Equity,0.17
VRTX,VERTEX PHARMACEUTICALS INC,Health Care,Equity,0.17
CME,CME GROUP INC CLASS A,Financials,Equity,0.16
NOW,SERVICENOW INC,Information Technology,Equity,0.16
MDT,MEDTRONIC PLC,Health Care,Equity,0.16
SO,SOUTHERN,Utilities,Equity,0.16
SYK,STRYKER CORP,Health Care,Equity,0.16
LMT,LOCKHEED MARTIN CORP,Industrials,Equity,0.16
TMUS,T MOBILE US INC,Communication,Equity,0.15
SNPS,SYNOPSYS INC,Information Technology,Equity,0.15
DUK,DUKE ENERGY CORP,Utilities,Equity,0.15
CDNS,CADENCE DESIGN SYSTEMS INC,Information Technology,Equity,0.15
BX,BLACKSTONE INC,Financials,Equity,0.15
CMI,CUMMINS INC,Industrials,Equity,0.15
MCK,MCKESSON CORP,Health Care,Equity,0.15
CEG,CONSTELLATION ENERGY CORP,Utilities,Equity,0.15
CMCSA,COMCAST CORP CLASS A,Communication,Equity,0.15
ADP,AUTOMATIC DATA PROCESSING INC,Industrials,Equity,0.14
ICE,INTERCONTINENTAL EXCHANGE INC,Financials,Equity,0.14
