split,from,to,n_m,cagr_pct,spy_cagr_pct,edge_pp,sharpe,max_dd_pct
A1,2011-01-01,2018-12-31,96,22.91544697350396,14.080900583561906,8.834546389942055,0.9051297769361868,-35.39057714114448
A2,2015-01-01,2021-12-31,84,35.42049146456667,14.712482626251333,20.70800883831534,0.8904899859992049,-35.390577141144476
A3,2018-01-01,2024-12-31,84,38.99829180799068,14.751627095452037,24.246664712538646,0.8993706358387441,-35.39057714114448
R1_GFC,2008-01-01,2010-12-31,36,109.30845751878877,0.047259599882343295,109.26119791890643,1.2531338139524817,-47.06948860277104
R2,2011-01-01,2013-12-31,36,43.1282617743509,15.626222022427317,27.50203975192358,1.3788435384137174,-21.278097184504645
R3,2014-01-01,2016-12-31,36,14.492104439496224,16.016169805583935,-1.5240653660877124,0.7301722273690158,-14.966788984209781
R4,2017-01-01,2019-12-31,36,19.69585543364767,13.04619006076968,6.649665372877989,0.7638399708544839,-35.39057714114448
R5_COVID,2020-01-01,2022-12-31,36,62.19527077799108,5.631006725044485,56.56426405294659,1.024891712713493,-29.97878904769665
R6_AI,2023-01-01,2024-12-31,24,40.84645139542238,35.95093726573664,4.895514129685741,1.3520484968661928,-12.47254149568162
STRICT,2021-01-01,2024-12-31,48,41.752317594087444,18.197401554724934,23.554916039362507,1.120721305539238,-29.97878904769665
