start,trough,end,depth_pct
2007-10-31,2009-01-30,2009-03-31,-46.146758879662016
2018-09-28,2018-11-30,2020-10-30,-37.36418175420328
2021-12-31,2022-05-31,2022-10-31,-32.34435020930533
2011-06-30,2011-08-31,2011-12-30,-19.136123373938155
2010-04-30,2010-07-30,2010-10-29,-19.12239774417301
2012-02-29,2012-04-30,2012-11-30,-18.07217305816515
2025-01-31,2025-02-28,2025-05-30,-17.268034210630244
2009-05-29,2009-05-29,2009-06-30,-17.084862280340104
2022-11-30,2022-11-30,2022-12-30,-15.608065153449255
2024-01-31,2024-03-28,2024-06-28,-12.949176269443303
