strategy,alpha_yr,p10,median,p90,mean,n_iters
v3,0.0,0.3977406189318511,0.3977406189318511,0.3977406189318511,0.397740618931851,30
v3,0.02,0.32695297096260484,0.3720604476545232,0.3977406189318511,0.3688830208947132,30
v3,0.04,0.29667495733176,0.3372622062228853,0.3747443206898831,0.3367674137186182,30
v3,0.06,0.23768667299875965,0.28991217714512074,0.3493973256407316,0.295483736249646,30
v3,0.08,0.2127547703327835,0.28550654385333296,0.35426731311573806,0.2801739268907797,30
v3,0.12,0.11822427341827645,0.19201399286992915,0.3014689477819389,0.20792299319440127,30
v3,0.16,0.03302337262895932,0.14033856740342854,0.23405401427440145,0.13429172785871019,30
v3,0.2,-0.018953793585505814,0.08501812987095592,0.1545360020073467,0.040222839747424265,30
A,0.0,0.3820068043712843,0.3820068043712843,0.3820068043712843,0.3820068043712844,30
A,0.02,0.31831177814426315,0.3453280785254512,0.3820068043712843,0.3476963746494897,30
A,0.04,0.2415228135337225,0.3193644642503395,0.3524954298490712,0.3073189694767885,30
A,0.06,0.20696597480630238,0.27673510411271196,0.3377395454030756,0.2746553458421585,30
A,0.08,0.1629527713783067,0.2687859755937655,0.31185036035907215,0.2542232145763889,30
A,0.12,0.08287159309675354,0.1840483784270488,0.23631385297603325,0.1811241743805599,30
A,0.16,0.054757138210546626,0.13608628718078408,0.209626460457712,0.13329419549753305,30
A,0.2,-0.06036042735012785,0.07930907719372116,0.14361320583762116,0.06268187238551712,30
B,0.0,0.41541482152742115,0.41541482152742115,0.41541482152742115,0.41541482152742104,30
B,0.02,0.320415508583135,0.38305771247146714,0.41541482152742115,0.37842491629000297,30
B,0.04,0.270580347852397,0.3507804257565398,0.40147705057545274,0.34363289026232985,30
B,0.06,0.2503739908549815,0.3144810540426738,0.36735060992778684,0.3077351435486821,30
B,0.08,0.20791957190295904,0.2840977203293218,0.3653362495705863,0.28362867449680046,30
B,0.12,0.09590543553138024,0.23872997142331942,0.2997874121794388,0.21845304270208693,30
B,0.16,0.022152627556733667,0.15315604626542934,0.23228931131609226,0.13576225618067633,30
B,0.2,-0.15051497055634103,0.06795491326828651,0.177623193674017,0.022735367131855422,30
