start,trough,end,depth_pct
2007-10-31,2009-01-30,2009-03-31,-49.60797348944629
2018-09-28,2018-11-30,2020-05-29,-35.39057714114448
2021-12-31,2022-05-31,2022-09-30,-30.048810258648956
2020-08-31,2020-09-30,2020-10-30,-21.599990198910383
2012-02-29,2012-04-30,2012-11-30,-21.278097184504663
2011-06-30,2011-08-31,2011-12-30,-21.08874170478883
2010-04-30,2010-07-30,2010-10-29,-19.882847558292735
2004-03-31,2004-07-30,2004-09-30,-18.549152530385008
2025-01-31,2025-02-28,2025-04-30,-15.980140819956562
2022-11-30,2022-11-30,2022-12-30,-15.955001743127129
