universe,strategy,n_tickers,cagr_full,sharpe,max_dd,wf_mean,wf_min,wf_beats_spy,ho_cagr,ho_edge_pp,ho_sharpe,ho_mdd
"sp500_pit (PIT, ~500)",v3,587,0.3977406189318511,0.9553637477926258,-0.49828619285029263,0.42800538003320804,0.14492104439496223,9,0.2790073923385923,0.9676291133591031,1.4035954677228832,-0.15896036856813367
"sp500_pit (PIT, ~500)",A,587,0.3820068043712843,0.9706635072032087,-0.4598487549751292,0.42483187571768866,0.20917687748306846,9,0.2563071076391943,-1.3023993565806968,1.359454684411377,-0.171852194300603
"sp500_pit (PIT, ~500)",C,587,0.4481362715456887,1.03558644651507,-0.4982861928502925,0.45860399893579257,0.17006813149774525,10,0.2790073923385923,0.9676291133591031,1.4035954677228832,-0.15896036856813367
"sp500_pit (PIT, ~500)",A+C,587,0.4288576877137926,1.0557114656000994,-0.45984875497512945,0.4566348495179958,0.22407216493243198,10,0.2563071076391943,-1.3023993565806968,1.359454684411377,-0.171852194300603
"ixn_us (~73, US-listed only)",v3,63,0.4457955494337833,1.2463066132843825,-0.3620076039052474,0.5246331355473215,0.2735037045723674,10,0.07673145724563346,-19.25996439593678,0.4270505922960667,-0.21063559005394947
"ixn_us (~73, US-listed only)",A,63,0.44340342134711763,1.2596994507016288,-0.3904111817521668,0.5203638237611665,0.21704626087623335,10,0.04718325277577251,-22.214784842922874,0.31307195971707935,-0.2125052608658793
"ixn_us (~73, US-listed only)",C,63,0.4533392219742276,1.2361978192009724,-0.39052236475607344,0.5846539352797013,0.199264638844594,10,0.3070151718368519,3.768407063185064,1.1042033037860512,-0.20262411284484094
"ixn_us (~73, US-listed only)",A+C,63,0.45430301984506105,1.2542540462759164,-0.41321154030798,0.582145391075377,0.11698313482877243,9,0.24667744646442347,-2.265365474057779,0.9662885409152394,-0.19744297788141987
russell1000_core (~280),v3,235,0.41955729513091566,1.1380708952557674,-0.6229937243824275,0.4036487858671034,0.2679422413764263,10,0.5444726236526369,27.51415224476357,1.8625160363399678,-0.11007102229425673
russell1000_core (~280),A,235,0.3589481470192928,1.104348766285872,-0.5566853570025141,0.3639047383200148,0.2773656173746548,10,0.37101156263031765,10.16804614253164,1.609178417933426,-0.10172622359855812
russell1000_core (~280),C,235,0.44297257169075643,1.1697629992382859,-0.6229937243824276,0.4355223713600189,0.29478539901734924,10,0.47139841637812685,20.20673151731256,1.6693185327727396,-0.11007102229425672
russell1000_core (~280),A+C,235,0.3874707134612285,1.1437688566056867,-0.5566853570025139,0.3995559211129732,0.3141954552635946,10,0.3244898059809773,5.515870477597606,1.5206835710329287,-0.10172622359855811
qqq_tech (~92),v3,92,0.4718934743337666,1.3434502096253005,-0.41570891167196916,0.4390180306938877,0.21356003795799539,9,0.27189620773060375,0.25651065256024896,0.8734070834649013,-0.35344366105866243
qqq_tech (~92),A,92,0.43825986313103193,1.3456248452309258,-0.41506307730855085,0.4326682228626154,0.1736623885667823,9,0.2558596829252724,-1.3471418279728864,0.8567318916565962,-0.3458465383001909
qqq_tech (~92),C,92,0.5115809535217932,1.3865309860687725,-0.4358915756228272,0.4767192442905591,0.29598584160053965,10,0.24298411488493143,-2.634698632006982,0.798581928510614,-0.3307694213900222
qqq_tech (~92),A+C,92,0.4824568151861508,1.3851215887355373,-0.4298124465653677,0.46139249967560836,0.27736250974812116,10,0.23331633314761913,-3.601476805738213,0.8023334177703468,-0.31232518486968885
"iyw_tech (~127, reference)",v3,127,0.44869965394149425,1.1791283397272845,-0.6132348363105076,0.4897272273467122,0.15991727964924451,10,0.5449130899182004,27.558198871319917,1.4566035775009576,-0.1626258194241121
"iyw_tech (~127, reference)",A,127,0.4453992145218413,1.208989445023618,-0.5860342679428853,0.502035521543019,0.09007823445096053,9,0.5496062439066245,28.027514270162325,1.5733072151703669,-0.13532872598007561
"iyw_tech (~127, reference)",C,127,0.45407137917746954,1.1756982912054994,-0.6132348363105076,0.5104749561759327,0.10729578262871886,9,0.7611318859375085,49.180078473250724,1.9351185818988668,-0.1771423744804939
"iyw_tech (~127, reference)",A+C,127,0.4516263738083117,1.2010291209057795,-0.5860342679428852,0.5163904314535352,0.047354653219780385,9,0.7172174859042582,44.78863846992569,2.015535126653952,-0.16610485048286117
"tech_broad (~212, reference)",v3,212,0.5503701205481244,1.415169656425776,-0.4157089116719693,0.504975511970096,0.42222340047375906,10,0.2761369286759412,0.680582747093994,0.8712561316667744,-0.273542142677841
"tech_broad (~212, reference)",A,212,0.5283707762442091,1.414631297256634,-0.4150630773085509,0.5024878292376738,0.3254166000892449,10,0.264932608769918,-0.4398492435083279,0.9040010675192748,-0.236679552367987
"tech_broad (~212, reference)",C,212,0.5801527202200489,1.4287774762382477,-0.4157089116719692,0.5249231873837534,0.4277447839668229,10,0.5076748364299923,23.834373522499106,1.4399502391206818,-0.14775665552503556
"tech_broad (~212, reference)",A+C,212,0.5552645554734836,1.4295629257709586,-0.4150630773085508,0.5168336137219464,0.36141076389399807,10,0.4416234702617512,17.229236905674995,1.4063156183177845,-0.13053335003319702
