ticker,n_months_picked
NVDA,120
NFLX,48
COL,30
CSX,24
NI,24
F,18
AMD,18
AAPL,18
KDP,18
COTY,18
CCL,18
BBBY,12
SYF,12
APA,12
WBD,12
EXC,12
SLM,12
HBAN,12
ORLY,12
AMZN,12
