split,selector,best_variant,test_cagr,test_sharpe,test_max_dd,test_spy_cagr,test_edge_pp,test_v3_cagr,lift_pp_vs_v3,test_v3_sharpe,lift_sharpe_vs_v3,lift_cagr_pp_vs_v3
A1,train_cagr,ew_cy3,0.2291544697350396,0.9051297769361868,-0.35390577141144486,0.14080900583561906,8.834546389942055,0.22877606618264035,0.03784035523992646,,,
A2,train_cagr,ew_cy3,0.3542049146456667,0.8904899859992049,-0.35390577141144475,0.14712482626251333,20.70800883831534,0.35372846663093793,0.047644801472879195,,,
A3,train_cagr,invvol_cy3,0.3376940806499884,0.8279746507232053,-0.3736418175420329,0.14751627095452036,19.017780969546806,0.3894938823404377,-5.179980169044929,,,
R1_GFC,train_cagr,v3_ew,1.0879351638068608,1.2497703444569324,-0.4745918757975244,0.00047259599882343295,108.74625678080375,1.0879351638068608,0.0,,,
R2,train_cagr,ew_cy3,0.43128261774350896,1.3788435384137174,-0.21278097184504646,0.15626222022427316,27.50203975192358,0.43128261774350896,0.0,,,
R3,train_cagr,ew_cy3,0.14492104439496223,0.7301722273690158,-0.1496678898420978,0.16016169805583935,-1.5240653660877124,0.14492104439496223,0.0,,,
R4,train_cagr,ew_cy3,0.1969585543364767,0.7638399708544839,-0.3539057714114448,0.1304619006076968,6.649665372877989,0.19597616155772335,0.09823927787533382,,,
R5_COVID,train_cagr,invvol_cy3,0.5370235423262779,0.9480194660431452,-0.32276626836141475,0.05631006725044485,48.071347507583305,0.6219527077799107,-8.492916545363283,,,
R6_AI,train_cagr,ew_cy3,0.4084645139542238,1.3520484968661928,-0.1247254149568162,0.3595093726573664,4.895514129685741,0.4084645139542238,0.0,,,
STRICT,train_cagr,ew_cy3,0.4175231759408744,1.120721305539238,-0.2997878904769665,0.18197401554724935,23.554916039362507,0.4175231759408744,0.0,,,
A1,train_sharpe,ew_cy3,0.2291544697350396,0.9051297769361868,-0.35390577141144486,0.14080900583561906,8.834546389942055,0.22877606618264035,,0.9039063430302811,0.0012234339059057353,0.03784035523992646
A2,train_sharpe,ew_cy3,0.3542049146456667,0.8904899859992049,-0.35390577141144475,0.14712482626251333,20.70800883831534,0.35372846663093793,,0.8896115365852714,0.0008784494139335575,0.047644801472879195
A3,train_sharpe,invvol_cy3,0.3376940806499884,0.8279746507232053,-0.3736418175420329,0.14751627095452036,19.017780969546806,0.3894938823404377,,0.8985786767713427,-0.07060402604813742,-5.179980169044929
R1_GFC,train_sharpe,v3_ew,1.0879351638068608,1.2497703444569324,-0.4745918757975244,0.00047259599882343295,108.74625678080375,1.0879351638068608,,1.2497703444569324,0.0,0.0
R2,train_sharpe,ew_cy3,0.43128261774350896,1.3788435384137174,-0.21278097184504646,0.15626222022427316,27.50203975192358,0.43128261774350896,,1.3788435384137174,0.0,0.0
R3,train_sharpe,ew_cy3,0.14492104439496223,0.7301722273690158,-0.1496678898420978,0.16016169805583935,-1.5240653660877124,0.14492104439496223,,0.7301722273690158,0.0,0.0
R4,train_sharpe,invvol_cy3,0.20917687748306846,0.8034466698267463,-0.37364181754203285,0.1304619006076968,7.871497687537166,0.19597616155772335,,0.7608997134101493,0.042546956416597004,1.3200715925345108
R5_COVID,train_sharpe,invvol_cy3,0.5370235423262779,0.9480194660431452,-0.32276626836141475,0.05631006725044485,48.071347507583305,0.6219527077799107,,1.024891712713493,-0.07687224667034787,-8.492916545363283
R6_AI,train_sharpe,invvol_cy3,0.3569198897977228,1.2733022174638207,-0.12862038307751045,0.3595093726573664,-0.2589482859643555,0.4084645139542238,,1.3520484968661928,-0.07874627940237211,-5.154462415650096
STRICT,train_sharpe,invvol_cy3,0.398852819178243,1.1122100760703304,-0.32276626836141475,0.18197401554724935,21.687880363099367,0.4175231759408744,,1.120721305539238,-0.008511229468907588,-1.8670356762631402
