year,year_ret,spy_year_ret,edge_pp,Strategy_pct,SPY_pct,edge_pp_r
2003,0.07999092813327335,0.09794954900005215,-1.7958620866778796,8.0,9.8,-1.8
2004,0.20285785047636296,0.0267071588504324,17.615069162593056,20.3,2.7,17.6
2005,0.16310935334553545,0.06636005871523576,9.674929463029969,16.3,6.6,9.7
2006,0.26780240477786377,0.19170814749076825,7.609425728709551,26.8,19.2,7.6
2007,-0.016036470988594065,-0.017193374914227122,0.11569039256330571,-1.6,-1.7,0.1
2008,-0.19461656990087373,-0.2935318464536879,9.891527655281418,-19.5,-29.4,9.9
2009,6.362165444451966,0.09979872158878278,626.2366722863183,636.2,10.0,626.2
2010,0.4762944879881268,0.28887200952876,18.742247845936678,47.6,28.9,18.7
2011,0.16691019400286988,0.08578056398773515,8.112963001513474,16.7,8.6,8.1
2012,0.25221418208176005,0.3004415937584881,-4.822741167672806,25.2,30.0,-4.8
2013,0.5793062704971901,0.0948032857889638,48.45029847082263,57.9,9.5,48.5
2014,0.11063316265958201,0.20589780534692448,-9.526464268734248,11.1,20.6,-9.5
2015,0.43260752956299076,0.10800093916069242,32.460659040229835,43.3,10.8,32.5
2016,0.5076358013596327,0.16870509407341783,33.89307072862149,50.8,16.9,33.9
2017,0.5421330321242916,0.20114238810573504,34.099064401855664,54.2,20.1,34.1
2018,-0.20852671233928222,-0.01057140678672086,-19.795530555256136,-20.9,-1.1,-19.8
2019,0.4484763199344506,0.2155948183718508,23.28815015625998,44.8,21.6,23.3
2020,0.7460709455470542,0.11610987881121515,62.99610667358391,74.6,11.6,63.0
2021,0.7277852753198044,0.25185764111631626,47.59276342034882,72.8,25.2,47.6
2022,0.20362141014041768,-0.1564470277526845,36.00684378931022,20.4,-15.6,36.0
2023,0.7536537498286475,0.22232486036609855,53.132888946254894,75.4,22.2,53.1
2024,0.049940210551013386,0.5120904386986389,-46.21502281476255,5.0,51.2,-46.2
2025,0.27291007092920827,0.1601629026607252,11.274716826848309,27.3,16.0,11.3
