year,year_ret,spy_year_ret,edge_pp,Strategy_pct,SPY_pct,edge_pp_r
2003,0.08012553904282194,0.09794954900005215,-1.7824009957230214,8.0,9.8,-1.8
2004,0.2772486716582061,0.0267071588504324,25.05415128077737,27.7,2.7,25.1
2005,0.21268665994467195,0.06636005871523576,14.63266012294362,21.3,6.6,14.6
2006,0.2641086977040845,0.19170814749076825,7.240055021331626,26.4,19.2,7.2
2007,0.09020007576499922,-0.017193374914227122,10.739345067922635,9.0,-1.7,10.7
2008,-0.16838593044967332,-0.2935318464536879,12.51459160040146,-16.8,-29.4,12.5
2009,6.25463181733525,0.09979872158878278,615.4833095746467,625.5,10.0,615.5
2010,0.5199283901177707,0.28887200952876,23.105638058901068,52.0,28.9,23.1
2011,0.21469409280885388,0.08578056398773515,12.891352882111873,21.5,8.6,12.9
2012,0.34029215177139616,0.3004415937584881,3.9850558012908044,34.0,30.0,4.0
2013,0.8009837613978661,0.0948032857889638,70.61804756089023,80.1,9.5,70.6
2014,0.07095561529738914,0.20589780534692448,-13.494219004953534,7.1,20.6,-13.5
2015,0.03416841792348224,0.10800093916069242,-7.383252123721018,3.4,10.8,-7.4
2016,0.35507667869212645,0.16870509407341783,18.63715846187086,35.5,16.9,18.6
2017,0.44802972474782465,0.20114238810573504,24.68873366420896,44.8,20.1,24.7
2018,-0.18234247879296905,-0.01057140678672086,-17.177107200624818,-18.2,-1.1,-17.2
2019,0.4483996981004923,0.2155948183718508,23.28048797286415,44.8,21.6,23.3
2020,1.096455785628998,0.11610987881121515,98.03459068177828,109.6,11.6,98.0
2021,0.6577250918427882,0.25185764111631626,40.58674507264719,65.8,25.2,40.6
2022,0.22776809225835182,-0.1564470277526845,38.42151200110363,22.8,-15.6,38.4
2023,0.8994768612379205,0.22232486036609855,67.7152000871822,89.9,22.2,67.7
2024,0.04437823252842921,0.5120904386986389,-46.77122061702097,4.4,51.2,-46.8
2025,0.32325553953519237,0.1601629026607252,16.309263687446716,32.3,16.0,16.3
