split,from,to,n_m,cagr_pct,spy_cagr_pct,edge_pp,sharpe,max_dd_pct
A1,2011-01-01,2018-12-31,96,22.877606618264036,14.080900583561906,8.79670603470213,0.9039063430302811,-35.39057714114448
A2,2015-01-01,2021-12-31,84,35.372846663093796,14.712482626251333,20.66036403684246,0.8896115365852714,-35.390577141144476
A3,2018-01-01,2024-12-31,84,38.94938823404377,14.751627095452037,24.197761138591733,0.8985786767713427,-35.39057714114448
R1_GFC,2008-01-01,2010-12-31,36,108.79351638068609,0.047259599882343295,108.74625678080375,1.2497703444569324,-47.45918757975244
R2,2011-01-01,2013-12-31,36,43.1282617743509,15.626222022427317,27.50203975192358,1.3788435384137174,-21.278097184504645
R3,2014-01-01,2016-12-31,36,14.492104439496224,16.016169805583935,-1.5240653660877124,0.7301722273690158,-14.966788984209781
R4,2017-01-01,2019-12-31,36,19.597616155772336,13.04619006076968,6.551426095002655,0.7608997134101493,-35.39057714114448
R5_COVID,2020-01-01,2022-12-31,36,62.19527077799108,5.631006725044485,56.56426405294659,1.024891712713493,-29.97878904769665
R6_AI,2023-01-01,2024-12-31,24,40.84645139542238,35.95093726573664,4.895514129685741,1.3520484968661928,-12.47254149568162
STRICT,2021-01-01,2024-12-31,48,41.752317594087444,18.197401554724934,23.554916039362507,1.120721305539238,-29.97878904769665
