universe,strategy,alpha_yr,p10,median,p90,mean,n_iters
sp500_pit,v3,0.0,0.3977406189318511,0.3977406189318511,0.3977406189318511,0.39774061893185114,20
sp500_pit,v3,0.04,0.25537327165046886,0.34483459073804934,0.3745022516059974,0.3291944431366587,20
sp500_pit,v3,0.08,0.23298122852929762,0.2986712052628423,0.32599286368501323,0.2867045922352968,20
sp500_pit,v3,0.12,0.08740674595281299,0.17736722706200214,0.28483577146450395,0.18590436565596197,20
sp500_pit,A,0.0,0.3820068043712843,0.3820068043712843,0.3820068043712843,0.3820068043712844,20
sp500_pit,A,0.04,0.23593155053785442,0.3222722008799416,0.35632053661960944,0.30436457303183084,20
sp500_pit,A,0.08,0.1649674661818688,0.2638994980745222,0.3111553219882582,0.24702277573660486,20
sp500_pit,A,0.12,0.08900008371974708,0.17478284969908664,0.2646952132862195,0.1850759206412181,20
sp500_pit,B,0.0,0.41541482152742115,0.41541482152742115,0.41541482152742115,0.4154148215274212,20
sp500_pit,B,0.04,0.282442852575384,0.3631292797117214,0.41541482152742115,0.3553956077498712,20
sp500_pit,B,0.08,0.17269733957079408,0.2584326671681755,0.33192638368705923,0.19838350225757104,20
sp500_pit,B,0.12,0.13329395491390725,0.2071155047081641,0.30606960461091054,0.15467115710791315,20
iyw_tech,v3,0.0,0.44869965394149425,0.44869965394149425,0.44869965394149425,0.44869965394149425,20
iyw_tech,v3,0.04,0.32558246414512937,0.36965119906238,0.4217815363520745,0.36866059211949137,20
iyw_tech,v3,0.08,0.2293453056999674,0.3149559896753047,0.38502613530863466,0.3113904980305503,20
iyw_tech,v3,0.12,0.16291619515350647,0.2594326510524908,0.30948199991551245,0.25307569121853846,20
iyw_tech,A,0.0,0.4453992145218413,0.4453992145218413,0.4453992145218413,0.4453992145218413,20
iyw_tech,A,0.04,0.3211273148038709,0.38012405252898884,0.4268426692934964,0.37994259564200367,20
iyw_tech,A,0.08,0.25232018519653726,0.30410356420353346,0.36789792606386706,0.30037657441711296,20
iyw_tech,A,0.12,0.1480661742811243,0.27379170361812677,0.35555609504437996,0.27061944711969216,20
iyw_tech,B,0.0,0.4311176090056221,0.4311176090056221,0.4311176090056221,0.43111760900562207,20
iyw_tech,B,0.04,0.27060464397974404,0.3430717614789367,0.40087586147708126,0.3403108350661469,20
iyw_tech,B,0.08,0.22218849670159752,0.2914829757339338,0.32770865324939746,0.2841177508468634,20
iyw_tech,B,0.12,0.09355706456123127,0.21108385456146506,0.3457898527007939,0.16009844967364906,20
tech_broad,v3,0.0,0.5503701205481244,0.5503701205481244,0.5503701205481244,0.5503701205481242,20
tech_broad,v3,0.04,0.4360147491311884,0.48795370354461653,0.5228111543528373,0.4771523937278716,20
tech_broad,v3,0.08,0.3314081704871509,0.4260307133730181,0.4828768932921342,0.4135750796905991,20
tech_broad,v3,0.12,0.32309967918977345,0.3987244456624741,0.451948048760788,0.38759050070799306,20
tech_broad,A,0.0,0.5283707762442091,0.5283707762442091,0.5283707762442091,0.5283707762442091,20
tech_broad,A,0.04,0.4147250395892434,0.4661199127238037,0.5072856707558461,0.4618141626838169,20
tech_broad,A,0.08,0.3053183201681548,0.39363935370834113,0.4348782539698328,0.3807785385745272,20
tech_broad,A,0.12,0.22069785146784826,0.30309437610176304,0.383665583410209,0.307390815000886,20
tech_broad,B,0.0,0.4861549509775769,0.4861549509775769,0.4861549509775769,0.4861549509775768,20
tech_broad,B,0.04,0.36337556823691214,0.421032127375363,0.4693956072727538,0.4159084336855273,20
tech_broad,B,0.08,0.29638363993602107,0.36701100189804925,0.4114537476273144,0.35953460532542536,20
tech_broad,B,0.12,0.1627217321954343,0.2777254542898352,0.35803939611840674,0.26749570400417,20
