name,cagr_full,spy_cagr_full,edge_full_pp,sharpe,max_dd,n_cash,wf_mean_cagr,wf_median_cagr,wf_min_cagr,wf_max_cagr,wf_mean_sharpe,wf_min_sharpe,wf_mean_dd,wf_min_dd,wf_mean_edge_pp,wf_n_pos,wf_n_beats_spy,wf_n_splits,cfg
v3_baseline,0.3977406189318511,0.1194382410561079,27.83023778757432,0.9553637477926258,-0.49828619285029263,4,0.42800538003320804,0.39897919814733074,0.14492104439496223,1.0879351638068608,1.0309443895155632,0.7301722273690158,-0.2976965019041197,-0.4745918757975244,27.994518269377345,10,9,10,"{""name"": ""v3_baseline"", ""scorer"": ""ml_3plus6"", ""universe"": ""sp500_pit"", ""regime_gate"": ""tight"", ""k_normal"": 3, ""k_recovery"": 3, ""k_bull"": 3, ""weighting"": ""ew"", ""hold_months"": 6, ""cost_bps"": 10.0, ""cap_per_pick"": 1.0, ""vol_target_yr"": 0.0, ""half_cash_warning"": false, ""cash_yield_yr"": 0.0, ""drawdown_de_risk"": 0.0, ""crash_persist"": 1, ""trailing_stop"": 0.0}"
g=tight|p1|ddr0.0|ts0.0|cy0.0|vt0.0|w=ew|k3_3_3|h6,0.3977406189318511,0.1194382410561079,27.83023778757432,0.9553637477926258,-0.49828619285029263,4,0.42800538003320804,0.39897919814733074,0.14492104439496223,1.0879351638068608,1.0309443895155632,0.7301722273690158,-0.2976965019041197,-0.4745918757975244,27.994518269377345,10,9,10,"{""name"": ""g=tight|p1|ddr0.0|ts0.0|cy0.0|vt0.0|w=ew|k3_3_3|h6"", ""scorer"": ""ml_3plus6"", ""universe"": ""sp500_pit"", ""regime_gate"": ""tight"", ""k_normal"": 3, ""k_recovery"": 3, ""k_bull"": 3, ""weighting"": ""ew"", ""hold_months"": 6, ""cost_bps"": 10.0, ""cap_per_pick"": 1.0, ""vol_target_yr"": 0.0, ""half_cash_warning"": false, ""cash_yield_yr"": 0.0, ""drawdown_de_risk"": 0.0, ""crash_persist"": 1, ""trailing_stop"": 0.0}"
g=tight|p1|ddr0.0|ts0.0|cy0.0|vt0.0|w=ew|k5_3_3|h6,0.33666112206385357,0.1194382410561079,21.722288100774566,0.8867270157946717,-0.6253447964652183,4,0.3586244182176934,0.38406721657372267,0.011694669217762188,0.777834485258889,0.9132276950562941,0.15298379382973654,-0.32233799522025347,-0.5667406250258803,21.05642208782588,10,9,10,"{""name"": ""g=tight|p1|ddr0.0|ts0.0|cy0.0|vt0.0|w=ew|k5_3_3|h6"", ""scorer"": ""ml_3plus6"", ""universe"": ""sp500_pit"", ""regime_gate"": ""tight"", ""k_normal"": 5, ""k_recovery"": 3, ""k_bull"": 3, ""weighting"": ""ew"", ""hold_months"": 6, ""cost_bps"": 10.0, ""cap_per_pick"": 1.0, ""vol_target_yr"": 0.0, ""half_cash_warning"": false, ""cash_yield_yr"": 0.0, ""drawdown_de_risk"": 0.0, ""crash_persist"": 1, ""trailing_stop"": 0.0}"
g=tight|p1|ddr0.0|ts0.0|cy0.0|vt0.0|w=invvol|k3_3_3|h6,0.3813972304007436,0.1194382410561079,26.195898934463568,0.9695106424150287,-0.4638255989927828,4,0.4240895680107781,0.3477814420211862,0.2081844566274158,1.0558463428565679,1.124410338655189,0.8004761758176929,-0.29475853326528584,-0.4012613754720257,27.60293706713435,10,9,10,"{""name"": ""g=tight|p1|ddr0.0|ts0.0|cy0.0|vt0.0|w=invvol|k3_3_3|h6"", ""scorer"": ""ml_3plus6"", ""universe"": ""sp500_pit"", ""regime_gate"": ""tight"", ""k_normal"": 3, ""k_recovery"": 3, ""k_bull"": 3, ""weighting"": ""invvol"", ""hold_months"": 6, ""cost_bps"": 10.0, ""cap_per_pick"": 1.0, ""vol_target_yr"": 0.0, ""half_cash_warning"": false, ""cash_yield_yr"": 0.0, ""drawdown_de_risk"": 0.0, ""crash_persist"": 1, ""trailing_stop"": 0.0}"
g=tight|p1|ddr0.0|ts0.0|cy0.0|vt0.0|w=invvol|k5_3_3|h6,0.31097692446699976,0.1194382410561079,19.153868341089186,0.8748582287303736,-0.6202840449734763,4,0.3403514621779262,0.3163688167418198,0.10414408302645572,0.7657376964979463,0.964473182373269,0.6581991088581568,-0.3150425609948052,-0.5194347357639039,19.229126483849168,10,8,10,"{""name"": ""g=tight|p1|ddr0.0|ts0.0|cy0.0|vt0.0|w=invvol|k5_3_3|h6"", ""scorer"": ""ml_3plus6"", ""universe"": ""sp500_pit"", ""regime_gate"": ""tight"", ""k_normal"": 5, ""k_recovery"": 3, ""k_bull"": 3, ""weighting"": ""invvol"", ""hold_months"": 6, ""cost_bps"": 10.0, ""cap_per_pick"": 1.0, ""vol_target_yr"": 0.0, ""half_cash_warning"": false, ""cash_yield_yr"": 0.0, ""drawdown_de_risk"": 0.0, ""crash_persist"": 1, ""trailing_stop"": 0.0}"
g=tight|p1|ddr0.0|ts0.0|cy0.0|vt0.3|w=ew|k3_3_3|h6,0.25583639621823595,0.1194382410561079,13.639815516212806,1.0940258750832628,-0.29807363768602335,4,0.24514465832900673,0.23506740693750128,0.11579308177673697,0.38748517296921703,1.0256584962182496,0.7076539892247545,-0.2296909178549899,-0.29807363768602335,9.708446098957207,10,8,10,"{""name"": ""g=tight|p1|ddr0.0|ts0.0|cy0.0|vt0.3|w=ew|k3_3_3|h6"", ""scorer"": ""ml_3plus6"", ""universe"": ""sp500_pit"", ""regime_gate"": ""tight"", ""k_normal"": 3, ""k_recovery"": 3, ""k_bull"": 3, ""weighting"": ""ew"", ""hold_months"": 6, ""cost_bps"": 10.0, ""cap_per_pick"": 1.0, ""vol_target_yr"": 0.3, ""half_cash_warning"": false, ""cash_yield_yr"": 0.0, ""drawdown_de_risk"": 0.0, ""crash_persist"": 1, ""trailing_stop"": 0.0}"
g=tight|p1|ddr0.0|ts0.0|cy0.0|vt0.3|w=ew|k5_3_3|h6,0.23119446066628968,0.1194382410561079,11.175621961018178,1.0207465365614117,-0.3036907119302379,4,0.21746203194231378,0.2273152614604098,0.03969821503644644,0.33321080408686155,0.919302261395395,0.3290006189071162,-0.2471739558689737,-0.29807363768602335,6.940183460287917,10,6,10,"{""name"": ""g=tight|p1|ddr0.0|ts0.0|cy0.0|vt0.3|w=ew|k5_3_3|h6"", ""scorer"": ""ml_3plus6"", ""universe"": ""sp500_pit"", ""regime_gate"": ""tight"", ""k_normal"": 5, ""k_recovery"": 3, ""k_bull"": 3, ""weighting"": ""ew"", ""hold_months"": 6, ""cost_bps"": 10.0, ""cap_per_pick"": 1.0, ""vol_target_yr"": 0.3, ""half_cash_warning"": false, ""cash_yield_yr"": 0.0, ""drawdown_de_risk"": 0.0, ""crash_persist"": 1, ""trailing_stop"": 0.0}"
g=tight|p1|ddr0.0|ts0.0|cy0.0|vt0.3|w=invvol|k3_3_3|h6,0.2538238734838436,0.1194382410561079,13.438563242773572,1.102627896163058,-0.3216539627054459,4,0.2581271631880021,0.24548552673055002,0.19780059956022722,0.3892092558548179,1.1070763158981907,0.767220489517184,-0.24086888433727158,-0.3216539627054458,11.006696584856757,10,9,10,"{""name"": ""g=tight|p1|ddr0.0|ts0.0|cy0.0|vt0.3|w=invvol|k3_3_3|h6"", ""scorer"": ""ml_3plus6"", ""universe"": ""sp500_pit"", ""regime_gate"": ""tight"", ""k_normal"": 3, ""k_recovery"": 3, ""k_bull"": 3, ""weighting"": ""invvol"", ""hold_months"": 6, ""cost_bps"": 10.0, ""cap_per_pick"": 1.0, ""vol_target_yr"": 0.3, ""half_cash_warning"": false, ""cash_yield_yr"": 0.0, ""drawdown_de_risk"": 0.0, ""crash_persist"": 1, ""trailing_stop"": 0.0}"
g=tight|p1|ddr0.0|ts0.0|cy0.0|vt0.3|w=invvol|k5_3_3|h6,0.21384699307817145,0.1194382410561079,9.440875202206357,0.9829162531124207,-0.34448701014294303,4,0.20980512531437862,0.20403319474371084,0.10781864519397533,0.3175664170011603,0.9420307454961815,0.6923213404673076,-0.2554970917805266,-0.33439263658281765,6.1744927974944,10,8,10,"{""name"": ""g=tight|p1|ddr0.0|ts0.0|cy0.0|vt0.3|w=invvol|k5_3_3|h6"", ""scorer"": ""ml_3plus6"", ""universe"": ""sp500_pit"", ""regime_gate"": ""tight"", ""k_normal"": 5, ""k_recovery"": 3, ""k_bull"": 3, ""weighting"": ""invvol"", ""hold_months"": 6, ""cost_bps"": 10.0, ""cap_per_pick"": 1.0, ""vol_target_yr"": 0.3, ""half_cash_warning"": false, ""cash_yield_yr"": 0.0, ""drawdown_de_risk"": 0.0, ""crash_persist"": 1, ""trailing_stop"": 0.0}"
g=tight|p1|ddr0.0|ts0.0|cy0.03|vt0.0|w=ew|k3_3_3|h6,0.3983574048064116,0.1194382410561079,27.89191637503037,0.9564410593351212,-0.49456494553078356,4,0.42875294917984574,0.3992237160170653,0.14492104439496223,1.0930845751878877,1.0318641464482758,0.7301722273690158,-0.29730680292713835,-0.47069488602771037,28.069275184041118,10,9,10,"{""name"": ""g=tight|p1|ddr0.0|ts0.0|cy0.03|vt0.0|w=ew|k3_3_3|h6"", ""scorer"": ""ml_3plus6"", ""universe"": ""sp500_pit"", ""regime_gate"": ""tight"", ""k_normal"": 3, ""k_recovery"": 3, ""k_bull"": 3, ""weighting"": ""ew"", ""hold_months"": 6, ""cost_bps"": 10.0, ""cap_per_pick"": 1.0, ""vol_target_yr"": 0.0, ""half_cash_warning"": false, ""cash_yield_yr"": 0.03, ""drawdown_de_risk"": 0.0, ""crash_persist"": 1, ""trailing_stop"": 0.0}"
g=tight|p1|ddr0.0|ts0.0|cy0.03|vt0.0|w=ew|k5_3_3|h6,0.3372509551759464,0.1194382410561079,21.781271411983848,0.8878603166021811,-0.6225659519286997,4,0.35928542290660315,0.38430648613540175,0.011694669217762188,0.7822191047100422,0.9141984368034143,0.15298379382973654,-0.32201664363199756,-0.5635271091433215,21.122522556716852,10,9,10,"{""name"": ""g=tight|p1|ddr0.0|ts0.0|cy0.03|vt0.0|w=ew|k5_3_3|h6"", ""scorer"": ""ml_3plus6"", ""universe"": ""sp500_pit"", ""regime_gate"": ""tight"", ""k_normal"": 5, ""k_recovery"": 3, ""k_bull"": 3, ""weighting"": ""ew"", ""hold_months"": 6, ""cost_bps"": 10.0, ""cap_per_pick"": 1.0, ""vol_target_yr"": 0.0, ""half_cash_warning"": false, ""cash_yield_yr"": 0.03, ""drawdown_de_risk"": 0.0, ""crash_persist"": 1, ""trailing_stop"": 0.0}"
