split,best_q,test_cagr,test_sharpe,test_max_dd,test_spy_cagr,test_edge_pp,test_v3_cagr,test_v3_edge_pp,lift_pp_vs_v3
A1,0.4,0.2576568262769301,1.0036967628116797,-0.3539057714114448,0.14080900583561906,11.684782044131104,0.22877606618264035,8.79670603470213,2.888076009428975
A2,0.4,0.38451709931108313,0.9483331770081319,-0.3539057714114449,0.14712482626251333,23.739227304856982,0.35372846663093793,20.66036403684246,3.07886326801452
A3,0.4,0.430224023203025,0.9619736794064266,-0.35390577141144486,0.14751627095452036,28.270775224850464,0.3894938823404377,24.197761138591733,4.0730140862587305
R1_GFC,0.4,1.0879351638068608,1.2497703444569324,-0.4745918757975244,0.00047259599882343295,108.74625678080375,1.0879351638068608,108.74625678080375,0.0
R2,0.4,0.4854093879914394,1.54110717735788,-0.2127809718450466,0.15626222022427316,32.914716776716624,0.43128261774350896,27.50203975192358,5.4126770247930445
R3,0.4,0.17006813149774525,0.821803629295777,-0.15837507389118685,0.16016169805583935,0.9906433441905893,0.14492104439496223,-1.5240653660877124,2.5147087102783017
R4,0.4,0.19969606131984774,0.7846710511142798,-0.35390577141144475,0.1304619006076968,6.923416071215094,0.19597616155772335,6.551426095002655,0.371989976212439
R5_COVID,0.4,0.634056215903658,1.0379069786095263,-0.3240467529278681,0.05631006725044485,57.77461486532132,0.6219527077799107,56.56426405294659,1.2103508123747275
R6_AI,0.4,0.4900479362500072,1.5166945023619667,-0.12472541495681616,0.3595093726573664,13.053856359264081,0.4084645139542238,4.895514129685741,8.158342229578341
STRICT,0.4,0.4464291437973291,1.1599198673619275,-0.32404675292786816,0.18197401554724935,26.445512825007977,0.4175231759408744,23.554916039362507,2.8905967856454717
