name,cagr_full,spy_cagr_full,edge_full_pp,sharpe,max_dd,n_cash,wf_mean_cagr,wf_median_cagr,wf_min_cagr,wf_max_cagr,wf_mean_sharpe,wf_min_sharpe,wf_mean_dd,wf_min_dd,wf_mean_edge_pp,wf_n_pos,wf_n_beats_spy,wf_n_splits,universe,strategy
A__rand500_s1,0.4564511737029271,0.1194382410561079,33.70129326468192,0.9006678631105735,-0.7014445184300012,4,0.3970758641737765,0.23642435424807196,-0.2692165163848186,1.9462500005003025,0.7630199237409203,-0.16781006068461196,-0.44191127914683753,-0.7014445184300014,24.901566683434197,8,8,10,rand500_s1,A
B__rand500_s1,0.45440213652598627,0.1194382410561079,33.496389546987835,0.8864653996710669,-0.7720136518160896,4,0.3999222706167928,0.24261944895276333,-0.40280112846602445,1.9462500005003025,0.7770510375296459,-0.24832117234505469,-0.4475079220050273,-0.7014445184300013,25.186207327735822,8,8,10,rand500_s1,B
v3__rand500_s2,0.456032742240446,0.1194382410561079,33.65945011843381,0.9109828540754568,-0.572024004084239,4,0.4450337400163238,0.4338781565021681,0.030767621764502984,1.0413649976017472,0.8447664473080518,0.25901120187429566,-0.41633911390134737,-0.5325527214298704,29.697354267688922,10,9,10,rand500_s2,v3
A__rand500_s2,0.4665202139516691,0.1194382410561079,34.70819728955612,0.9937422822031504,-0.5294929111944137,4,0.49347824959420195,0.4631574947672258,0.05328629223438863,0.8790921616784413,0.960479368975553,0.3209743736280462,-0.3613670372835922,-0.4898510527716796,34.54180522547673,10,9,10,rand500_s2,A
B__rand500_s2,0.505125965711354,0.1194382410561079,38.56877246552462,0.9842780997962429,-0.5294929111944138,4,0.6103797833684373,0.5387309996370766,0.09459275298169012,1.3379186336801139,0.9986351121661396,0.4190340630622478,-0.36954642385965786,-0.4898510527716797,46.231958602900264,10,9,10,rand500_s2,B
v3__rand500_s3,0.615874130848481,0.1194382410561079,49.64358897923731,1.0905310321107324,-0.5010837735776515,4,0.7006852140610775,0.7149846173186131,0.19833754174506257,1.3175540261180485,1.1552843034955618,0.6105018147881993,-0.361900126510131,-0.5010837735776515,55.262501672164284,10,10,10,rand500_s3,v3
A__rand500_s3,0.49377053749676536,0.1194382410561079,37.43322964406575,1.0233665838277457,-0.4536904932714836,4,0.6258217780143844,0.614050190572212,0.08456219731831327,1.4362489149375715,1.1216560453335096,0.3880611104301979,-0.3494901867358694,-0.4067908918315578,47.776158067494976,10,9,10,rand500_s3,A
B__rand500_s3,0.5204256738961108,0.1194382410561079,40.09874328400029,1.0110770223751604,-0.45369049327148353,4,0.6872543281964514,0.6725040195165217,0.13556038377018753,1.4362489149375715,1.1208397741865423,0.5009579875440289,-0.3558656579517403,-0.4067908918315578,53.91941308570167,10,9,10,rand500_s3,B
v3__rand500_s4,0.47683518624294585,0.1194382410561079,35.7396945186838,0.8704177463196795,-0.6496273219519999,4,0.414319700405614,0.39692103093828157,0.06579707443973781,0.7281364964993751,0.8550548538863373,0.3912912042294898,-0.5004142616530922,-0.649627321952,26.625950306617945,10,7,10,rand500_s4,v3
A__rand500_s4,0.5050604036408632,0.1194382410561079,38.56221625847554,0.9384098193528413,-0.48825090262682047,4,0.548048550441294,0.6267948697799374,0.26769615067976527,0.8364194392709705,1.0420868811770518,0.7066761397642433,-0.4162357382734985,-0.4882509026268205,39.99883531018594,10,10,10,rand500_s4,A
B__rand500_s4,0.5232218837899913,0.1194382410561079,40.37836427338834,0.9400017249680832,-0.48825090262682036,4,0.6036652801671052,0.5542149299861914,0.31822735495416743,1.294949509424423,1.047247297794706,0.7856216150961619,-0.3868900607283746,-0.4882509026268205,45.56050828276707,10,10,10,rand500_s4,B
v3__rand500_s5,0.34464125913609234,0.1194382410561079,22.520301807998443,0.8228980190831028,-0.7421854683906193,4,0.3330994325832885,0.22756173096366528,-0.3339466562219906,1.3717524629606692,0.7348054708595794,-0.04666917637479703,-0.499628684974969,-0.7421854683906193,18.503923524385396,9,7,10,rand500_s5,v3
A__rand500_s5,0.39856976771407937,0.1194382410561079,27.91315266579715,0.9745646120985231,-0.6728796661354104,4,0.4019516592737308,0.3029858726973863,-0.058282043532111416,1.2114298095090512,0.8659084516050586,0.16928480305122884,-0.47103859146925925,-0.6728796661354104,25.38914619342961,9,7,10,rand500_s5,A
B__rand500_s5,0.35177982730309987,0.1194382410561079,23.234158624699198,0.8596066033614064,-0.6728796661354104,4,0.3481508742500235,0.25065760492906275,-0.2567183245892122,1.2016141034427332,0.7817903729856951,-0.022959688387265073,-0.49494243316146225,-0.6728796661354104,20.009067691058892,9,7,10,rand500_s5,B
